Date,PureFunds Drone Economy Strategy_Open_average,PureFunds Drone Economy Strategy_Open_max,PureFunds Drone Economy Strategy_Open_min,PureFunds Drone Economy Strategy_Open_volatility,PureFunds Drone Economy Strategy_Open_change,PureFunds Drone Economy Strategy_High_average,PureFunds Drone Economy Strategy_High_max,PureFunds Drone Economy Strategy_High_min,PureFunds Drone Economy Strategy_High_volatility,PureFunds Drone Economy Strategy_High_change,PureFunds Drone Economy Strategy_Low_average,PureFunds Drone Economy Strategy_Low_max,PureFunds Drone Economy Strategy_Low_min,PureFunds Drone Economy Strategy_Low_volatility,PureFunds Drone Economy Strategy_Low_change,PureFunds Drone Economy Strategy_Close_average,PureFunds Drone Economy Strategy_Close_max,PureFunds Drone Economy Strategy_Close_min,PureFunds Drone Economy Strategy_Close_volatility,PureFunds Drone Economy Strategy_Close_change
2018-01-14,37.4,37.4,37.4,0.0,0.0,37.44,37.44,37.44,0.0,0.0,37.2,37.2,37.2,0.0,0.0,37.37,37.37,37.37,0.0,0.0
2018-01-21,37.82,37.82,37.82,0.0,0.0,38.0,38.0,38.0,0.0,0.0,37.72,37.72,37.72,0.0,0.0,37.8,37.8,37.8,0.0,0.0
2018-01-28,36.37,36.37,36.37,0.0,0.0,36.43,36.43,36.43,0.0,0.0,35.0,35.0,35.0,0.0,0.0,35.18,35.18,35.18,0.0,0.0
2018-02-04,35.34,35.34,35.34,0.0,0.0,35.77,35.77,35.77,0.0,0.0,35.34,35.34,35.34,0.0,0.0,35.72,35.72,35.72,0.0,0.0
2018-02-11,37.06,37.06,37.06,0.0,0.0,37.31,37.31,37.31,0.0,0.0,37.04,37.04,37.04,0.0,0.0,37.1,37.1,37.1,0.0,0.0
2018-02-18,37.16,37.16,37.16,0.0,0.0,37.18,37.18,37.18,0.0,0.0,37.0,37.0,37.0,0.0,0.0,37.18,37.18,37.18,0.0,0.0
2018-02-25,35.84,35.84,35.84,0.0,0.0,36.26,36.26,36.26,0.0,0.0,35.7,35.7,35.7,0.0,0.0,36.11,36.11,36.11,0.0,0.0
2018-03-04,36.93,36.93,36.93,0.0,0.0,37.0,37.0,37.0,0.0,0.0,36.65,36.65,36.65,0.0,0.0,36.69,36.69,36.69,0.0,0.0
2018-03-11,36.0,36.0,36.0,0.0,0.0,36.0,36.0,36.0,0.0,0.0,35.22,35.22,35.22,0.0,0.0,35.5,35.5,35.5,0.0,0.0
2018-03-18,34.57,34.57,34.57,0.0,0.0,34.9,34.9,34.9,0.0,0.0,34.38,34.38,34.38,0.0,0.0,34.9,34.9,34.9,0.0,0.0
