Date,ProShares Ultra Silver_Open_average,ProShares Ultra Silver_Open_max,ProShares Ultra Silver_Open_min,ProShares Ultra Silver_Open_volatility,ProShares Ultra Silver_Open_change,ProShares Ultra Silver_High_average,ProShares Ultra Silver_High_max,ProShares Ultra Silver_High_min,ProShares Ultra Silver_High_volatility,ProShares Ultra Silver_High_change,ProShares Ultra Silver_Low_average,ProShares Ultra Silver_Low_max,ProShares Ultra Silver_Low_min,ProShares Ultra Silver_Low_volatility,ProShares Ultra Silver_Low_change,ProShares Ultra Silver_Close_average,ProShares Ultra Silver_Close_max,ProShares Ultra Silver_Close_min,ProShares Ultra Silver_Close_volatility,ProShares Ultra Silver_Close_change
2018-01-14,34.15,34.15,34.15,0.0,0.0,34.15,34.15,34.15,0.0,0.0,33.88,33.88,33.88,0.0,0.0,34.06,34.06,34.06,0.0,0.0
2018-01-21,35.03,35.03,35.03,0.0,0.0,35.03,35.03,35.03,0.0,0.0,34.35,34.35,34.35,0.0,0.0,34.68,34.68,34.68,0.0,0.0
2018-01-28,33.37,33.37,33.37,0.0,0.0,33.45,33.45,33.45,0.0,0.0,32.64,32.64,32.64,0.0,0.0,32.65,32.65,32.65,0.0,0.0
2018-02-04,31.68,31.68,31.68,0.0,0.0,32.34,32.34,32.34,0.0,0.0,31.56,31.56,31.56,0.0,0.0,31.94,31.94,31.94,0.0,0.0
2018-02-11,32.85,32.85,32.85,0.0,0.0,33.2,33.2,33.2,0.0,0.0,32.3,32.3,32.3,0.0,0.0,32.63,32.63,32.63,0.0,0.0
2018-02-18,32.21,32.21,32.21,0.0,0.0,32.37,32.37,32.37,0.0,0.0,31.84,31.84,31.84,0.0,0.0,32.33,32.33,32.33,0.0,0.0
2018-02-25,31.54,31.54,31.54,0.0,0.0,31.59,31.59,31.59,0.0,0.0,31.27,31.27,31.27,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2018-03-04,31.74,31.74,31.74,0.0,0.0,32.02,32.02,32.02,0.0,0.0,31.6,31.6,31.6,0.0,0.0,31.94,31.94,31.94,0.0,0.0
2018-03-11,30.97,30.97,30.97,0.0,0.0,31.15,31.15,31.15,0.0,0.0,30.78,30.78,30.78,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2018-03-18,32.37,32.37,32.37,0.0,0.0,32.8,32.8,32.8,0.0,0.0,32.36,32.36,32.36,0.0,0.0,32.41,32.41,32.41,0.0,0.0
2018-03-25,31.98,31.98,31.98,0.0,0.0,32.3,32.3,32.3,0.0,0.0,31.78,31.78,31.78,0.0,0.0,32.1,32.1,32.1,0.0,0.0
2018-04-01,31.38,31.38,31.38,0.0,0.0,31.84,31.84,31.84,0.0,0.0,31.24,31.24,31.24,0.0,0.0,31.68,31.68,31.68,0.0,0.0
2018-04-08,32.5,32.5,32.5,0.0,0.0,32.68,32.68,32.68,0.0,0.0,32.21,32.21,32.21,0.0,0.0,32.26,32.26,32.26,0.0,0.0
2018-04-15,32.54,32.54,32.54,0.0,0.0,32.62,32.62,32.62,0.0,0.0,31.93,31.93,31.93,0.0,0.0,31.97,31.97,31.97,0.0,0.0
2018-04-22,30.56,30.56,30.56,0.0,0.0,31.25,31.25,31.25,0.0,0.0,30.38,30.38,30.38,0.0,0.0,30.87,30.87,30.87,0.0,0.0
2018-04-29,31.38,31.38,31.38,0.0,0.0,31.52,31.52,31.52,0.0,0.0,31.22,31.22,31.22,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2018-05-06,32.09,32.09,32.09,0.0,0.0,32.09,32.09,32.09,0.0,0.0,31.15,31.15,31.15,0.0,0.0,31.15,31.15,31.15,0.0,0.0
2018-05-13,31.42,31.42,31.42,0.0,0.0,31.48,31.48,31.48,0.0,0.0,31.12,31.12,31.12,0.0,0.0,31.46,31.46,31.46,0.0,0.0
