Date,AdvisorShares Focused Equity_Open_average,AdvisorShares Focused Equity_Open_max,AdvisorShares Focused Equity_Open_min,AdvisorShares Focused Equity_Open_volatility,AdvisorShares Focused Equity_Open_change,AdvisorShares Focused Equity_High_average,AdvisorShares Focused Equity_High_max,AdvisorShares Focused Equity_High_min,AdvisorShares Focused Equity_High_volatility,AdvisorShares Focused Equity_High_change,AdvisorShares Focused Equity_Low_average,AdvisorShares Focused Equity_Low_max,AdvisorShares Focused Equity_Low_min,AdvisorShares Focused Equity_Low_volatility,AdvisorShares Focused Equity_Low_change,AdvisorShares Focused Equity_Close_average,AdvisorShares Focused Equity_Close_max,AdvisorShares Focused Equity_Close_min,AdvisorShares Focused Equity_Close_volatility,AdvisorShares Focused Equity_Close_change
2018-01-14,32.19,32.19,32.19,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.19,32.19,32.19,0.0,0.0,32.35,32.35,32.35,0.0,0.0
2018-01-21,32.73,32.73,32.73,0.0,0.0,32.9,32.9,32.9,0.0,0.0,32.73,32.73,32.73,0.0,0.0,32.9,32.9,32.9,0.0,0.0
2018-01-28,31.4,31.4,31.4,0.0,0.0,31.4,31.4,31.4,0.0,0.0,30.71,30.71,30.71,0.0,0.0,30.71,30.71,30.71,0.0,0.0
2018-02-04,30.08,30.08,30.08,0.0,0.0,30.75,30.75,30.75,0.0,0.0,30.08,30.08,30.08,0.0,0.0,30.75,30.75,30.75,0.0,0.0
2018-02-11,31.5,31.5,31.5,0.0,0.0,31.77,31.77,31.77,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.57,31.57,31.57,0.0,0.0
2018-02-18,31.94,31.94,31.94,0.0,0.0,31.94,31.94,31.94,0.0,0.0,31.94,31.94,31.94,0.0,0.0,31.94,31.94,31.94,0.0,0.0
2018-02-25,31.22,31.22,31.22,0.0,0.0,31.24,31.24,31.24,0.0,0.0,31.22,31.22,31.22,0.0,0.0,31.24,31.24,31.24,0.0,0.0
2018-03-04,32.51,32.51,32.51,0.0,0.0,32.51,32.51,32.51,0.0,0.0,32.26,32.26,32.26,0.0,0.0,32.26,32.26,32.26,0.0,0.0
2018-03-11,31.55,31.55,31.55,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.54,31.54,31.54,0.0,0.0
2018-03-18,30.45,30.45,30.45,0.0,0.0,30.89,30.89,30.89,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.87,30.87,30.87,0.0,0.0
2018-03-25,30.36,30.36,30.36,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.36,30.36,30.36,0.0,0.0,30.55,30.55,30.55,0.0,0.0
2018-04-01,30.8,30.8,30.8,0.0,0.0,30.85,30.85,30.85,0.0,0.0,30.8,30.8,30.8,0.0,0.0,30.85,30.85,30.85,0.0,0.0
2018-04-08,30.63,30.63,30.63,0.0,0.0,31.34,31.34,31.34,0.0,0.0,30.63,30.63,30.63,0.0,0.0,31.31,31.31,31.31,0.0,0.0
2018-04-15,31.03,31.03,31.03,0.0,0.0,31.05,31.05,31.05,0.0,0.0,30.98,30.98,30.98,0.0,0.0,30.98,30.98,30.98,0.0,0.0
2018-04-22,31.04,31.04,31.04,0.0,0.0,31.08,31.08,31.08,0.0,0.0,30.67,30.67,30.67,0.0,0.0,30.67,30.67,30.67,0.0,0.0
2018-04-29,30.45,30.45,30.45,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.45,30.45,30.45,0.0,0.0,30.5,30.5,30.5,0.0,0.0
2018-05-06,31.37,31.37,31.37,0.0,0.0,31.37,31.37,31.37,0.0,0.0,30.87,30.87,30.87,0.0,0.0,30.88,30.88,30.88,0.0,0.0
2018-05-13,31.33,31.33,31.33,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.33,31.33,31.33,0.0,0.0,31.33,31.33,31.33,0.0,0.0
2018-05-20,31.08,31.08,31.08,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.08,31.08,31.08,0.0,0.0,31.08,31.08,31.08,0.0,0.0
2018-05-27,31.15,31.15,31.15,0.0,0.0,31.15,31.15,31.15,0.0,0.0,31.15,31.15,31.15,0.0,0.0,31.15,31.15,31.15,0.0,0.0
