Date,iShares MSCI Israel Capped_Open_average,iShares MSCI Israel Capped_Open_max,iShares MSCI Israel Capped_Open_min,iShares MSCI Israel Capped_Open_volatility,iShares MSCI Israel Capped_Open_change,iShares MSCI Israel Capped_High_average,iShares MSCI Israel Capped_High_max,iShares MSCI Israel Capped_High_min,iShares MSCI Israel Capped_High_volatility,iShares MSCI Israel Capped_High_change,iShares MSCI Israel Capped_Low_average,iShares MSCI Israel Capped_Low_max,iShares MSCI Israel Capped_Low_min,iShares MSCI Israel Capped_Low_volatility,iShares MSCI Israel Capped_Low_change,iShares MSCI Israel Capped_Close_average,iShares MSCI Israel Capped_Close_max,iShares MSCI Israel Capped_Close_min,iShares MSCI Israel Capped_Close_volatility,iShares MSCI Israel Capped_Close_change
2018-01-14,53.78,53.78,53.78,0.0,0.0,53.91,53.91,53.91,0.0,0.0,53.5,53.5,53.5,0.0,0.0,53.77,53.77,53.77,0.0,0.0
2018-01-21,54.15,54.15,54.15,0.0,0.0,54.6,54.6,54.6,0.0,0.0,54.15,54.15,54.15,0.0,0.0,54.6,54.6,54.6,0.0,0.0
2018-01-28,53.28,53.28,53.28,0.0,0.0,53.41,53.41,53.41,0.0,0.0,52.58,52.58,52.58,0.0,0.0,52.58,52.58,52.58,0.0,0.0
2018-02-04,49.58,49.58,49.58,0.0,0.0,49.96,49.96,49.96,0.0,0.0,48.71,48.71,48.71,0.0,0.0,49.79,49.79,49.79,0.0,0.0
2018-02-11,51.64,51.64,51.64,0.0,0.0,51.93,51.93,51.93,0.0,0.0,51.56,51.56,51.56,0.0,0.0,51.83,51.83,51.83,0.0,0.0
2018-02-18,51.83,51.83,51.83,0.0,0.0,52.27,52.27,52.27,0.0,0.0,51.57,51.57,51.57,0.0,0.0,52.27,52.27,52.27,0.0,0.0
2018-02-25,51.13,51.13,51.13,0.0,0.0,51.76,51.76,51.76,0.0,0.0,50.92,50.92,50.92,0.0,0.0,51.46,51.46,51.46,0.0,0.0
2018-03-04,52.14,52.14,52.14,0.0,0.0,52.51,52.51,52.51,0.0,0.0,52.12,52.12,52.12,0.0,0.0,52.38,52.38,52.38,0.0,0.0
2018-03-11,52.15,52.15,52.15,0.0,0.0,52.5,52.5,52.5,0.0,0.0,51.96,51.96,51.96,0.0,0.0,52.15,52.15,52.15,0.0,0.0
2018-03-18,50.37,50.37,50.37,0.0,0.0,50.65,50.65,50.65,0.0,0.0,49.9,49.9,49.9,0.0,0.0,50.11,50.11,50.11,0.0,0.0
