Date,US Global JetsEtf_Open_average,US Global JetsEtf_Open_max,US Global JetsEtf_Open_min,US Global JetsEtf_Open_volatility,US Global JetsEtf_Open_change,US Global JetsEtf_High_average,US Global JetsEtf_High_max,US Global JetsEtf_High_min,US Global JetsEtf_High_volatility,US Global JetsEtf_High_change,US Global JetsEtf_Low_average,US Global JetsEtf_Low_max,US Global JetsEtf_Low_min,US Global JetsEtf_Low_volatility,US Global JetsEtf_Low_change,US Global JetsEtf_Close_average,US Global JetsEtf_Close_max,US Global JetsEtf_Close_min,US Global JetsEtf_Close_volatility,US Global JetsEtf_Close_change
2018-01-14,34.14,34.14,34.14,0.0,0.0,34.25,34.25,34.25,0.0,0.0,34.07,34.07,34.07,0.0,0.0,34.18,34.18,34.18,0.0,0.0
2018-01-21,32.33,32.33,32.33,0.0,0.0,32.56,32.56,32.56,0.0,0.0,32.24,32.24,32.24,0.0,0.0,32.56,32.56,32.56,0.0,0.0
2018-01-28,32.66,32.66,32.66,0.0,0.0,32.91,32.91,32.91,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.02,32.02,32.02,0.0,0.0
2018-02-04,30.78,30.78,30.78,0.0,0.0,30.8,30.8,30.8,0.0,0.0,29.49,29.49,29.49,0.0,0.0,30.47,30.47,30.47,0.0,0.0
2018-02-11,32.01,32.01,32.01,0.0,0.0,32.25,32.25,32.25,0.0,0.0,31.93,31.93,31.93,0.0,0.0,32.0,32.0,32.0,0.0,0.0
2018-02-18,32.21,32.21,32.21,0.0,0.0,32.38,32.38,32.38,0.0,0.0,32.09,32.09,32.09,0.0,0.0,32.31,32.31,32.31,0.0,0.0
2018-02-25,31.69,31.69,31.69,0.0,0.0,32.12,32.12,32.12,0.0,0.0,31.56,31.56,31.56,0.0,0.0,32.12,32.12,32.12,0.0,0.0
2018-03-04,33.1,33.1,33.1,0.0,0.0,33.47,33.47,33.47,0.0,0.0,33.0,33.0,33.0,0.0,0.0,33.43,33.43,33.43,0.0,0.0
2018-03-11,33.45,33.45,33.45,0.0,0.0,33.87,33.87,33.87,0.0,0.0,33.45,33.45,33.45,0.0,0.0,33.65,33.65,33.65,0.0,0.0
2018-03-18,32.24,32.24,32.24,0.0,0.0,32.39,32.39,32.39,0.0,0.0,31.72,31.72,31.72,0.0,0.0,31.74,31.74,31.74,0.0,0.0
2018-03-25,31.77,31.77,31.77,0.0,0.0,32.35,32.35,32.35,0.0,0.0,31.77,31.77,31.77,0.0,0.0,32.19,32.19,32.19,0.0,0.0
2018-04-01,32.33,32.33,32.33,0.0,0.0,32.36,32.36,32.36,0.0,0.0,31.55,31.55,31.55,0.0,0.0,31.76,31.76,31.76,0.0,0.0
2018-04-08,31.37,31.37,31.37,0.0,0.0,31.47,31.47,31.47,0.0,0.0,30.95,30.95,30.95,0.0,0.0,31.06,31.06,31.06,0.0,0.0
2018-04-15,31.87,31.87,31.87,0.0,0.0,31.89,31.89,31.89,0.0,0.0,31.66,31.66,31.66,0.0,0.0,31.76,31.76,31.76,0.0,0.0
