Date,SPDR Solactive United Kingdom_etf_Open_average,SPDR Solactive United Kingdom_etf_Open_max,SPDR Solactive United Kingdom_etf_Open_min,SPDR Solactive United Kingdom_etf_Open_volatility,SPDR Solactive United Kingdom_etf_Open_change,SPDR Solactive United Kingdom_etf_High_average,SPDR Solactive United Kingdom_etf_High_max,SPDR Solactive United Kingdom_etf_High_min,SPDR Solactive United Kingdom_etf_High_volatility,SPDR Solactive United Kingdom_etf_High_change,SPDR Solactive United Kingdom_etf_Low_average,SPDR Solactive United Kingdom_etf_Low_max,SPDR Solactive United Kingdom_etf_Low_min,SPDR Solactive United Kingdom_etf_Low_volatility,SPDR Solactive United Kingdom_etf_Low_change,SPDR Solactive United Kingdom_etf_Close_average,SPDR Solactive United Kingdom_etf_Close_max,SPDR Solactive United Kingdom_etf_Close_min,SPDR Solactive United Kingdom_etf_Close_volatility,SPDR Solactive United Kingdom_etf_Close_change
2018-01-14,55.57,55.57,55.57,0.0,0.0,55.57,55.57,55.57,0.0,0.0,55.5,55.5,55.5,0.0,0.0,55.5,55.5,55.5,0.0,0.0
2018-01-21,56.38,56.38,56.38,0.0,0.0,56.38,56.38,56.38,0.0,0.0,56.38,56.38,56.38,0.0,0.0,56.38,56.38,56.38,0.0,0.0
2018-01-28,54.9,54.9,54.9,0.0,0.0,54.9,54.9,54.9,0.0,0.0,54.54,54.54,54.54,0.0,0.0,54.59,54.59,54.59,0.0,0.0
2018-02-04,53.11,53.11,53.11,0.0,0.0,53.11,53.11,53.11,0.0,0.0,53.11,53.11,53.11,0.0,0.0,53.11,53.11,53.11,0.0,0.0
2018-02-11,53.5,53.5,53.5,0.0,0.0,53.5,53.5,53.5,0.0,0.0,53.5,53.5,53.5,0.0,0.0,53.5,53.5,53.5,0.0,0.0
2018-02-18,53.62,53.62,53.62,0.0,0.0,53.89,53.89,53.89,0.0,0.0,53.62,53.62,53.62,0.0,0.0,53.78,53.78,53.78,0.0,0.0
2018-02-25,52.09,52.09,52.09,0.0,0.0,52.09,52.09,52.09,0.0,0.0,52.02,52.02,52.02,0.0,0.0,52.02,52.02,52.02,0.0,0.0
2018-03-04,53.48,53.48,53.48,0.0,0.0,53.48,53.48,53.48,0.0,0.0,53.34,53.34,53.34,0.0,0.0,53.34,53.34,53.34,0.0,0.0
2018-03-11,52.95,52.95,52.95,0.0,0.0,52.95,52.95,52.95,0.0,0.0,52.95,52.95,52.95,0.0,0.0,52.95,52.95,52.95,0.0,0.0
2018-03-18,52.53,52.53,52.53,0.0,0.0,52.59,52.59,52.59,0.0,0.0,52.0,52.0,52.0,0.0,0.0,52.3,52.3,52.3,0.0,0.0
