Date,PowerShares DB G10 Currency Harvest_Open_average,PowerShares DB G10 Currency Harvest_Open_max,PowerShares DB G10 Currency Harvest_Open_min,PowerShares DB G10 Currency Harvest_Open_volatility,PowerShares DB G10 Currency Harvest_Open_change,PowerShares DB G10 Currency Harvest_High_average,PowerShares DB G10 Currency Harvest_High_max,PowerShares DB G10 Currency Harvest_High_min,PowerShares DB G10 Currency Harvest_High_volatility,PowerShares DB G10 Currency Harvest_High_change,PowerShares DB G10 Currency Harvest_Low_average,PowerShares DB G10 Currency Harvest_Low_max,PowerShares DB G10 Currency Harvest_Low_min,PowerShares DB G10 Currency Harvest_Low_volatility,PowerShares DB G10 Currency Harvest_Low_change,PowerShares DB G10 Currency Harvest_Close_average,PowerShares DB G10 Currency Harvest_Close_max,PowerShares DB G10 Currency Harvest_Close_min,PowerShares DB G10 Currency Harvest_Close_volatility,PowerShares DB G10 Currency Harvest_Close_change
2018-01-14,23.74,23.74,23.74,0.0,0.0,23.82,23.82,23.82,0.0,0.0,23.68,23.68,23.68,0.0,0.0,23.81,23.81,23.81,0.0,0.0
2018-01-21,23.39,23.39,23.39,0.0,0.0,23.49,23.49,23.49,0.0,0.0,23.39,23.39,23.39,0.0,0.0,23.46,23.46,23.46,0.0,0.0
2018-01-28,23.2,23.2,23.2,0.0,0.0,23.22,23.22,23.22,0.0,0.0,23.11,23.11,23.11,0.0,0.0,23.12,23.12,23.12,0.0,0.0
2018-02-04,23.31,23.31,23.31,0.0,0.0,23.33,23.33,23.33,0.0,0.0,23.28,23.28,23.28,0.0,0.0,23.33,23.33,23.33,0.0,0.0
2018-02-11,23.14,23.14,23.14,0.0,0.0,23.18,23.18,23.18,0.0,0.0,23.13,23.13,23.13,0.0,0.0,23.18,23.18,23.18,0.0,0.0
2018-02-18,23.52,23.52,23.52,0.0,0.0,23.52,23.52,23.52,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.5,23.5,23.5,0.0,0.0
2018-02-25,23.36,23.36,23.36,0.0,0.0,23.36,23.36,23.36,0.0,0.0,23.34,23.34,23.34,0.0,0.0,23.36,23.36,23.36,0.0,0.0
2018-03-04,23.65,23.65,23.65,0.0,0.0,23.65,23.65,23.65,0.0,0.0,23.6,23.6,23.6,0.0,0.0,23.62,23.62,23.62,0.0,0.0
2018-03-11,23.5,23.5,23.5,0.0,0.0,23.5,23.5,23.5,0.0,0.0,23.4,23.4,23.4,0.0,0.0,23.4,23.4,23.4,0.0,0.0
2018-03-18,23.02,23.02,23.02,0.0,0.0,23.42,23.42,23.42,0.0,0.0,23.02,23.02,23.02,0.0,0.0,23.35,23.35,23.35,0.0,0.0
2018-03-25,23.6,23.6,23.6,0.0,0.0,23.67,23.67,23.67,0.0,0.0,23.6,23.6,23.6,0.0,0.0,23.65,23.65,23.65,0.0,0.0
2018-04-01,23.73,23.73,23.73,0.0,0.0,23.83,23.83,23.83,0.0,0.0,23.73,23.73,23.73,0.0,0.0,23.8,23.8,23.8,0.0,0.0
2018-04-08,23.96,23.96,23.96,0.0,0.0,24.02,24.02,24.02,0.0,0.0,23.89,23.89,23.89,0.0,0.0,23.91,23.91,23.91,0.0,0.0
2018-04-15,23.84,23.84,23.84,0.0,0.0,24.0,24.0,24.0,0.0,0.0,23.84,23.84,23.84,0.0,0.0,23.91,23.91,23.91,0.0,0.0
2018-04-22,24.04,24.04,24.04,0.0,0.0,24.1,24.1,24.1,0.0,0.0,24.04,24.04,24.04,0.0,0.0,24.06,24.06,24.06,0.0,0.0
2018-04-29,24.34,24.34,24.34,0.0,0.0,24.4,24.4,24.4,0.0,0.0,24.26,24.26,24.26,0.0,0.0,24.32,24.32,24.32,0.0,0.0
2018-05-06,24.14,24.14,24.14,0.0,0.0,24.16,24.16,24.16,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.16,24.16,24.16,0.0,0.0
2018-05-13,24.25,24.25,24.25,0.0,0.0,24.27,24.27,24.27,0.0,0.0,24.23,24.23,24.23,0.0,0.0,24.27,24.27,24.27,0.0,0.0
2018-05-20,24.32,24.32,24.32,0.0,0.0,24.32,24.32,24.32,0.0,0.0,24.31,24.31,24.31,0.0,0.0,24.31,24.31,24.31,0.0,0.0
2018-05-27,24.63,24.63,24.63,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.63,24.63,24.63,0.0,0.0,24.63,24.63,24.63,0.0,0.0
2018-06-03,24.42,24.42,24.42,0.0,0.0,24.48,24.48,24.48,0.0,0.0,24.31,24.31,24.31,0.0,0.0,24.32,24.32,24.32,0.0,0.0
