Date,SPDR MSCI EAFE Fossil Fuel Reserves Free_etf_Open_average,SPDR MSCI EAFE Fossil Fuel Reserves Free_etf_Open_max,SPDR MSCI EAFE Fossil Fuel Reserves Free_etf_Open_min,SPDR MSCI EAFE Fossil Fuel Reserves Free_etf_Open_volatility,SPDR MSCI EAFE Fossil Fuel Reserves Free_etf_Open_change,SPDR MSCI EAFE Fossil Fuel Reserves Free_etf_High_average,SPDR MSCI EAFE Fossil Fuel Reserves Free_etf_High_max,SPDR MSCI EAFE Fossil Fuel Reserves Free_etf_High_min,SPDR MSCI EAFE Fossil Fuel Reserves Free_etf_High_volatility,SPDR MSCI EAFE Fossil Fuel Reserves Free_etf_High_change,SPDR MSCI EAFE Fossil Fuel Reserves Free_etf_Low_average,SPDR MSCI EAFE Fossil Fuel Reserves Free_etf_Low_max,SPDR MSCI EAFE Fossil Fuel Reserves Free_etf_Low_min,SPDR MSCI EAFE Fossil Fuel Reserves Free_etf_Low_volatility,SPDR MSCI EAFE Fossil Fuel Reserves Free_etf_Low_change,SPDR MSCI EAFE Fossil Fuel Reserves Free_etf_Close_average,SPDR MSCI EAFE Fossil Fuel Reserves Free_etf_Close_max,SPDR MSCI EAFE Fossil Fuel Reserves Free_etf_Close_min,SPDR MSCI EAFE Fossil Fuel Reserves Free_etf_Close_volatility,SPDR MSCI EAFE Fossil Fuel Reserves Free_etf_Close_change
2018-01-14,76.77,76.77,76.77,0.0,0.0,76.77,76.77,76.77,0.0,0.0,76.6,76.6,76.6,0.0,0.0,76.77,76.77,76.77,0.0,0.0
2018-01-21,77.73,77.73,77.73,0.0,0.0,77.73,77.73,77.73,0.0,0.0,77.15,77.15,77.15,0.0,0.0,77.16,77.16,77.16,0.0,0.0
2018-01-28,76.12,76.12,76.12,0.0,0.0,76.12,76.12,76.12,0.0,0.0,75.49,75.49,75.49,0.0,0.0,75.49,75.49,75.49,0.0,0.0
2018-02-04,71.5,71.5,71.5,0.0,0.0,71.5,71.5,71.5,0.0,0.0,70.88,70.88,70.88,0.0,0.0,70.88,70.88,70.88,0.0,0.0
2018-02-11,73.75,73.75,73.75,0.0,0.0,74.28,74.28,74.28,0.0,0.0,73.75,73.75,73.75,0.0,0.0,74.18,74.18,74.18,0.0,0.0
2018-02-18,73.63,73.63,73.63,0.0,0.0,74.09,74.09,74.09,0.0,0.0,73.62,73.62,73.62,0.0,0.0,74.03,74.03,74.03,0.0,0.0
2018-02-25,71.55,71.55,71.55,0.0,0.0,71.94,71.94,71.94,0.0,0.0,71.34,71.34,71.34,0.0,0.0,71.85,71.85,71.85,0.0,0.0
2018-03-04,73.19,73.19,73.19,0.0,0.0,73.5,73.5,73.5,0.0,0.0,73.16,73.16,73.16,0.0,0.0,73.26,73.26,73.26,0.0,0.0
2018-03-11,73.19,73.19,73.19,0.0,0.0,73.22,73.22,73.22,0.0,0.0,73.19,73.19,73.19,0.0,0.0,73.22,73.22,73.22,0.0,0.0
2018-03-18,71.08,71.08,71.08,0.0,0.0,71.15,71.15,71.15,0.0,0.0,71.0,71.0,71.0,0.0,0.0,71.02,71.02,71.02,0.0,0.0
2018-03-25,72.07,72.07,72.07,0.0,0.0,72.23,72.23,72.23,0.0,0.0,72.05,72.05,72.05,0.0,0.0,72.22,72.22,72.22,0.0,0.0
2018-04-01,72.05,72.05,72.05,0.0,0.0,72.05,72.05,72.05,0.0,0.0,72.05,72.05,72.05,0.0,0.0,72.05,72.05,72.05,0.0,0.0
2018-04-08,73.05,73.05,73.05,0.0,0.0,73.05,73.05,73.05,0.0,0.0,73.01,73.01,73.01,0.0,0.0,73.01,73.01,73.01,0.0,0.0
2018-04-15,73.27,73.27,73.27,0.0,0.0,73.27,73.27,73.27,0.0,0.0,73.11,73.11,73.11,0.0,0.0,73.11,73.11,73.11,0.0,0.0
2018-04-22,72.93,72.93,72.93,0.0,0.0,73.19,73.19,73.19,0.0,0.0,72.93,72.93,72.93,0.0,0.0,73.15,73.15,73.15,0.0,0.0
2018-04-29,72.69,72.69,72.69,0.0,0.0,72.69,72.69,72.69,0.0,0.0,72.69,72.69,72.69,0.0,0.0,72.69,72.69,72.69,0.0,0.0
2018-05-06,73.69,73.69,73.69,0.0,0.0,73.78,73.78,73.78,0.0,0.0,73.69,73.69,73.69,0.0,0.0,73.78,73.78,73.78,0.0,0.0
2018-05-13,73.36,73.36,73.36,0.0,0.0,73.36,73.36,73.36,0.0,0.0,73.2,73.2,73.2,0.0,0.0,73.27,73.27,73.27,0.0,0.0
2018-05-20,72.49,72.49,72.49,0.0,0.0,72.49,72.49,72.49,0.0,0.0,72.25,72.25,72.25,0.0,0.0,72.25,72.25,72.25,0.0,0.0
