Date,PowerShares DWA SmallCap Momentum Portfolio_Open_average,PowerShares DWA SmallCap Momentum Portfolio_Open_max,PowerShares DWA SmallCap Momentum Portfolio_Open_min,PowerShares DWA SmallCap Momentum Portfolio_Open_volatility,PowerShares DWA SmallCap Momentum Portfolio_Open_change,PowerShares DWA SmallCap Momentum Portfolio_High_average,PowerShares DWA SmallCap Momentum Portfolio_High_max,PowerShares DWA SmallCap Momentum Portfolio_High_min,PowerShares DWA SmallCap Momentum Portfolio_High_volatility,PowerShares DWA SmallCap Momentum Portfolio_High_change,PowerShares DWA SmallCap Momentum Portfolio_Low_average,PowerShares DWA SmallCap Momentum Portfolio_Low_max,PowerShares DWA SmallCap Momentum Portfolio_Low_min,PowerShares DWA SmallCap Momentum Portfolio_Low_volatility,PowerShares DWA SmallCap Momentum Portfolio_Low_change,PowerShares DWA SmallCap Momentum Portfolio_Close_average,PowerShares DWA SmallCap Momentum Portfolio_Close_max,PowerShares DWA SmallCap Momentum Portfolio_Close_min,PowerShares DWA SmallCap Momentum Portfolio_Close_volatility,PowerShares DWA SmallCap Momentum Portfolio_Close_change
2018-01-14,50.17,50.17,50.17,0.0,0.0,50.99,50.99,50.99,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.99,50.99,50.99,0.0,0.0
2018-01-21,51.19,51.19,51.19,0.0,0.0,51.42,51.42,51.42,0.0,0.0,51.04,51.04,51.04,0.0,0.0,51.41,51.41,51.41,0.0,0.0
2018-01-28,50.66,50.66,50.66,0.0,0.0,50.66,50.66,50.66,0.0,0.0,49.87,49.87,49.87,0.0,0.0,50.11,50.11,50.11,0.0,0.0
2018-02-04,47.96,47.96,47.96,0.0,0.0,48.14,48.14,48.14,0.0,0.0,46.21,46.21,46.21,0.0,0.0,47.62,47.62,47.62,0.0,0.0
2018-02-11,50.05,50.05,50.05,0.0,0.0,50.92,50.92,50.92,0.0,0.0,50.05,50.05,50.05,0.0,0.0,50.73,50.73,50.73,0.0,0.0
2018-02-18,50.64,50.64,50.64,0.0,0.0,51.05,51.05,51.05,0.0,0.0,50.35,50.35,50.35,0.0,0.0,51.05,51.05,51.05,0.0,0.0
2018-02-25,49.12,49.12,49.12,0.0,0.0,50.6,50.6,50.6,0.0,0.0,49.12,49.12,49.12,0.0,0.0,50.59,50.59,50.59,0.0,0.0
2018-03-04,51.9,51.9,51.9,0.0,0.0,52.74,52.74,52.74,0.0,0.0,51.58,51.58,51.58,0.0,0.0,52.73,52.73,52.73,0.0,0.0
2018-03-11,51.75,51.75,51.75,0.0,0.0,52.01,52.01,52.01,0.0,0.0,51.6,51.6,51.6,0.0,0.0,51.77,51.77,51.77,0.0,0.0
2018-03-18,51.25,51.25,51.25,0.0,0.0,51.25,51.25,51.25,0.0,0.0,49.5,49.5,49.5,0.0,0.0,49.53,49.53,49.53,0.0,0.0
2018-03-25,49.23,49.23,49.23,0.0,0.0,50.04,50.04,50.04,0.0,0.0,49.23,49.23,49.23,0.0,0.0,49.55,49.55,49.55,0.0,0.0
2018-04-01,49.41,49.41,49.41,0.0,0.0,49.41,49.41,49.41,0.0,0.0,48.13,48.13,48.13,0.0,0.0,48.59,48.59,48.59,0.0,0.0
