Date,iShares MSCI Emerging Markets Small-Cap_Open_average,iShares MSCI Emerging Markets Small-Cap_Open_max,iShares MSCI Emerging Markets Small-Cap_Open_min,iShares MSCI Emerging Markets Small-Cap_Open_volatility,iShares MSCI Emerging Markets Small-Cap_Open_change,iShares MSCI Emerging Markets Small-Cap_High_average,iShares MSCI Emerging Markets Small-Cap_High_max,iShares MSCI Emerging Markets Small-Cap_High_min,iShares MSCI Emerging Markets Small-Cap_High_volatility,iShares MSCI Emerging Markets Small-Cap_High_change,iShares MSCI Emerging Markets Small-Cap_Low_average,iShares MSCI Emerging Markets Small-Cap_Low_max,iShares MSCI Emerging Markets Small-Cap_Low_min,iShares MSCI Emerging Markets Small-Cap_Low_volatility,iShares MSCI Emerging Markets Small-Cap_Low_change,iShares MSCI Emerging Markets Small-Cap_Close_average,iShares MSCI Emerging Markets Small-Cap_Close_max,iShares MSCI Emerging Markets Small-Cap_Close_min,iShares MSCI Emerging Markets Small-Cap_Close_volatility,iShares MSCI Emerging Markets Small-Cap_Close_change
2018-01-14,55.94,55.94,55.94,0.0,0.0,56.24,56.24,56.24,0.0,0.0,55.71,55.71,55.71,0.0,0.0,56.19,56.19,56.19,0.0,0.0
2018-01-21,56.91,56.91,56.91,0.0,0.0,56.91,56.91,56.91,0.0,0.0,56.5,56.5,56.5,0.0,0.0,56.5,56.5,56.5,0.0,0.0
2018-01-28,54.14,54.14,54.14,0.0,0.0,54.14,54.14,54.14,0.0,0.0,52.09,52.09,52.09,0.0,0.0,52.46,52.46,52.46,0.0,0.0
2018-02-04,52.28,52.28,52.28,0.0,0.0,52.66,52.66,52.66,0.0,0.0,51.87,51.87,51.87,0.0,0.0,52.25,52.25,52.25,0.0,0.0
2018-02-11,54.03,54.03,54.03,0.0,0.0,54.58,54.58,54.58,0.0,0.0,54.03,54.03,54.03,0.0,0.0,54.27,54.27,54.27,0.0,0.0
2018-02-18,54.61,54.61,54.61,0.0,0.0,55.0,55.0,55.0,0.0,0.0,54.26,54.26,54.26,0.0,0.0,54.96,54.96,54.96,0.0,0.0
2018-02-25,53.06,53.06,53.06,0.0,0.0,53.73,53.73,53.73,0.0,0.0,52.97,52.97,52.97,0.0,0.0,53.47,53.47,53.47,0.0,0.0
2018-03-04,54.28,54.28,54.28,0.0,0.0,54.4,54.4,54.4,0.0,0.0,54.15,54.15,54.15,0.0,0.0,54.29,54.29,54.29,0.0,0.0
2018-03-11,53.4,53.4,53.4,0.0,0.0,53.6,53.6,53.6,0.0,0.0,53.0,53.0,53.0,0.0,0.0,53.2,53.2,53.2,0.0,0.0
2018-03-18,52.74,52.74,52.74,0.0,0.0,53.15,53.15,53.15,0.0,0.0,52.37,52.37,52.37,0.0,0.0,53.02,53.02,53.02,0.0,0.0
2018-03-25,53.21,53.21,53.21,0.0,0.0,53.21,53.21,53.21,0.0,0.0,52.35,52.35,52.35,0.0,0.0,52.59,52.59,52.59,0.0,0.0
2018-04-01,53.35,53.35,53.35,0.0,0.0,53.43,53.43,53.43,0.0,0.0,53.02,53.02,53.02,0.0,0.0,53.16,53.16,53.16,0.0,0.0
2018-04-08,53.64,53.64,53.64,0.0,0.0,53.8,53.8,53.8,0.0,0.0,53.46,53.46,53.46,0.0,0.0,53.79,53.79,53.79,0.0,0.0
