Date,Vanguard Telecommunication ServicesEtf_Open_average,Vanguard Telecommunication ServicesEtf_Open_max,Vanguard Telecommunication ServicesEtf_Open_min,Vanguard Telecommunication ServicesEtf_Open_volatility,Vanguard Telecommunication ServicesEtf_Open_change,Vanguard Telecommunication ServicesEtf_High_average,Vanguard Telecommunication ServicesEtf_High_max,Vanguard Telecommunication ServicesEtf_High_min,Vanguard Telecommunication ServicesEtf_High_volatility,Vanguard Telecommunication ServicesEtf_High_change,Vanguard Telecommunication ServicesEtf_Low_average,Vanguard Telecommunication ServicesEtf_Low_max,Vanguard Telecommunication ServicesEtf_Low_min,Vanguard Telecommunication ServicesEtf_Low_volatility,Vanguard Telecommunication ServicesEtf_Low_change,Vanguard Telecommunication ServicesEtf_Close_average,Vanguard Telecommunication ServicesEtf_Close_max,Vanguard Telecommunication ServicesEtf_Close_min,Vanguard Telecommunication ServicesEtf_Close_volatility,Vanguard Telecommunication ServicesEtf_Close_change
2018-01-14,90.15,90.15,90.15,0.0,0.0,90.75,90.75,90.75,0.0,0.0,89.7,89.7,89.7,0.0,0.0,90.73,90.73,90.73,0.0,0.0
2018-01-21,92.48,92.48,92.48,0.0,0.0,93.05,93.05,93.05,0.0,0.0,92.25,92.25,92.25,0.0,0.0,92.99,92.99,92.99,0.0,0.0
2018-01-28,92.71,92.71,92.71,0.0,0.0,92.71,92.71,92.71,0.0,0.0,90.94,90.94,90.94,0.0,0.0,90.96,90.96,90.96,0.0,0.0
2018-02-04,85.75,85.75,85.75,0.0,0.0,86.12,86.12,86.12,0.0,0.0,83.18,83.18,83.18,0.0,0.0,85.33,85.33,85.33,0.0,0.0
2018-02-11,88.53,88.53,88.53,0.0,0.0,89.81,89.81,89.81,0.0,0.0,88.32,88.32,88.32,0.0,0.0,89.2,89.2,89.2,0.0,0.0
2018-02-18,86.5,86.5,86.5,0.0,0.0,87.93,87.93,87.93,0.0,0.0,86.4,86.4,86.4,0.0,0.0,87.87,87.87,87.87,0.0,0.0
2018-02-25,86.5,86.5,86.5,0.0,0.0,87.43,87.43,87.43,0.0,0.0,86.47,86.47,86.47,0.0,0.0,87.33,87.33,87.33,0.0,0.0
2018-03-04,89.53,89.53,89.53,0.0,0.0,89.63,89.63,89.63,0.0,0.0,88.85,88.85,88.85,0.0,0.0,89.53,89.53,89.53,0.0,0.0
2018-03-11,86.83,86.83,86.83,0.0,0.0,87.99,87.99,87.99,0.0,0.0,86.75,86.75,86.75,0.0,0.0,87.74,87.74,87.74,0.0,0.0
2018-03-18,84.44,84.44,84.44,0.0,0.0,84.91,84.91,84.91,0.0,0.0,82.65,82.65,82.65,0.0,0.0,82.73,82.73,82.73,0.0,0.0
2018-03-25,83.89,83.89,83.89,0.0,0.0,84.34,84.34,84.34,0.0,0.0,83.55,83.55,83.55,0.0,0.0,83.67,83.67,83.67,0.0,0.0
2018-04-01,84.49,84.49,84.49,0.0,0.0,85.08,85.08,85.08,0.0,0.0,83.59,83.59,83.59,0.0,0.0,83.97,83.97,83.97,0.0,0.0
2018-04-08,86.42,86.42,86.42,0.0,0.0,86.52,86.52,86.52,0.0,0.0,85.41,85.41,85.41,0.0,0.0,85.69,85.69,85.69,0.0,0.0
2018-04-15,87.2,87.2,87.2,0.0,0.0,87.71,87.71,87.71,0.0,0.0,86.37,86.37,86.37,0.0,0.0,87.0,87.0,87.0,0.0,0.0
2018-04-22,87.16,87.16,87.16,0.0,0.0,87.89,87.89,87.89,0.0,0.0,87.16,87.16,87.16,0.0,0.0,87.45,87.45,87.45,0.0,0.0
2018-04-29,82.87,82.87,82.87,0.0,0.0,84.02,84.02,84.02,0.0,0.0,82.7,82.7,82.7,0.0,0.0,83.8,83.8,83.8,0.0,0.0
2018-05-06,83.84,83.84,83.84,0.0,0.0,84.56,84.56,84.56,0.0,0.0,83.84,83.84,83.84,0.0,0.0,84.1,84.1,84.1,0.0,0.0
2018-05-13,83.24,83.24,83.24,0.0,0.0,83.43,83.43,83.43,0.0,0.0,82.87,82.87,82.87,0.0,0.0,83.28,83.28,83.28,0.0,0.0
2018-05-20,83.31,83.31,83.31,0.0,0.0,83.31,83.31,83.31,0.0,0.0,82.45,82.45,82.45,0.0,0.0,82.58,82.58,82.58,0.0,0.0
2018-05-27,82.39,82.39,82.39,0.0,0.0,83.57,83.57,83.57,0.0,0.0,82.39,82.39,82.39,0.0,0.0,83.22,83.22,83.22,0.0,0.0
