Date,iPath Bloomberg Natural Gas Subindex Total Return_Open_average,iPath Bloomberg Natural Gas Subindex Total Return_Open_max,iPath Bloomberg Natural Gas Subindex Total Return_Open_volatility,iPath Bloomberg Natural Gas Subindex Total Return_Open_change,iPath Bloomberg Natural Gas Subindex Total Return_High_average,iPath Bloomberg Natural Gas Subindex Total Return_High_max,iPath Bloomberg Natural Gas Subindex Total Return_High_volatility,iPath Bloomberg Natural Gas Subindex Total Return_High_change,iPath Bloomberg Natural Gas Subindex Total Return_Low_average,iPath Bloomberg Natural Gas Subindex Total Return_Low_max,iPath Bloomberg Natural Gas Subindex Total Return_Low_volatility,iPath Bloomberg Natural Gas Subindex Total Return_Low_change,iPath Bloomberg Natural Gas Subindex Total Return_Close_average,iPath Bloomberg Natural Gas Subindex Total Return_Close_max,iPath Bloomberg Natural Gas Subindex Total Return_Close_volatility,iPath Bloomberg Natural Gas Subindex Total Return_Close_change
2016-01-03,0.78,0.78,0.0,0.0,0.78,0.78,0.0,0.0,0.635,0.635,0.0,0.0,0.7,0.7,0.0,0.0
2016-01-10,0.65,0.65,0.0,0.0,0.65,0.65,0.0,0.0,0.52,0.52,0.0,0.0,0.59,0.59,0.0,0.0
2016-01-17,0.47,0.47,0.0,0.0,0.48,0.48,0.0,0.0,0.44,0.44,0.0,0.0,0.44,0.44,0.0,0.0
2016-01-24,0.536,0.536,0.0,0.0,0.536,0.536,0.0,0.0,0.475,0.475,0.0,0.0,0.49,0.49,0.0,0.0
2016-01-31,0.54,0.54,0.0,0.0,0.55,0.55,0.0,0.0,0.5139,0.5139,0.0,0.0,0.5139,0.5139,0.0,0.0
2016-02-07,0.5396,0.5396,0.0,0.0,0.54,0.54,0.0,0.0,0.47,0.47,0.0,0.0,0.49,0.49,0.0,0.0
2016-02-14,0.47,0.47,0.0,0.0,0.47,0.47,0.0,0.0,0.4048,0.4048,0.0,0.0,0.43,0.43,0.0,0.0
2016-02-21,0.38,0.38,0.0,0.0,0.38,0.38,0.0,0.0,0.36,0.36,0.0,0.0,0.36,0.36,0.0,0.0
2016-02-28,0.42,0.42,0.0,0.0,0.48,0.48,0.0,0.0,0.42,0.42,0.0,0.0,0.45,0.45,0.0,0.0
2016-03-06,0.52,0.52,0.0,0.0,0.56,0.56,0.0,0.0,0.4801,0.4801,0.0,0.0,0.51,0.51,0.0,0.0
2016-03-13,0.48,0.48,0.0,0.0,0.5099,0.5099,0.0,0.0,0.47,0.47,0.0,0.0,0.47,0.47,0.0,0.0
2016-03-20,0.49,0.49,0.0,0.0,0.49,0.49,0.0,0.0,0.4701,0.4701,0.0,0.0,0.49,0.49,0.0,0.0
2016-03-27,0.53,0.53,0.0,0.0,0.53,0.53,0.0,0.0,0.475,0.475,0.0,0.0,0.5097,0.5097,0.0,0.0
2016-04-03,0.47,0.47,0.0,0.0,0.52,0.52,0.0,0.0,0.47,0.47,0.0,0.0,0.49,0.49,0.0,0.0
2016-04-10,0.45,0.45,0.0,0.0,0.4899,0.4899,0.0,0.0,0.45,0.45,0.0,0.0,0.4713,0.4713,0.0,0.0
2016-04-17,0.49,0.49,0.0,0.0,0.4908,0.4908,0.0,0.0,0.4798,0.4798,0.0,0.0,0.48,0.48,0.0,0.0
2016-04-24,0.465,0.465,0.0,0.0,0.475,0.475,0.0,0.0,0.465,0.465,0.0,0.0,0.465,0.465,0.0,0.0
2016-05-01,0.4651,0.4651,0.0,0.0,0.48,0.48,0.0,0.0,0.465,0.465,0.0,0.0,0.465,0.465,0.0,0.0
2016-05-08,0.465,0.465,0.0,0.0,0.469,0.469,0.0,0.0,0.44,0.44,0.0,0.0,0.445,0.445,0.0,0.0
2016-05-15,0.4399,0.4399,0.0,0.0,0.44,0.44,0.0,0.0,0.4399,0.4399,0.0,0.0,0.44,0.44,0.0,0.0
2016-05-22,0.3988,0.3988,0.0,0.0,0.4127,0.4127,0.0,0.0,0.3988,0.3988,0.0,0.0,0.4,0.4,0.0,0.0
2016-05-29,0.43,0.43,0.0,0.0,0.4558,0.4558,0.0,0.0,0.4215,0.4215,0.0,0.0,0.445,0.445,0.0,0.0
2016-06-05,0.53,0.53,0.0,0.0,0.5469,0.5469,0.0,0.0,0.4899,0.4899,0.0,0.0,0.5301,0.5301,0.0,0.0
