Date,John Hancock Multifactor Technology_Open_average,John Hancock Multifactor Technology_Open_max,John Hancock Multifactor Technology_Open_min,John Hancock Multifactor Technology_Open_volatility,John Hancock Multifactor Technology_Open_change,John Hancock Multifactor Technology_High_average,John Hancock Multifactor Technology_High_max,John Hancock Multifactor Technology_High_min,John Hancock Multifactor Technology_High_volatility,John Hancock Multifactor Technology_High_change,John Hancock Multifactor Technology_Low_average,John Hancock Multifactor Technology_Low_max,John Hancock Multifactor Technology_Low_min,John Hancock Multifactor Technology_Low_volatility,John Hancock Multifactor Technology_Low_change,John Hancock Multifactor Technology_Close_average,John Hancock Multifactor Technology_Close_max,John Hancock Multifactor Technology_Close_min,John Hancock Multifactor Technology_Close_volatility,John Hancock Multifactor Technology_Close_change
2018-01-14,43.86,43.86,43.86,0.0,0.0,43.86,43.86,43.86,0.0,0.0,43.7,43.7,43.7,0.0,0.0,43.82,43.82,43.82,0.0,0.0
2018-01-21,44.64,44.64,44.64,0.0,0.0,44.7,44.7,44.7,0.0,0.0,44.36,44.36,44.36,0.0,0.0,44.7,44.7,44.7,0.0,0.0
2018-01-28,43.69,43.69,43.69,0.0,0.0,43.76,43.76,43.76,0.0,0.0,43.16,43.16,43.16,0.0,0.0,43.16,43.16,43.16,0.0,0.0
2018-02-04,41.03,41.03,41.03,0.0,0.0,41.37,41.37,41.37,0.0,0.0,39.72,39.72,39.72,0.0,0.0,41.37,41.37,41.37,0.0,0.0
2018-02-11,43.87,43.87,43.87,0.0,0.0,43.91,43.91,43.91,0.0,0.0,43.5,43.5,43.5,0.0,0.0,43.62,43.62,43.62,0.0,0.0
2018-02-18,43.89,43.89,43.89,0.0,0.0,43.95,43.95,43.95,0.0,0.0,43.78,43.78,43.78,0.0,0.0,43.94,43.94,43.94,0.0,0.0
2018-02-25,43.43,43.43,43.43,0.0,0.0,44.45,44.45,44.45,0.0,0.0,43.42,43.42,43.42,0.0,0.0,44.45,44.45,44.45,0.0,0.0
2018-03-04,46.43,46.43,46.43,0.0,0.0,46.6,46.6,46.6,0.0,0.0,46.19,46.19,46.19,0.0,0.0,46.6,46.6,46.6,0.0,0.0
2018-03-11,46.12,46.12,46.12,0.0,0.0,46.2,46.2,46.2,0.0,0.0,46.12,46.12,46.12,0.0,0.0,46.17,46.17,46.17,0.0,0.0
2018-03-18,43.84,43.84,43.84,0.0,0.0,43.98,43.98,43.98,0.0,0.0,42.78,42.78,42.78,0.0,0.0,42.78,42.78,42.78,0.0,0.0
2018-03-25,42.83,42.83,42.83,0.0,0.0,43.55,43.55,43.55,0.0,0.0,42.83,42.83,42.83,0.0,0.0,43.41,43.41,43.41,0.0,0.0
2018-04-01,42.33,42.33,42.33,0.0,0.0,42.33,42.33,42.33,0.0,0.0,41.98,41.98,41.98,0.0,0.0,42.02,42.02,42.02,0.0,0.0
2018-04-08,44.15,44.15,44.15,0.0,0.0,44.15,44.15,44.15,0.0,0.0,43.54,43.54,43.54,0.0,0.0,43.67,43.67,43.67,0.0,0.0
2018-04-15,44.0,44.0,44.0,0.0,0.0,44.0,44.0,44.0,0.0,0.0,43.48,43.48,43.48,0.0,0.0,43.5,43.5,43.5,0.0,0.0
2018-04-22,43.87,43.87,43.87,0.0,0.0,43.87,43.87,43.87,0.0,0.0,42.98,42.98,42.98,0.0,0.0,43.17,43.17,43.17,0.0,0.0
2018-04-29,42.89,42.89,42.89,0.0,0.0,43.98,43.98,43.98,0.0,0.0,42.89,42.89,42.89,0.0,0.0,43.93,43.93,43.93,0.0,0.0
2018-05-06,45.47,45.47,45.47,0.0,0.0,45.47,45.47,45.47,0.0,0.0,45.37,45.37,45.37,0.0,0.0,45.44,45.44,45.44,0.0,0.0
2018-05-13,45.07,45.07,45.07,0.0,0.0,45.11,45.11,45.11,0.0,0.0,44.94,44.94,44.94,0.0,0.0,45.1,45.1,45.1,0.0,0.0
2018-05-20,45.58,45.58,45.58,0.0,0.0,45.65,45.65,45.65,0.0,0.0,45.53,45.53,45.53,0.0,0.0,45.55,45.55,45.55,0.0,0.0
2018-05-27,46.12,46.12,46.12,0.0,0.0,46.4,46.4,46.4,0.0,0.0,46.12,46.12,46.12,0.0,0.0,46.37,46.37,46.37,0.0,0.0
2018-06-03,46.63,46.63,46.63,0.0,0.0,46.77,46.77,46.77,0.0,0.0,46.58,46.58,46.58,0.0,0.0,46.72,46.72,46.72,0.0,0.0
2018-06-10,47.28,47.28,47.28,0.0,0.0,47.28,47.28,47.28,0.0,0.0,47.08,47.08,47.08,0.0,0.0,47.27,47.27,47.27,0.0,0.0
2018-06-17,46.29,46.29,46.29,0.0,0.0,46.38,46.38,46.38,0.0,0.0,46.18,46.18,46.18,0.0,0.0,46.26,46.26,46.26,0.0,0.0
2018-06-24,45.22,45.22,45.22,0.0,0.0,45.27,45.27,45.27,0.0,0.0,44.89,44.89,44.89,0.0,0.0,44.89,44.89,44.89,0.0,0.0
