Date,SPDR S&P Health Care Services_Open_average,SPDR S&P Health Care Services_Open_max,SPDR S&P Health Care Services_Open_min,SPDR S&P Health Care Services_Open_volatility,SPDR S&P Health Care Services_Open_change,SPDR S&P Health Care Services_High_average,SPDR S&P Health Care Services_High_max,SPDR S&P Health Care Services_High_min,SPDR S&P Health Care Services_High_volatility,SPDR S&P Health Care Services_High_change,SPDR S&P Health Care Services_Low_average,SPDR S&P Health Care Services_Low_max,SPDR S&P Health Care Services_Low_min,SPDR S&P Health Care Services_Low_volatility,SPDR S&P Health Care Services_Low_change,SPDR S&P Health Care Services_Close_average,SPDR S&P Health Care Services_Close_max,SPDR S&P Health Care Services_Close_min,SPDR S&P Health Care Services_Close_volatility,SPDR S&P Health Care Services_Close_change
2018-01-14,65.9,65.9,65.9,0.0,0.0,66.83,66.83,66.83,0.0,0.0,65.9,65.9,65.9,0.0,0.0,66.83,66.83,66.83,0.0,0.0
2018-01-21,67.69,67.69,67.69,0.0,0.0,68.43,68.43,68.43,0.0,0.0,67.69,67.69,67.69,0.0,0.0,68.28,68.28,68.28,0.0,0.0
2018-01-28,63.98,63.98,63.98,0.0,0.0,64.24,64.24,64.24,0.0,0.0,62.1,62.1,62.1,0.0,0.0,62.28,62.28,62.28,0.0,0.0
2018-02-04,62.97,62.97,62.97,0.0,0.0,63.3,63.3,63.3,0.0,0.0,62.28,62.28,62.28,0.0,0.0,63.2,63.2,63.2,0.0,0.0
2018-02-11,63.75,63.75,63.75,0.0,0.0,64.87,64.87,64.87,0.0,0.0,63.75,63.75,63.75,0.0,0.0,64.52,64.52,64.52,0.0,0.0
2018-02-18,64.38,64.38,64.38,0.0,0.0,64.53,64.53,64.53,0.0,0.0,63.92,63.92,63.92,0.0,0.0,64.52,64.52,64.52,0.0,0.0
2018-02-25,63.46,63.46,63.46,0.0,0.0,64.18,64.18,64.18,0.0,0.0,63.29,63.29,63.29,0.0,0.0,64.18,64.18,64.18,0.0,0.0
2018-03-04,66.98,66.98,66.98,0.0,0.0,66.98,66.98,66.98,0.0,0.0,66.04,66.04,66.04,0.0,0.0,66.49,66.49,66.49,0.0,0.0
2018-03-11,66.1,66.1,66.1,0.0,0.0,66.1,66.1,66.1,0.0,0.0,64.1,64.1,64.1,0.0,0.0,64.33,64.33,64.33,0.0,0.0
2018-03-18,62.93,62.93,62.93,0.0,0.0,62.93,62.93,62.93,0.0,0.0,62.05,62.05,62.05,0.0,0.0,62.92,62.92,62.92,0.0,0.0
2018-03-25,62.48,62.48,62.48,0.0,0.0,63.0,63.0,63.0,0.0,0.0,61.03,61.03,61.03,0.0,0.0,61.23,61.23,61.23,0.0,0.0
2018-04-01,63.58,63.58,63.58,0.0,0.0,63.69,63.69,63.69,0.0,0.0,63.27,63.27,63.27,0.0,0.0,63.37,63.37,63.37,0.0,0.0
2018-04-08,63.94,63.94,63.94,0.0,0.0,64.91,64.91,64.91,0.0,0.0,63.94,63.94,63.94,0.0,0.0,64.91,64.91,64.91,0.0,0.0
2018-04-15,65.11,65.11,65.11,0.0,0.0,65.11,65.11,65.11,0.0,0.0,64.98,64.98,64.98,0.0,0.0,64.98,64.98,64.98,0.0,0.0
2018-04-22,66.1,66.1,66.1,0.0,0.0,66.11,66.11,66.11,0.0,0.0,65.13,65.13,65.13,0.0,0.0,65.13,65.13,65.13,0.0,0.0
2018-04-29,65.73,65.73,65.73,0.0,0.0,65.79,65.79,65.79,0.0,0.0,65.53,65.53,65.53,0.0,0.0,65.54,65.54,65.54,0.0,0.0
2018-05-06,67.05,67.05,67.05,0.0,0.0,67.58,67.58,67.58,0.0,0.0,67.05,67.05,67.05,0.0,0.0,67.37,67.37,67.37,0.0,0.0
2018-05-13,68.36,68.36,68.36,0.0,0.0,68.48,68.48,68.48,0.0,0.0,68.03,68.03,68.03,0.0,0.0,68.11,68.11,68.11,0.0,0.0
2018-05-20,67.7,67.7,67.7,0.0,0.0,68.33,68.33,68.33,0.0,0.0,67.7,67.7,67.7,0.0,0.0,67.92,67.92,67.92,0.0,0.0
2018-05-27,68.7,68.7,68.7,0.0,0.0,68.7,68.7,68.7,0.0,0.0,67.66,67.66,67.66,0.0,0.0,68.1,68.1,68.1,0.0,0.0
2018-06-03,69.44,69.44,69.44,0.0,0.0,70.7,70.7,70.7,0.0,0.0,69.44,69.44,69.44,0.0,0.0,70.56,70.56,70.56,0.0,0.0
