Date,iShares Currency Hedged MSCI Switzerland_Open_average,iShares Currency Hedged MSCI Switzerland_Open_max,iShares Currency Hedged MSCI Switzerland_Open_min,iShares Currency Hedged MSCI Switzerland_Open_volatility,iShares Currency Hedged MSCI Switzerland_Open_change,iShares Currency Hedged MSCI Switzerland_High_average,iShares Currency Hedged MSCI Switzerland_High_max,iShares Currency Hedged MSCI Switzerland_High_min,iShares Currency Hedged MSCI Switzerland_High_volatility,iShares Currency Hedged MSCI Switzerland_High_change,iShares Currency Hedged MSCI Switzerland_Low_average,iShares Currency Hedged MSCI Switzerland_Low_max,iShares Currency Hedged MSCI Switzerland_Low_min,iShares Currency Hedged MSCI Switzerland_Low_volatility,iShares Currency Hedged MSCI Switzerland_Low_change,iShares Currency Hedged MSCI Switzerland_Close_average,iShares Currency Hedged MSCI Switzerland_Close_max,iShares Currency Hedged MSCI Switzerland_Close_min,iShares Currency Hedged MSCI Switzerland_Close_volatility,iShares Currency Hedged MSCI Switzerland_Close_change
2018-01-14,27.4,27.4,27.4,0.0,0.0,27.49,27.49,27.49,0.0,0.0,27.4,27.4,27.4,0.0,0.0,27.49,27.49,27.49,0.0,0.0
2018-01-21,27.55,27.55,27.55,0.0,0.0,27.56,27.56,27.56,0.0,0.0,27.55,27.55,27.55,0.0,0.0,27.55,27.55,27.55,0.0,0.0
2018-01-28,26.74,26.74,26.74,0.0,0.0,26.74,26.74,26.74,0.0,0.0,26.74,26.74,26.74,0.0,0.0,26.74,26.74,26.74,0.0,0.0
2018-02-04,25.1,25.1,25.1,0.0,0.0,25.28,25.28,25.28,0.0,0.0,25.03,25.03,25.03,0.0,0.0,25.28,25.28,25.28,0.0,0.0
2018-02-11,25.46,25.46,25.46,0.0,0.0,25.46,25.46,25.46,0.0,0.0,25.43,25.43,25.43,0.0,0.0,25.43,25.43,25.43,0.0,0.0
2018-02-18,25.62,25.62,25.62,0.0,0.0,25.62,25.62,25.62,0.0,0.0,25.59,25.59,25.59,0.0,0.0,25.6,25.6,25.6,0.0,0.0
2018-02-25,25.6,25.6,25.6,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.6,25.6,25.6,0.0,0.0,25.6,25.6,25.6,0.0,0.0
2018-03-04,26.16,26.16,26.16,0.0,0.0,26.16,26.16,26.16,0.0,0.0,26.16,26.16,26.16,0.0,0.0,26.16,26.16,26.16,0.0,0.0
2018-03-11,26.08,26.08,26.08,0.0,0.0,26.08,26.08,26.08,0.0,0.0,26.02,26.02,26.02,0.0,0.0,26.05,26.05,26.05,0.0,0.0
2018-03-18,25.37,25.37,25.37,0.0,0.0,25.37,25.37,25.37,0.0,0.0,25.34,25.34,25.34,0.0,0.0,25.35,25.35,25.35,0.0,0.0
2018-03-25,25.52,25.52,25.52,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.52,25.52,25.52,0.0,0.0,25.52,25.52,25.52,0.0,0.0
2018-04-01,25.56,25.56,25.56,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.56,25.56,25.56,0.0,0.0
2018-04-08,25.96,25.96,25.96,0.0,0.0,25.96,25.96,25.96,0.0,0.0,25.96,25.96,25.96,0.0,0.0,25.96,25.96,25.96,0.0,0.0
2018-04-15,26.35,26.35,26.35,0.0,0.0,26.35,26.35,26.35,0.0,0.0,26.35,26.35,26.35,0.0,0.0,26.35,26.35,26.35,0.0,0.0
2018-04-22,26.46,26.46,26.46,0.0,0.0,26.46,26.46,26.46,0.0,0.0,26.46,26.46,26.46,0.0,0.0,26.46,26.46,26.46,0.0,0.0
2018-04-29,27.1,27.1,27.1,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.1,27.1,27.1,0.0,0.0,27.1,27.1,27.1,0.0,0.0
2018-05-06,27.05,27.05,27.05,0.0,0.0,27.09,27.09,27.09,0.0,0.0,27.05,27.05,27.05,0.0,0.0,27.09,27.09,27.09,0.0,0.0
2018-05-13,27.15,27.15,27.15,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.15,27.15,27.15,0.0,0.0,27.15,27.15,27.15,0.0,0.0
2018-05-20,25.77,25.77,25.77,0.0,0.0,25.77,25.77,25.77,0.0,0.0,25.76,25.76,25.76,0.0,0.0,25.76,25.76,25.76,0.0,0.0
2018-05-27,26.3,26.3,26.3,0.0,0.0,26.3,26.3,26.3,0.0,0.0,26.27,26.27,26.27,0.0,0.0,26.27,26.27,26.27,0.0,0.0
2018-06-03,26.34,26.34,26.34,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.34,26.34,26.34,0.0,0.0,26.34,26.34,26.34,0.0,0.0
2018-06-10,26.01,26.01,26.01,0.0,0.0,26.01,26.01,26.01,0.0,0.0,25.96,25.96,25.96,0.0,0.0,25.96,25.96,25.96,0.0,0.0
