Date,Vanguard Mega Cap ValueEtf_Open_average,Vanguard Mega Cap ValueEtf_Open_max,Vanguard Mega Cap ValueEtf_Open_min,Vanguard Mega Cap ValueEtf_Open_volatility,Vanguard Mega Cap ValueEtf_Open_change,Vanguard Mega Cap ValueEtf_High_average,Vanguard Mega Cap ValueEtf_High_max,Vanguard Mega Cap ValueEtf_High_min,Vanguard Mega Cap ValueEtf_High_volatility,Vanguard Mega Cap ValueEtf_High_change,Vanguard Mega Cap ValueEtf_Low_average,Vanguard Mega Cap ValueEtf_Low_max,Vanguard Mega Cap ValueEtf_Low_min,Vanguard Mega Cap ValueEtf_Low_volatility,Vanguard Mega Cap ValueEtf_Low_change,Vanguard Mega Cap ValueEtf_Close_average,Vanguard Mega Cap ValueEtf_Close_max,Vanguard Mega Cap ValueEtf_Close_min,Vanguard Mega Cap ValueEtf_Close_volatility,Vanguard Mega Cap ValueEtf_Close_change
2018-01-14,79.67,79.67,79.67,0.0,0.0,79.73,79.73,79.73,0.0,0.0,79.38,79.38,79.38,0.0,0.0,79.73,79.73,79.73,0.0,0.0
2018-01-21,80.88,80.88,80.88,0.0,0.0,81.52,81.52,81.52,0.0,0.0,80.74,80.74,80.74,0.0,0.0,81.5,81.5,81.5,0.0,0.0
2018-01-28,79.69,79.69,79.69,0.0,0.0,79.81,79.81,79.81,0.0,0.0,78.35,78.35,78.35,0.0,0.0,78.35,78.35,78.35,0.0,0.0
2018-02-04,73.97,73.97,73.97,0.0,0.0,74.68,74.68,74.68,0.0,0.0,71.92,71.92,71.92,0.0,0.0,74.25,74.25,74.25,0.0,0.0
2018-02-11,76.9,76.9,76.9,0.0,0.0,77.9,77.9,77.9,0.0,0.0,76.9,76.9,76.9,0.0,0.0,77.28,77.28,77.28,0.0,0.0
2018-02-18,76.65,76.65,76.65,0.0,0.0,77.37,77.37,77.37,0.0,0.0,76.45,76.45,76.45,0.0,0.0,77.37,77.37,77.37,0.0,0.0
2018-02-25,74.97,74.97,74.97,0.0,0.0,75.95,75.95,75.95,0.0,0.0,74.8,74.8,74.8,0.0,0.0,75.73,75.73,75.73,0.0,0.0
2018-03-04,77.27,77.27,77.27,0.0,0.0,78.13,78.13,78.13,0.0,0.0,77.21,77.21,77.21,0.0,0.0,78.13,78.13,78.13,0.0,0.0
2018-03-11,76.89,76.89,76.89,0.0,0.0,77.34,77.34,77.34,0.0,0.0,76.89,76.89,76.89,0.0,0.0,76.99,76.99,76.99,0.0,0.0
2018-03-18,73.81,73.81,73.81,0.0,0.0,73.9,73.9,73.9,0.0,0.0,72.04,72.04,72.04,0.0,0.0,72.11,72.11,72.11,0.0,0.0
2018-03-25,73.55,73.55,73.55,0.0,0.0,74.35,74.35,74.35,0.0,0.0,73.39,73.39,73.39,0.0,0.0,74.06,74.06,74.06,0.0,0.0
