Date,Invesco S and P MidCap QualityEtf_Open_average,Invesco S and P MidCap QualityEtf_Open_max,Invesco S and P MidCap QualityEtf_Open_min,Invesco S and P MidCap QualityEtf_Open_volatility,Invesco S and P MidCap QualityEtf_Open_change,Invesco S and P MidCap QualityEtf_High_average,Invesco S and P MidCap QualityEtf_High_max,Invesco S and P MidCap QualityEtf_High_min,Invesco S and P MidCap QualityEtf_High_volatility,Invesco S and P MidCap QualityEtf_High_change,Invesco S and P MidCap QualityEtf_Low_average,Invesco S and P MidCap QualityEtf_Low_max,Invesco S and P MidCap QualityEtf_Low_min,Invesco S and P MidCap QualityEtf_Low_volatility,Invesco S and P MidCap QualityEtf_Low_change,Invesco S and P MidCap QualityEtf_Close_average,Invesco S and P MidCap QualityEtf_Close_max,Invesco S and P MidCap QualityEtf_Close_min,Invesco S and P MidCap QualityEtf_Close_volatility,Invesco S and P MidCap QualityEtf_Close_change
2018-01-14,49.24,49.24,49.24,0.0,0.0,49.3,49.3,49.3,0.0,0.0,49.23,49.23,49.23,0.0,0.0,49.3,49.3,49.3,0.0,0.0
2018-01-21,49.94,49.94,49.94,0.0,0.0,50.09,50.09,50.09,0.0,0.0,49.94,49.94,49.94,0.0,0.0,50.09,50.09,50.09,0.0,0.0
2018-01-28,48.47,48.47,48.47,0.0,0.0,48.47,48.47,48.47,0.0,0.0,48.05,48.05,48.05,0.0,0.0,48.05,48.05,48.05,0.0,0.0
2018-02-04,44.9,44.9,44.9,0.0,0.0,45.11,45.11,45.11,0.0,0.0,44.9,44.9,44.9,0.0,0.0,45.05,45.05,45.05,0.0,0.0
2018-02-11,47.66,47.66,47.66,0.0,0.0,47.66,47.66,47.66,0.0,0.0,47.66,47.66,47.66,0.0,0.0,47.66,47.66,47.66,0.0,0.0
2018-02-18,47.77,47.77,47.77,0.0,0.0,47.77,47.77,47.77,0.0,0.0,47.77,47.77,47.77,0.0,0.0,47.77,47.77,47.77,0.0,0.0
2018-02-25,46.75,46.75,46.75,0.0,0.0,47.01,47.01,47.01,0.0,0.0,46.75,46.75,46.75,0.0,0.0,47.01,47.01,47.01,0.0,0.0
2018-03-04,48.4,48.4,48.4,0.0,0.0,48.44,48.44,48.44,0.0,0.0,48.4,48.4,48.4,0.0,0.0,48.44,48.44,48.44,0.0,0.0
2018-03-11,48.28,48.28,48.28,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.28,48.28,48.28,0.0,0.0,48.28,48.28,48.28,0.0,0.0
2018-03-18,47.03,47.03,47.03,0.0,0.0,47.03,47.03,47.03,0.0,0.0,46.35,46.35,46.35,0.0,0.0,46.35,46.35,46.35,0.0,0.0
