Date,CIA_Open_average,CIA_Open_max,CIA_Open_min,CIA_Open_volatility,CIA_Open_change,CIA_High_average,CIA_High_max,CIA_High_min,CIA_High_volatility,CIA_High_change,CIA_Low_average,CIA_Low_max,CIA_Low_min,CIA_Low_volatility,CIA_Low_change,CIA_Close_average,CIA_Close_max,CIA_Close_min,CIA_Close_volatility,CIA_Close_change,CIA_Volume_average,CIA_Volume_max,CIA_Volume_min,CIA_Volume_volatility,CIA_Volume_change
2018-01-14,7.822,7.95,7.65,0.2999999999999998,0.15000000000000036,8.012,8.05,7.93,0.120000000000001,0.120000000000001,7.71,7.89,7.57,0.3199999999999994,0.3199999999999994,7.89,8.02,7.64,0.3799999999999999,0.34000000000000075,87082,127776,70682,57094,-20885
2018-01-21,7.964,8.02,7.92,0.09999999999999964,0.03000000000000025,8.124,8.2,7.98,0.21999999999999886,0.08000000000000007,7.834,7.94,7.76,0.1800000000000006,0.1800000000000006,7.966,8.07,7.9,0.16999999999999993,-0.010000000000000675,47981,67806,33687,34119,-17812
2018-01-28,7.858,8.03,7.65,0.379999999999999,-0.27999999999999936,8.028,8.16,7.85,0.3100000000000005,-0.3000000000000007,7.75,7.91,7.39,0.5200000000000005,-0.5100000000000007,7.819999999999999,8.04,7.42,0.6199999999999992,-0.6199999999999992,51337,78868,34359,44509,44509
2018-02-04,7.276,7.38,7.21,0.16999999999999993,0.020000000000000462,7.496,7.64,7.37,0.2699999999999996,-0.14999999999999947,7.154,7.22,7.06,0.16000000000000014,-0.019999999999999574,7.2700000000000005,7.37,7.09,0.28000000000000025,-0.040000000000000036,87518,207976,51037,156939,-142248
2018-02-11,7.1875,7.26,7.13,0.1299999999999999,-0.08000000000000007,7.35,7.42,7.29,0.1299999999999999,0.09999999999999964,7.1225,7.15,7.1,0.05000000000000071,-0.010000000000000675,7.2325,7.29,7.19,0.09999999999999964,0.04999999999999982,45415,51311,36227,15084,5187
2018-02-18,7.152,7.2,7.1,0.10000000000000053,-0.08000000000000007,7.2780000000000005,7.37,7.22,0.15000000000000036,0.08000000000000007,7.076,7.12,7.02,0.10000000000000053,0.010000000000000675,7.14,7.27,7.06,0.20999999999999996,0.11999999999999922,36196,43449,26807,16642,-2281
2018-02-25,7.1000000000000005,7.19,6.91,0.28000000000000025,0.020000000000000462,7.388,7.58,7.25,0.33000000000000007,0.2599999999999998,6.974,7.19,6.67,0.5200000000000005,0.05000000000000071,7.206,7.45,6.85,0.6000000000000005,0.2599999999999998,79200,149796,38090,111706,5764
2018-03-04,7.704,7.87,7.49,0.3799999999999999,0.35999999999999943,7.974,8.14,7.79,0.35000000000000053,0.35000000000000053,7.654,7.84,7.45,0.3899999999999997,0.3899999999999997,7.87,7.98,7.75,0.23000000000000043,0.23000000000000043,71586,94088,44455,49633,2691
2018-03-11,7.802,7.93,7.69,0.23999999999999932,-0.23999999999999932,7.878,8.01,7.69,0.3199999999999994,-0.3199999999999994,7.648000000000001,7.78,7.42,0.3600000000000003,-0.3600000000000003,7.76,7.84,7.62,0.21999999999999975,-0.20999999999999996,78112,191343,34711,156632,6214
2018-03-18,7.342,7.59,7.09,0.5,-0.5,7.538,7.71,7.33,0.3799999999999999,-0.1200000000000001,7.202,7.46,7.02,0.4400000000000004,-0.4400000000000004,7.32,7.59,7.03,0.5599999999999996,-0.14999999999999947,67626,88954,47044,41910,37412
