Date,PowerShares S&P SmallCap Energy_Open_average,PowerShares S&P SmallCap Energy_Open_max,PowerShares S&P SmallCap Energy_Open_min,PowerShares S&P SmallCap Energy_Open_volatility,PowerShares S&P SmallCap Energy_Open_change,PowerShares S&P SmallCap Energy_High_average,PowerShares S&P SmallCap Energy_High_max,PowerShares S&P SmallCap Energy_High_min,PowerShares S&P SmallCap Energy_High_volatility,PowerShares S&P SmallCap Energy_High_change,PowerShares S&P SmallCap Energy_Low_average,PowerShares S&P SmallCap Energy_Low_max,PowerShares S&P SmallCap Energy_Low_min,PowerShares S&P SmallCap Energy_Low_volatility,PowerShares S&P SmallCap Energy_Low_change,PowerShares S&P SmallCap Energy_Close_average,PowerShares S&P SmallCap Energy_Close_max,PowerShares S&P SmallCap Energy_Close_min,PowerShares S&P SmallCap Energy_Close_volatility,PowerShares S&P SmallCap Energy_Close_change
2018-01-14,16.69,16.69,16.69,0.0,0.0,17.1,17.1,17.1,0.0,0.0,16.69,16.69,16.69,0.0,0.0,17.09,17.09,17.09,0.0,0.0
2018-01-21,16.68,16.68,16.68,0.0,0.0,16.76,16.76,16.76,0.0,0.0,16.4,16.4,16.4,0.0,0.0,16.45,16.45,16.45,0.0,0.0
2018-01-28,15.22,15.22,15.22,0.0,0.0,15.56,15.56,15.56,0.0,0.0,14.83,14.83,14.83,0.0,0.0,15.0,15.0,15.0,0.0,0.0
2018-02-04,14.39,14.39,14.39,0.0,0.0,14.67,14.67,14.67,0.0,0.0,14.29,14.29,14.29,0.0,0.0,14.62,14.62,14.62,0.0,0.0
2018-02-11,14.74,14.74,14.74,0.0,0.0,15.23,15.23,15.23,0.0,0.0,14.74,14.74,14.74,0.0,0.0,15.05,15.05,15.05,0.0,0.0
2018-02-18,15.01,15.01,15.01,0.0,0.0,15.03,15.03,15.03,0.0,0.0,14.82,14.82,14.82,0.0,0.0,15.03,15.03,15.03,0.0,0.0
2018-02-25,14.35,14.35,14.35,0.0,0.0,14.72,14.72,14.72,0.0,0.0,14.34,14.34,14.34,0.0,0.0,14.7,14.7,14.7,0.0,0.0
2018-03-04,14.62,14.62,14.62,0.0,0.0,14.85,14.85,14.85,0.0,0.0,14.6,14.6,14.6,0.0,0.0,14.8,14.8,14.8,0.0,0.0
2018-03-11,14.45,14.45,14.45,0.0,0.0,14.45,14.45,14.45,0.0,0.0,14.0,14.0,14.0,0.0,0.0,14.13,14.13,14.13,0.0,0.0
2018-03-18,14.3,14.3,14.3,0.0,0.0,14.3,14.3,14.3,0.0,0.0,13.86,13.86,13.86,0.0,0.0,14.24,14.24,14.24,0.0,0.0
2018-03-25,13.79,13.79,13.79,0.0,0.0,13.79,13.79,13.79,0.0,0.0,13.1,13.1,13.1,0.0,0.0,13.26,13.26,13.26,0.0,0.0
2018-04-01,13.82,13.82,13.82,0.0,0.0,13.84,13.84,13.84,0.0,0.0,13.6,13.6,13.6,0.0,0.0,13.62,13.62,13.62,0.0,0.0
2018-04-08,15.07,15.07,15.07,0.0,0.0,15.19,15.19,15.19,0.0,0.0,14.93,14.93,14.93,0.0,0.0,15.16,15.16,15.16,0.0,0.0
2018-04-15,15.64,15.64,15.64,0.0,0.0,16.02,16.02,16.02,0.0,0.0,15.64,15.64,15.64,0.0,0.0,16.0,16.0,16.0,0.0,0.0
2018-04-22,16.14,16.14,16.14,0.0,0.0,16.26,16.26,16.26,0.0,0.0,16.1,16.1,16.1,0.0,0.0,16.19,16.19,16.19,0.0,0.0
2018-04-29,16.56,16.56,16.56,0.0,0.0,17.11,17.11,17.11,0.0,0.0,16.5,16.5,16.5,0.0,0.0,16.75,16.75,16.75,0.0,0.0
2018-05-06,17.45,17.45,17.45,0.0,0.0,17.51,17.51,17.51,0.0,0.0,17.34,17.34,17.34,0.0,0.0,17.38,17.38,17.38,0.0,0.0
2018-05-13,18.4,18.4,18.4,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.26,18.26,18.26,0.0,0.0,18.54,18.54,18.54,0.0,0.0
2018-05-20,17.0,17.0,17.0,0.0,0.0,17.12,17.12,17.12,0.0,0.0,16.71,16.71,16.71,0.0,0.0,16.97,16.97,16.97,0.0,0.0
2018-05-27,17.19,17.19,17.19,0.0,0.0,17.35,17.35,17.35,0.0,0.0,16.69,16.69,16.69,0.0,0.0,16.84,16.84,16.84,0.0,0.0
2018-06-03,16.92,16.92,16.92,0.0,0.0,17.06,17.06,17.06,0.0,0.0,16.85,16.85,16.85,0.0,0.0,16.89,16.89,16.89,0.0,0.0
2018-06-10,16.18,16.18,16.18,0.0,0.0,16.73,16.73,16.73,0.0,0.0,16.18,16.18,16.18,0.0,0.0,16.62,16.62,16.62,0.0,0.0
