Date,PowerShares S&P SmallCap EnergyEtf_Open_average,PowerShares S&P SmallCap EnergyEtf_Open_max,PowerShares S&P SmallCap EnergyEtf_Open_min,PowerShares S&P SmallCap EnergyEtf_Open_volatility,PowerShares S&P SmallCap EnergyEtf_Open_change,PowerShares S&P SmallCap EnergyEtf_High_average,PowerShares S&P SmallCap EnergyEtf_High_max,PowerShares S&P SmallCap EnergyEtf_High_min,PowerShares S&P SmallCap EnergyEtf_High_volatility,PowerShares S&P SmallCap EnergyEtf_High_change,PowerShares S&P SmallCap EnergyEtf_Low_average,PowerShares S&P SmallCap EnergyEtf_Low_max,PowerShares S&P SmallCap EnergyEtf_Low_min,PowerShares S&P SmallCap EnergyEtf_Low_volatility,PowerShares S&P SmallCap EnergyEtf_Low_change,PowerShares S&P SmallCap EnergyEtf_Close_average,PowerShares S&P SmallCap EnergyEtf_Close_max,PowerShares S&P SmallCap EnergyEtf_Close_min,PowerShares S&P SmallCap EnergyEtf_Close_volatility,PowerShares S&P SmallCap EnergyEtf_Close_change
2018-01-14,16.3,16.3,16.3,0.0,0.0,16.65,16.65,16.65,0.0,0.0,16.2,16.2,16.2,0.0,0.0,16.62,16.62,16.62,0.0,0.0
2018-01-21,16.99,16.99,16.99,0.0,0.0,16.99,16.99,16.99,0.0,0.0,16.77,16.77,16.77,0.0,0.0,16.81,16.81,16.81,0.0,0.0
2018-01-28,16.01,16.01,16.01,0.0,0.0,16.02,16.02,16.02,0.0,0.0,15.44,15.44,15.44,0.0,0.0,15.46,15.46,15.46,0.0,0.0
2018-02-04,14.37,14.37,14.37,0.0,0.0,14.37,14.37,14.37,0.0,0.0,13.64,13.64,13.64,0.0,0.0,14.22,14.22,14.22,0.0,0.0
2018-02-11,14.74,14.74,14.74,0.0,0.0,15.23,15.23,15.23,0.0,0.0,14.74,14.74,14.74,0.0,0.0,15.05,15.05,15.05,0.0,0.0
2018-02-18,14.74,14.74,14.74,0.0,0.0,14.9,14.9,14.9,0.0,0.0,14.67,14.67,14.67,0.0,0.0,14.86,14.86,14.86,0.0,0.0
2018-02-25,13.93,13.93,13.93,0.0,0.0,14.35,14.35,14.35,0.0,0.0,13.82,13.82,13.82,0.0,0.0,14.31,14.31,14.31,0.0,0.0
2018-03-04,14.58,14.58,14.58,0.0,0.0,14.64,14.64,14.64,0.0,0.0,14.53,14.53,14.53,0.0,0.0,14.64,14.64,14.64,0.0,0.0
2018-03-11,14.29,14.29,14.29,0.0,0.0,14.55,14.55,14.55,0.0,0.0,14.29,14.29,14.29,0.0,0.0,14.51,14.51,14.51,0.0,0.0
2018-03-18,14.4,14.4,14.4,0.0,0.0,14.56,14.56,14.56,0.0,0.0,14.2,14.2,14.2,0.0,0.0,14.2,14.2,14.2,0.0,0.0
2018-03-25,13.54,13.54,13.54,0.0,0.0,13.96,13.96,13.96,0.0,0.0,13.54,13.54,13.54,0.0,0.0,13.84,13.84,13.84,0.0,0.0
2018-04-01,13.93,13.93,13.93,0.0,0.0,14.03,14.03,14.03,0.0,0.0,13.44,13.44,13.44,0.0,0.0,13.54,13.54,13.54,0.0,0.0
2018-04-08,14.92,14.92,14.92,0.0,0.0,15.11,15.11,15.11,0.0,0.0,14.87,14.87,14.87,0.0,0.0,14.99,14.99,14.99,0.0,0.0
2018-04-15,15.56,15.56,15.56,0.0,0.0,15.79,15.79,15.79,0.0,0.0,15.52,15.52,15.52,0.0,0.0,15.76,15.76,15.76,0.0,0.0
2018-04-22,16.32,16.32,16.32,0.0,0.0,16.32,16.32,16.32,0.0,0.0,16.16,16.16,16.16,0.0,0.0,16.24,16.24,16.24,0.0,0.0
2018-04-29,16.19,16.19,16.19,0.0,0.0,16.46,16.46,16.46,0.0,0.0,16.09,16.09,16.09,0.0,0.0,16.43,16.43,16.43,0.0,0.0
