Date,PowerShares S&P MidCap Low Volatility Portfolio_etf_Open_average,PowerShares S&P MidCap Low Volatility Portfolio_etf_Open_max,PowerShares S&P MidCap Low Volatility Portfolio_etf_Open_min,PowerShares S&P MidCap Low Volatility Portfolio_etf_Open_volatility,PowerShares S&P MidCap Low Volatility Portfolio_etf_Open_change,PowerShares S&P MidCap Low Volatility Portfolio_etf_High_average,PowerShares S&P MidCap Low Volatility Portfolio_etf_High_max,PowerShares S&P MidCap Low Volatility Portfolio_etf_High_min,PowerShares S&P MidCap Low Volatility Portfolio_etf_High_volatility,PowerShares S&P MidCap Low Volatility Portfolio_etf_High_change,PowerShares S&P MidCap Low Volatility Portfolio_etf_Low_average,PowerShares S&P MidCap Low Volatility Portfolio_etf_Low_max,PowerShares S&P MidCap Low Volatility Portfolio_etf_Low_min,PowerShares S&P MidCap Low Volatility Portfolio_etf_Low_volatility,PowerShares S&P MidCap Low Volatility Portfolio_etf_Low_change,PowerShares S&P MidCap Low Volatility Portfolio_etf_Close_average,PowerShares S&P MidCap Low Volatility Portfolio_etf_Close_max,PowerShares S&P MidCap Low Volatility Portfolio_etf_Close_min,PowerShares S&P MidCap Low Volatility Portfolio_etf_Close_volatility,PowerShares S&P MidCap Low Volatility Portfolio_etf_Close_change
2018-01-14,45.19,45.19,45.19,0.0,0.0,45.48,45.48,45.48,0.0,0.0,45.19,45.19,45.19,0.0,0.0,45.48,45.48,45.48,0.0,0.0
2018-01-21,46.3,46.3,46.3,0.0,0.0,46.3,46.3,46.3,0.0,0.0,45.91,45.91,45.91,0.0,0.0,46.17,46.17,46.17,0.0,0.0
2018-01-28,45.2,45.2,45.2,0.0,0.0,45.3,45.3,45.3,0.0,0.0,44.85,44.85,44.85,0.0,0.0,44.86,44.86,44.86,0.0,0.0
2018-02-04,42.79,42.79,42.79,0.0,0.0,43.25,43.25,43.25,0.0,0.0,42.05,42.05,42.05,0.0,0.0,43.0,43.0,43.0,0.0,0.0
2018-02-11,44.44,44.44,44.44,0.0,0.0,44.85,44.85,44.85,0.0,0.0,44.44,44.44,44.44,0.0,0.0,44.74,44.74,44.74,0.0,0.0
2018-02-18,44.34,44.34,44.34,0.0,0.0,44.86,44.86,44.86,0.0,0.0,44.26,44.26,44.26,0.0,0.0,44.86,44.86,44.86,0.0,0.0
2018-02-25,43.38,43.38,43.38,0.0,0.0,43.84,43.84,43.84,0.0,0.0,43.26,43.26,43.26,0.0,0.0,43.77,43.77,43.77,0.0,0.0
2018-03-04,44.86,44.86,44.86,0.0,0.0,45.32,45.32,45.32,0.0,0.0,44.8,44.8,44.8,0.0,0.0,45.3,45.3,45.3,0.0,0.0
2018-03-11,45.1,45.1,45.1,0.0,0.0,45.44,45.44,45.44,0.0,0.0,45.1,45.1,45.1,0.0,0.0,45.33,45.33,45.33,0.0,0.0
2018-03-18,44.13,44.13,44.13,0.0,0.0,44.27,44.27,44.27,0.0,0.0,43.24,43.24,43.24,0.0,0.0,43.27,43.27,43.27,0.0,0.0
