Date,UBS AG ETRACS Monthly Reset 2X ISE Exclusively HomEtf_Open_average,UBS AG ETRACS Monthly Reset 2X ISE Exclusively HomEtf_Open_max,UBS AG ETRACS Monthly Reset 2X ISE Exclusively HomEtf_Open_min,UBS AG ETRACS Monthly Reset 2X ISE Exclusively HomEtf_Open_volatility,UBS AG ETRACS Monthly Reset 2X ISE Exclusively HomEtf_Open_change,UBS AG ETRACS Monthly Reset 2X ISE Exclusively HomEtf_High_average,UBS AG ETRACS Monthly Reset 2X ISE Exclusively HomEtf_High_max,UBS AG ETRACS Monthly Reset 2X ISE Exclusively HomEtf_High_min,UBS AG ETRACS Monthly Reset 2X ISE Exclusively HomEtf_High_volatility,UBS AG ETRACS Monthly Reset 2X ISE Exclusively HomEtf_High_change,UBS AG ETRACS Monthly Reset 2X ISE Exclusively HomEtf_Low_average,UBS AG ETRACS Monthly Reset 2X ISE Exclusively HomEtf_Low_max,UBS AG ETRACS Monthly Reset 2X ISE Exclusively HomEtf_Low_min,UBS AG ETRACS Monthly Reset 2X ISE Exclusively HomEtf_Low_volatility,UBS AG ETRACS Monthly Reset 2X ISE Exclusively HomEtf_Low_change,UBS AG ETRACS Monthly Reset 2X ISE Exclusively HomEtf_Close_average,UBS AG ETRACS Monthly Reset 2X ISE Exclusively HomEtf_Close_max,UBS AG ETRACS Monthly Reset 2X ISE Exclusively HomEtf_Close_min,UBS AG ETRACS Monthly Reset 2X ISE Exclusively HomEtf_Close_volatility,UBS AG ETRACS Monthly Reset 2X ISE Exclusively HomEtf_Close_change
2018-01-14,66.28,66.28,66.28,0.0,0.0,66.55,66.55,66.55,0.0,0.0,66.28,66.28,66.28,0.0,0.0,66.55,66.55,66.55,0.0,0.0
2018-01-21,63.45,63.45,63.45,0.0,0.0,63.45,63.45,63.45,0.0,0.0,63.45,63.45,63.45,0.0,0.0,63.45,63.45,63.45,0.0,0.0
2018-01-28,54.31,54.31,54.31,0.0,0.0,54.42,54.42,54.42,0.0,0.0,54.31,54.31,54.31,0.0,0.0,54.42,54.42,54.42,0.0,0.0
2018-02-04,48.79,48.79,48.79,0.0,0.0,49.0,49.0,49.0,0.0,0.0,47.0,47.0,47.0,0.0,0.0,48.22,48.22,48.22,0.0,0.0
2018-02-11,54.17,54.17,54.17,0.0,0.0,54.17,54.17,54.17,0.0,0.0,54.17,54.17,54.17,0.0,0.0,54.17,54.17,54.17,0.0,0.0
2018-02-18,53.45,53.45,53.45,0.0,0.0,53.45,53.45,53.45,0.0,0.0,53.45,53.45,53.45,0.0,0.0,53.45,53.45,53.45,0.0,0.0
2018-02-25,44.64,44.64,44.64,0.0,0.0,45.03,45.03,45.03,0.0,0.0,44.64,44.64,44.64,0.0,0.0,44.74,44.74,44.74,0.0,0.0
2018-03-04,49.52,49.52,49.52,0.0,0.0,50.29,50.29,50.29,0.0,0.0,49.52,49.52,49.52,0.0,0.0,50.29,50.29,50.29,0.0,0.0
2018-03-11,51.21,51.21,51.21,0.0,0.0,51.21,51.21,51.21,0.0,0.0,51.21,51.21,51.21,0.0,0.0,51.21,51.21,51.21,0.0,0.0
2018-03-18,50.9,50.9,50.9,0.0,0.0,50.9,50.9,50.9,0.0,0.0,50.9,50.9,50.9,0.0,0.0,50.9,50.9,50.9,0.0,0.0
2018-03-25,48.8,48.8,48.8,0.0,0.0,48.8,48.8,48.8,0.0,0.0,48.8,48.8,48.8,0.0,0.0,48.8,48.8,48.8,0.0,0.0
2018-04-01,49.02,49.02,49.02,0.0,0.0,49.02,49.02,49.02,0.0,0.0,49.02,49.02,49.02,0.0,0.0,49.02,49.02,49.02,0.0,0.0
2018-04-08,50.38,50.38,50.38,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.38,50.38,50.38,0.0,0.0
2018-04-15,48.71,48.71,48.71,0.0,0.0,49.27,49.27,49.27,0.0,0.0,48.71,48.71,48.71,0.0,0.0,48.82,48.82,48.82,0.0,0.0
2018-04-22,48.81,48.81,48.81,0.0,0.0,49.53,49.53,49.53,0.0,0.0,48.81,48.81,48.81,0.0,0.0,49.53,49.53,49.53,0.0,0.0
2018-04-29,52.0,52.0,52.0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,52.0,52.0,52.0,0.0,0.0,52.0,52.0,52.0,0.0,0.0
2018-05-06,47.95,47.95,47.95,0.0,0.0,47.95,47.95,47.95,0.0,0.0,47.95,47.95,47.95,0.0,0.0,47.95,47.95,47.95,0.0,0.0
2018-05-13,43.25,43.25,43.25,0.0,0.0,44.5,44.5,44.5,0.0,0.0,43.25,43.25,43.25,0.0,0.0,44.5,44.5,44.5,0.0,0.0
2018-05-20,48.0,48.0,48.0,0.0,0.0,48.0,48.0,48.0,0.0,0.0,48.0,48.0,48.0,0.0,0.0,48.0,48.0,48.0,0.0,0.0
2018-05-27,41.78,41.78,41.78,0.0,0.0,41.88,41.88,41.88,0.0,0.0,41.77,41.77,41.77,0.0,0.0,41.77,41.77,41.77,0.0,0.0
2018-06-03,41.45,41.45,41.45,0.0,0.0,41.45,41.45,41.45,0.0,0.0,41.45,41.45,41.45,0.0,0.0,41.45,41.45,41.45,0.0,0.0
2018-06-10,41.73,41.73,41.73,0.0,0.0,41.74,41.74,41.74,0.0,0.0,41.73,41.73,41.73,0.0,0.0,41.74,41.74,41.74,0.0,0.0
2018-06-17,40.95,40.95,40.95,0.0,0.0,40.95,40.95,40.95,0.0,0.0,40.95,40.95,40.95,0.0,0.0,40.95,40.95,40.95,0.0,0.0
2018-06-24,42.16,42.16,42.16,0.0,0.0,42.16,42.16,42.16,0.0,0.0,41.7,41.7,41.7,0.0,0.0,41.7,41.7,41.7,0.0,0.0
2018-07-01,41.73,41.73,41.73,0.0,0.0,41.73,41.73,41.73,0.0,0.0,41.73,41.73,41.73,0.0,0.0,41.73,41.73,41.73,0.0,0.0
2018-07-08,44.94,44.94,44.94,0.0,0.0,45.01,45.01,45.01,0.0,0.0,44.9,44.9,44.9,0.0,0.0,45.01,45.01,45.01,0.0,0.0
2018-07-15,43.74,43.74,43.74,0.0,0.0,43.74,43.74,43.74,0.0,0.0,43.74,43.74,43.74,0.0,0.0,43.74,43.74,43.74,0.0,0.0
2018-07-22,41.31,41.31,41.31,0.0,0.0,41.4,41.4,41.4,0.0,0.0,41.31,41.31,41.31,0.0,0.0,41.4,41.4,41.4,0.0,0.0
2018-07-29,41.65,41.65,41.65,0.0,0.0,41.65,41.65,41.65,0.0,0.0,41.65,41.65,41.65,0.0,0.0,41.65,41.65,41.65,0.0,0.0
2018-08-05,35.01,35.01,35.01,0.0,0.0,35.02,35.02,35.02,0.0,0.0,35.01,35.01,35.01,0.0,0.0,35.02,35.02,35.02,0.0,0.0
