Date,CGEN_stock_Open_average,CGEN_stock_Open_max,CGEN_stock_Open_min,CGEN_stock_Open_volatility,CGEN_stock_Open_change,CGEN_stock_High_average,CGEN_stock_High_max,CGEN_stock_High_min,CGEN_stock_High_volatility,CGEN_stock_High_change,CGEN_stock_Low_average,CGEN_stock_Low_max,CGEN_stock_Low_min,CGEN_stock_Low_volatility,CGEN_stock_Low_change,CGEN_stock_Close_average,CGEN_stock_Close_max,CGEN_stock_Close_min,CGEN_stock_Close_volatility,CGEN_stock_Close_change,CGEN_stock_Volume_average,CGEN_stock_Volume_max,CGEN_stock_Volume_min,CGEN_stock_Volume_volatility,CGEN_stock_Volume_change
2018-01-14,2.875,3.4,2.6,0.7999999999999998,0.6499999999999999,3.1375,3.65,2.75,0.8999999999999999,0.6499999999999999,2.6574999999999998,2.9,2.5,0.3999999999999999,0.3999999999999999,2.875,3.25,2.5,0.75,0.5,363335,716097,150190,565907,73750
2018-01-21,3.16,3.25,3.0,0.25,0.20000000000000018,3.28,3.3,3.25,0.04999999999999982,-0.04999999999999982,3.09,3.15,3.0,0.1499999999999999,0.10000000000000009,3.188,3.25,3.12,0.1299999999999999,0.08000000000000007,218332,302901,156556,146345,-74530
2018-01-28,3.0100000000000002,3.25,2.7,0.5499999999999998,-0.3999999999999999,3.11,3.45,2.75,0.7000000000000002,-0.7000000000000002,2.87,3.1,2.6,0.5,-0.5,2.97,3.3,2.7,0.5999999999999996,-0.5999999999999996,290080,523739,193110,330629,-92466
2018-02-04,2.6,2.65,2.45,0.19999999999999973,-0.04999999999999982,2.71,2.75,2.7,0.04999999999999982,0.0,2.464,2.55,2.42,0.1299999999999999,0.0,2.624,2.7,2.55,0.15000000000000036,0.15000000000000036,257436,301382,183275,118107,-36105
2018-02-11,2.87,3.1,2.65,0.4500000000000002,0.2999999999999998,3.044,3.2,2.85,0.3500000000000001,0.27,2.8,3.0,2.55,0.4500000000000002,0.4500000000000002,2.96,3.1,2.7,0.3999999999999999,0.3999999999999999,231243,357852,140065,217787,-39606
2018-02-18,3.1875,3.4,3.05,0.3500000000000001,0.3500000000000001,3.4225000000000003,3.6,3.19,0.41000000000000014,0.26000000000000023,3.1875,3.4,3.05,0.3500000000000001,0.3500000000000001,3.2625,3.4,3.05,0.3500000000000001,0.3500000000000001,252578,381358,147863,233495,-137572
2018-02-25,3.81,4.05,3.4,0.6499999999999999,0.3500000000000001,4.082,4.15,4.0,0.15000000000000036,-0.11000000000000032,3.67,3.8,3.4,0.3999999999999999,0.25,3.876,4.0,3.8,0.20000000000000018,-0.15000000000000036,383730,758218,236323,521895,-463296
2018-03-04,3.97,4.15,3.75,0.40000000000000036,0.34999999999999964,4.11,4.2,3.95,0.25,0.0,3.83,3.95,3.7,0.25,0.25,3.9899999999999998,4.1,3.9,0.19999999999999973,0.09999999999999964,410189,595717,269610,326107,-189045
2018-03-11,4.32,4.5,4.15,0.34999999999999964,0.2999999999999998,4.464,4.72,4.35,0.3700000000000001,0.04999999999999982,4.17,4.3,4.05,0.25,0.15000000000000036,4.29,4.4,4.1,0.3000000000000007,0.20000000000000018,446880,634109,227463,406646,-356043
2018-03-18,4.19,4.3,4.15,0.14999999999999947,-0.14999999999999947,4.3,4.35,4.25,0.09999999999999964,-0.09999999999999964,4.084,4.15,4.05,0.10000000000000053,-0.10000000000000053,4.17,4.25,4.1,0.15000000000000036,-0.10000000000000053,177863,312113,77410,234703,-111124
2018-03-25,4.0249999999999995,4.1,3.9,0.19999999999999973,0.04999999999999982,4.2524999999999995,4.68,4.08,0.5999999999999996,0.5999999999999996,3.8375,4.1,3.6,0.49999999999999956,0.49999999999999956,4.1,4.45,3.95,0.5,0.4500000000000002,391353,801743,137333,664410,473149
2018-04-01,4.54,5.0,4.2,0.7999999999999998,-0.5,4.794,5.0,4.48,0.5199999999999996,-0.40000000000000036,4.25,4.43,4.15,0.27999999999999936,0.1999999999999993,4.42,4.7,4.25,0.4500000000000002,0.15000000000000036,648450,1748487,280080,1468407,-1468407
2018-04-08,4.45,4.5,4.35,0.15000000000000036,0.15000000000000036,4.596,4.7,4.55,0.15000000000000036,-0.15000000000000036,4.37,4.45,4.22,0.23000000000000043,0.1800000000000006,4.48,4.5,4.4,0.09999999999999964,0.09999999999999964,198738,271573,123233,148340,-148340
2018-04-15,4.34,4.45,4.25,0.20000000000000018,-0.20000000000000018,4.43,4.5,4.25,0.25,-0.25,4.13,4.25,3.95,0.2999999999999998,-0.2999999999999998,4.22,4.35,4.0,0.34999999999999964,-0.2999999999999998,168492,218405,134546,83859,17179
2018-04-22,3.9899999999999998,4.1,3.85,0.24999999999999956,-0.19999999999999973,4.054,4.2,3.85,0.3500000000000001,-0.30000000000000027,3.83,4.1,3.45,0.6499999999999995,-0.44999999999999973,3.9,4.15,3.55,0.6000000000000005,-0.5499999999999998,237893,403423,99566,303857,145632
2018-04-29,3.49,3.6,3.3,0.30000000000000027,0.0,3.61,3.7,3.5,0.20000000000000018,-0.050000000000000266,3.37,3.45,3.3,0.15000000000000036,0.0,3.48,3.6,3.35,0.25,0.0,197904,299358,145928,153430,-20615
