Date,ProShares Ultra 7-10 Year Treasury_Open_average,ProShares Ultra 7-10 Year Treasury_Open_max,ProShares Ultra 7-10 Year Treasury_Open_min,ProShares Ultra 7-10 Year Treasury_Open_volatility,ProShares Ultra 7-10 Year Treasury_Open_change,ProShares Ultra 7-10 Year Treasury_High_average,ProShares Ultra 7-10 Year Treasury_High_max,ProShares Ultra 7-10 Year Treasury_High_min,ProShares Ultra 7-10 Year Treasury_High_volatility,ProShares Ultra 7-10 Year Treasury_High_change,ProShares Ultra 7-10 Year Treasury_Low_average,ProShares Ultra 7-10 Year Treasury_Low_max,ProShares Ultra 7-10 Year Treasury_Low_min,ProShares Ultra 7-10 Year Treasury_Low_volatility,ProShares Ultra 7-10 Year Treasury_Low_change,ProShares Ultra 7-10 Year Treasury_Close_average,ProShares Ultra 7-10 Year Treasury_Close_max,ProShares Ultra 7-10 Year Treasury_Close_min,ProShares Ultra 7-10 Year Treasury_Close_volatility,ProShares Ultra 7-10 Year Treasury_Close_change
2018-01-14,55.4,55.4,55.4,0.0,0.0,55.52,55.52,55.52,0.0,0.0,55.3,55.3,55.3,0.0,0.0,55.38,55.38,55.38,0.0,0.0
2018-01-21,54.99,54.99,54.99,0.0,0.0,55.14,55.14,55.14,0.0,0.0,54.87,54.87,54.87,0.0,0.0,55.14,55.14,55.14,0.0,0.0
2018-01-28,53.86,53.86,53.86,0.0,0.0,54.91,54.91,54.91,0.0,0.0,53.73,53.73,53.73,0.0,0.0,54.6,54.6,54.6,0.0,0.0
2018-02-04,53.78,53.78,53.78,0.0,0.0,53.92,53.92,53.92,0.0,0.0,53.73,53.73,53.73,0.0,0.0,53.81,53.81,53.81,0.0,0.0
2018-02-11,53.65,53.65,53.65,0.0,0.0,53.74,53.74,53.74,0.0,0.0,53.51,53.51,53.51,0.0,0.0,53.54,53.54,53.54,0.0,0.0
2018-02-18,53.94,53.94,53.94,0.0,0.0,53.96,53.96,53.96,0.0,0.0,53.73,53.73,53.73,0.0,0.0,53.73,53.73,53.73,0.0,0.0
2018-02-25,53.99,53.99,53.99,0.0,0.0,54.0,54.0,54.0,0.0,0.0,53.51,53.51,53.51,0.0,0.0,53.69,53.69,53.69,0.0,0.0
2018-03-04,53.68,53.68,53.68,0.0,0.0,53.83,53.83,53.83,0.0,0.0,53.68,53.68,53.68,0.0,0.0,53.83,53.83,53.83,0.0,0.0
2018-03-11,53.91,53.91,53.91,0.0,0.0,54.14,54.14,54.14,0.0,0.0,53.9,53.9,53.9,0.0,0.0,53.95,53.95,53.95,0.0,0.0
2018-03-18,53.97,53.97,53.97,0.0,0.0,54.11,54.11,54.11,0.0,0.0,53.88,53.88,53.88,0.0,0.0,53.89,53.89,53.89,0.0,0.0
2018-03-25,54.74,54.74,54.74,0.0,0.0,55.01,55.01,55.01,0.0,0.0,54.74,54.74,54.74,0.0,0.0,54.89,54.89,54.89,0.0,0.0
2018-04-01,54.44,54.44,54.44,0.0,0.0,54.58,54.58,54.58,0.0,0.0,54.3,54.3,54.3,0.0,0.0,54.58,54.58,54.58,0.0,0.0
2018-04-08,53.84,53.84,53.84,0.0,0.0,54.0,54.0,54.0,0.0,0.0,52.85,52.85,52.85,0.0,0.0,54.0,54.0,54.0,0.0,0.0
2018-04-15,52.89,52.89,52.89,0.0,0.0,52.94,52.94,52.94,0.0,0.0,52.85,52.85,52.85,0.0,0.0,52.9,52.9,52.9,0.0,0.0
2018-04-22,53.1,53.1,53.1,0.0,0.0,53.23,53.23,53.23,0.0,0.0,53.09,53.09,53.09,0.0,0.0,53.19,53.19,53.19,0.0,0.0
2018-04-29,53.35,53.35,53.35,0.0,0.0,53.35,53.35,53.35,0.0,0.0,53.16,53.16,53.16,0.0,0.0,53.22,53.22,53.22,0.0,0.0
2018-05-06,52.8,52.8,52.8,0.0,0.0,52.86,52.86,52.86,0.0,0.0,52.78,52.78,52.78,0.0,0.0,52.79,52.79,52.79,0.0,0.0
2018-05-13,52.29,52.29,52.29,0.0,0.0,52.38,52.38,52.38,0.0,0.0,52.29,52.29,52.29,0.0,0.0,52.37,52.37,52.37,0.0,0.0
2018-05-20,53.45,53.45,53.45,0.0,0.0,53.53,53.53,53.53,0.0,0.0,53.36,53.36,53.36,0.0,0.0,53.47,53.47,53.47,0.0,0.0
2018-05-27,53.5,53.5,53.5,0.0,0.0,53.59,53.59,53.59,0.0,0.0,53.34,53.34,53.34,0.0,0.0,53.34,53.34,53.34,0.0,0.0
2018-06-03,53.23,53.23,53.23,0.0,0.0,53.33,53.33,53.33,0.0,0.0,53.22,53.22,53.22,0.0,0.0,53.33,53.33,53.33,0.0,0.0
2018-06-10,53.61,53.61,53.61,0.0,0.0,53.63,53.63,53.63,0.0,0.0,53.52,53.52,53.52,0.0,0.0,53.63,53.63,53.63,0.0,0.0
2018-06-17,53.76,53.76,53.76,0.0,0.0,53.88,53.88,53.88,0.0,0.0,53.7,53.7,53.7,0.0,0.0,53.71,53.71,53.71,0.0,0.0
2018-06-24,54.22,54.22,54.22,0.0,0.0,54.22,54.22,54.22,0.0,0.0,53.88,53.88,53.88,0.0,0.0,53.98,53.98,53.98,0.0,0.0
2018-07-01,54.07,54.07,54.07,0.0,0.0,54.07,54.07,54.07,0.0,0.0,54.0,54.0,54.0,0.0,0.0,54.0,54.0,54.0,0.0,0.0
2018-07-08,53.89,53.89,53.89,0.0,0.0,54.06,54.06,54.06,0.0,0.0,53.89,53.89,53.89,0.0,0.0,54.05,54.05,54.05,0.0,0.0
2018-07-15,53.45,53.45,53.45,0.0,0.0,53.45,53.45,53.45,0.0,0.0,53.26,53.26,53.26,0.0,0.0,53.26,53.26,53.26,0.0,0.0
2018-07-22,53.07,53.07,53.07,0.0,0.0,53.23,53.23,53.23,0.0,0.0,53.07,53.07,53.07,0.0,0.0,53.15,53.15,53.15,0.0,0.0
2018-07-29,53.27,53.27,53.27,0.0,0.0,53.39,53.39,53.39,0.0,0.0,53.27,53.27,53.27,0.0,0.0,53.37,53.37,53.37,0.0,0.0
2018-08-05,53.92,53.92,53.92,0.0,0.0,54.03,54.03,54.03,0.0,0.0,53.92,53.92,53.92,0.0,0.0,54.03,54.03,54.03,0.0,0.0
2018-08-12,54.28,54.28,54.28,0.0,0.0,54.51,54.51,54.51,0.0,0.0,54.28,54.28,54.28,0.0,0.0,54.51,54.51,54.51,0.0,0.0
2018-08-19,54.27,54.27,54.27,0.0,0.0,54.33,54.33,54.33,0.0,0.0,54.2,54.2,54.2,0.0,0.0,54.23,54.23,54.23,0.0,0.0
2018-08-26,54.39,54.39,54.39,0.0,0.0,54.43,54.43,54.43,0.0,0.0,54.22,54.22,54.22,0.0,0.0,54.22,54.22,54.22,0.0,0.0
2018-09-02,53.61,53.61,53.61,0.0,0.0,53.71,53.71,53.71,0.0,0.0,53.61,53.61,53.61,0.0,0.0,53.69,53.69,53.69,0.0,0.0
2018-09-09,53.15,53.15,53.15,0.0,0.0,53.26,53.26,53.26,0.0,0.0,53.15,53.15,53.15,0.0,0.0,53.24,53.24,53.24,0.0,0.0
2018-09-16,52.44,52.44,52.44,0.0,0.0,52.61,52.61,52.61,0.0,0.0,52.44,52.44,52.44,0.0,0.0,52.49,52.49,52.49,0.0,0.0
2018-09-23,52.36,52.36,52.36,0.0,0.0,52.46,52.46,52.46,0.0,0.0,52.24,52.24,52.24,0.0,0.0,52.24,52.24,52.24,0.0,0.0
2018-09-30,51.24,51.24,51.24,0.0,0.0,51.33,51.33,51.33,0.0,0.0,51.23,51.23,51.23,0.0,0.0,51.26,51.26,51.26,0.0,0.0
2018-10-07,51.85,51.85,51.85,0.0,0.0,51.85,51.85,51.85,0.0,0.0,51.75,51.75,51.75,0.0,0.0,51.82,51.82,51.82,0.0,0.0
2018-10-14,51.61,51.61,51.61,0.0,0.0,51.61,51.61,51.61,0.0,0.0,51.61,51.61,51.61,0.0,0.0,51.61,51.61,51.61,0.0,0.0
2018-10-21,52.37,52.37,52.37,0.0,0.0,52.57,52.57,52.57,0.0,0.0,52.31,52.31,52.31,0.0,0.0,52.53,52.53,52.53,0.0,0.0
2018-10-28,51.71,51.71,51.71,0.0,0.0,51.76,51.76,51.76,0.0,0.0,51.64,51.64,51.64,0.0,0.0,51.64,51.64,51.64,0.0,0.0
2018-11-04,51.9,51.9,51.9,0.0,0.0,52.03,52.03,52.03,0.0,0.0,51.88,51.88,51.88,0.0,0.0,52.03,52.03,52.03,0.0,0.0
2018-11-11,52.67,52.67,52.67,0.0,0.0,52.86,52.86,52.86,0.0,0.0,52.61,52.61,52.61,0.0,0.0,52.86,52.86,52.86,0.0,0.0
2018-11-18,52.74,52.74,52.74,0.0,0.0,52.8,52.8,52.8,0.0,0.0,52.6,52.6,52.6,0.0,0.0,52.79,52.79,52.79,0.0,0.0
2018-11-25,53.27,53.27,53.27,0.0,0.0,53.49,53.49,53.49,0.0,0.0,53.27,53.27,53.27,0.0,0.0,53.49,53.49,53.49,0.0,0.0
2018-12-02,54.6,54.6,54.6,0.0,0.0,54.64,54.64,54.64,0.0,0.0,54.51,54.51,54.51,0.0,0.0,54.63,54.63,54.63,0.0,0.0
2018-12-09,54.47,54.47,54.47,0.0,0.0,54.61,54.61,54.61,0.0,0.0,54.44,54.44,54.44,0.0,0.0,54.61,54.61,54.61,0.0,0.0
2018-12-16,55.34,55.34,55.34,0.0,0.0,55.44,55.44,55.44,0.0,0.0,55.26,55.26,55.26,0.0,0.0,55.44,55.44,55.44,0.0,0.0
2018-12-23,55.28,55.28,55.28,0.0,0.0,57.2,57.2,57.2,0.0,0.0,55.24,55.24,55.24,0.0,0.0,55.79,55.79,55.79,0.0,0.0
2018-12-30,56.1,56.1,56.1,0.0,0.0,56.17,56.17,56.17,0.0,0.0,55.68,55.68,55.68,0.0,0.0,55.7,55.7,55.7,0.0,0.0
2019-01-06,55.81,55.81,55.81,0.0,0.0,55.84,55.84,55.84,0.0,0.0,55.61,55.61,55.61,0.0,0.0,55.64,55.64,55.64,0.0,0.0
2019-01-13,55.1,55.1,55.1,0.0,0.0,55.21,55.21,55.21,0.0,0.0,54.89,54.89,54.89,0.0,0.0,54.92,54.92,54.92,0.0,0.0
2019-01-20,55.25,55.25,55.25,0.0,0.0,55.45,55.45,55.45,0.0,0.0,55.25,55.25,55.25,0.0,0.0,55.31,55.31,55.31,0.0,0.0
2019-01-27,55.62,55.62,55.62,0.0,0.0,55.62,55.62,55.62,0.0,0.0,55.51,55.51,55.51,0.0,0.0,55.56,55.56,55.56,0.0,0.0
2019-02-03,56.11,56.11,56.11,0.0,0.0,56.13,56.13,56.13,0.0,0.0,56.05,56.05,56.05,0.0,0.0,56.1,56.1,56.1,0.0,0.0
2019-02-10,56.05,56.05,56.05,0.0,0.0,56.05,56.05,56.05,0.0,0.0,56.03,56.03,56.03,0.0,0.0,56.03,56.03,56.03,0.0,0.0
2019-02-17,56.04,56.04,56.04,0.0,0.0,56.08,56.08,56.08,0.0,0.0,55.99,55.99,55.99,0.0,0.0,56.04,56.04,56.04,0.0,0.0
2019-02-24,55.38,55.38,55.38,0.0,0.0,55.64,55.64,55.64,0.0,0.0,55.37,55.37,55.37,0.0,0.0,55.6,55.6,55.6,0.0,0.0
2019-03-03,56.47,56.47,56.47,0.0,0.0,56.5,56.5,56.5,0.0,0.0,56.41,56.41,56.41,0.0,0.0,56.46,56.46,56.46,0.0,0.0
2019-03-10,56.65,56.65,56.65,0.0,0.0,56.79,56.79,56.79,0.0,0.0,56.65,56.65,56.65,0.0,0.0,56.71,56.71,56.71,0.0,0.0
2019-03-17,57.82,57.82,57.82,0.0,0.0,58.47,58.47,58.47,0.0,0.0,57.82,57.82,57.82,0.0,0.0,58.13,58.13,58.13,0.0,0.0
2019-03-24,57.79,57.79,57.79,0.0,0.0,57.79,57.79,57.79,0.0,0.0,57.37,57.37,57.37,0.0,0.0,57.37,57.37,57.37,0.0,0.0
2019-03-31,57.27,57.27,57.27,0.0,0.0,57.36,57.36,57.36,0.0,0.0,57.16,57.16,57.16,0.0,0.0,57.16,57.16,57.16,0.0,0.0
2019-04-07,59.56,59.56,59.56,0.0,0.0,59.56,59.56,59.56,0.0,0.0,56.89,56.89,56.89,0.0,0.0,56.95,56.95,56.95,0.0,0.0
2019-04-14,56.76,56.76,56.76,0.0,0.0,56.76,56.76,56.76,0.0,0.0,56.67,56.67,56.67,0.0,0.0,56.67,56.67,56.67,0.0,0.0
2019-04-21,57.7,57.7,57.7,0.0,0.0,57.7,57.7,57.7,0.0,0.0,57.13,57.13,57.13,0.0,0.0,57.19,57.19,57.19,0.0,0.0
