Date,iShares Core Dividend Growth_Open_average,iShares Core Dividend Growth_Open_max,iShares Core Dividend Growth_Open_min,iShares Core Dividend Growth_Open_volatility,iShares Core Dividend Growth_Open_change,iShares Core Dividend Growth_High_average,iShares Core Dividend Growth_High_max,iShares Core Dividend Growth_High_min,iShares Core Dividend Growth_High_volatility,iShares Core Dividend Growth_High_change,iShares Core Dividend Growth_Low_average,iShares Core Dividend Growth_Low_max,iShares Core Dividend Growth_Low_min,iShares Core Dividend Growth_Low_volatility,iShares Core Dividend Growth_Low_change,iShares Core Dividend Growth_Close_average,iShares Core Dividend Growth_Close_max,iShares Core Dividend Growth_Close_min,iShares Core Dividend Growth_Close_volatility,iShares Core Dividend Growth_Close_change
2018-01-14,36.49,36.49,36.49,0.0,0.0,36.69,36.69,36.69,0.0,0.0,36.45,36.45,36.45,0.0,0.0,36.69,36.69,36.69,0.0,0.0
2018-01-21,37.18,37.18,37.18,0.0,0.0,37.22,37.22,37.22,0.0,0.0,36.96,36.96,36.96,0.0,0.0,36.98,36.98,36.98,0.0,0.0
2018-01-28,35.39,35.39,35.39,0.0,0.0,35.69,35.69,35.69,0.0,0.0,34.01,34.01,34.01,0.0,0.0,34.25,34.25,34.25,0.0,0.0
2018-02-04,34.25,34.25,34.25,0.0,0.0,34.63,34.63,34.63,0.0,0.0,34.01,34.01,34.01,0.0,0.0,34.43,34.43,34.43,0.0,0.0
2018-02-11,35.37,35.37,35.37,0.0,0.0,35.77,35.77,35.77,0.0,0.0,35.37,35.37,35.37,0.0,0.0,35.51,35.51,35.51,0.0,0.0
2018-02-18,35.66,35.66,35.66,0.0,0.0,35.94,35.94,35.94,0.0,0.0,35.58,35.58,35.58,0.0,0.0,35.92,35.92,35.92,0.0,0.0
2018-02-25,34.57,34.57,34.57,0.0,0.0,35.19,35.19,35.19,0.0,0.0,34.52,34.52,34.52,0.0,0.0,35.1,35.1,35.1,0.0,0.0
2018-03-04,35.86,35.86,35.86,0.0,0.0,35.94,35.94,35.94,0.0,0.0,35.65,35.65,35.65,0.0,0.0,35.69,35.69,35.69,0.0,0.0
2018-03-11,35.27,35.27,35.27,0.0,0.0,35.27,35.27,35.27,0.0,0.0,34.69,34.69,34.69,0.0,0.0,34.93,34.93,34.93,0.0,0.0
2018-03-18,33.56,33.56,33.56,0.0,0.0,33.97,33.97,33.97,0.0,0.0,33.32,33.32,33.32,0.0,0.0,33.94,33.94,33.94,0.0,0.0
2018-03-25,33.83,33.83,33.83,0.0,0.0,33.87,33.87,33.87,0.0,0.0,32.82,32.82,32.82,0.0,0.0,33.16,33.16,33.16,0.0,0.0
2018-04-01,33.7,33.7,33.7,0.0,0.0,34.1,34.1,34.1,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.59,33.59,33.59,0.0,0.0
2018-04-08,34.24,34.24,34.24,0.0,0.0,34.41,34.41,34.41,0.0,0.0,34.13,34.13,34.13,0.0,0.0,34.29,34.29,34.29,0.0,0.0
2018-04-15,34.2,34.2,34.2,0.0,0.0,34.23,34.23,34.23,0.0,0.0,33.99,33.99,33.99,0.0,0.0,34.12,34.12,34.12,0.0,0.0
2018-04-22,34.25,34.25,34.25,0.0,0.0,34.34,34.34,34.34,0.0,0.0,33.88,33.88,33.88,0.0,0.0,33.88,33.88,33.88,0.0,0.0
2018-04-29,34.0,34.0,34.0,0.0,0.0,34.09,34.09,34.09,0.0,0.0,33.87,33.87,33.87,0.0,0.0,33.96,33.96,33.96,0.0,0.0
2018-05-06,34.7,34.7,34.7,0.0,0.0,34.79,34.79,34.79,0.0,0.0,34.6,34.6,34.6,0.0,0.0,34.67,34.67,34.67,0.0,0.0
2018-05-13,34.77,34.77,34.77,0.0,0.0,34.89,34.89,34.89,0.0,0.0,34.74,34.74,34.74,0.0,0.0,34.82,34.82,34.82,0.0,0.0
2018-05-20,34.69,34.69,34.69,0.0,0.0,34.83,34.83,34.83,0.0,0.0,34.65,34.65,34.65,0.0,0.0,34.74,34.74,34.74,0.0,0.0
2018-05-27,34.88,34.88,34.88,0.0,0.0,34.97,34.97,34.97,0.0,0.0,34.83,34.83,34.83,0.0,0.0,34.93,34.93,34.93,0.0,0.0
2018-06-03,35.4,35.4,35.4,0.0,0.0,35.47,35.47,35.47,0.0,0.0,35.35,35.35,35.35,0.0,0.0,35.37,35.37,35.37,0.0,0.0
2018-06-10,35.14,35.14,35.14,0.0,0.0,35.19,35.19,35.19,0.0,0.0,35.02,35.02,35.02,0.0,0.0,35.18,35.18,35.18,0.0,0.0
2018-06-17,34.75,34.75,34.75,0.0,0.0,34.79,34.79,34.79,0.0,0.0,34.4,34.4,34.4,0.0,0.0,34.62,34.62,34.62,0.0,0.0
2018-06-24,34.09,34.09,34.09,0.0,0.0,34.37,34.37,34.37,0.0,0.0,34.07,34.07,34.07,0.0,0.0,34.35,34.35,34.35,0.0,0.0
2018-07-01,34.88,34.88,34.88,0.0,0.0,35.07,35.07,35.07,0.0,0.0,34.86,34.86,34.86,0.0,0.0,35.03,35.03,35.03,0.0,0.0
2018-07-08,35.18,35.18,35.18,0.0,0.0,35.2,35.2,35.2,0.0,0.0,35.11,35.11,35.11,0.0,0.0,35.17,35.17,35.17,0.0,0.0
2018-07-15,35.26,35.26,35.26,0.0,0.0,35.36,35.36,35.36,0.0,0.0,35.21,35.21,35.21,0.0,0.0,35.34,35.34,35.34,0.0,0.0
