Date,KMPR_stock_Open_average,KMPR_stock_Open_max,KMPR_stock_Open_min,KMPR_stock_Open_volatility,KMPR_stock_Open_change,KMPR_stock_High_average,KMPR_stock_High_max,KMPR_stock_High_min,KMPR_stock_High_volatility,KMPR_stock_High_change,KMPR_stock_Low_average,KMPR_stock_Low_max,KMPR_stock_Low_min,KMPR_stock_Low_volatility,KMPR_stock_Low_change,KMPR_stock_Close_average,KMPR_stock_Close_max,KMPR_stock_Close_min,KMPR_stock_Close_volatility,KMPR_stock_Close_change,KMPR_stock_Volume_average,KMPR_stock_Volume_max,KMPR_stock_Volume_min,KMPR_stock_Volume_volatility,KMPR_stock_Volume_change
2018-01-14,69.6875,71.1,68.5,2.5999999999999943,-1.2000000000000028,70.4875,71.25,69.6,1.6500000000000057,-0.5,68.4375,69.05,67.2,1.8499999999999943,-1.5999999999999943,69.55,70.95,68.8,2.1500000000000057,-0.04999999999999716,145317,175302,125857,49445,-42227
2018-01-21,69.62,70.55,69.0,1.5499999999999972,-1.5499999999999972,69.97,70.55,69.4,1.1499999999999915,-1.1499999999999915,68.652,68.85,68.26,0.5899999999999892,-0.25,69.11,69.35,68.9,0.44999999999998863,-0.44999999999998863,200458,467044,113975,353069,-47303
2018-01-28,66.03,68.75,63.4,5.350000000000001,-5.350000000000001,66.44,69.1,64.3,4.799999999999997,-4.799999999999997,64.71000000000001,66.95,62.55,4.400000000000006,-4.400000000000006,64.95,67.0,62.65,4.350000000000001,-4.350000000000001,202433,286130,127941,158189,25711
2018-02-04,59.4,61.95,56.8,5.150000000000006,-5.150000000000006,60.35,63.1,58.1,5.0,-5.0,57.93,59.8,56.3,3.5,-3.4499999999999957,58.67,60.0,56.35,3.6499999999999986,-2.1999999999999957,241671,348243,172240,176003,25681
2018-02-11,56.24,57.9,53.6,4.299999999999997,-1.6499999999999986,57.434,59.0,55.65,3.3500000000000014,0.45000000000000284,54.54,57.2,50.85,6.350000000000001,-1.1000000000000014,56.64,58.85,53.55,5.300000000000004,1.1000000000000014,713256,1626364,208014,1418350,536673
2018-02-18,57.2875,58.35,56.3,2.0500000000000043,-1.0500000000000043,58.225,58.65,57.6,1.0499999999999972,-0.19999999999999574,56.1625,56.85,55.45,1.3999999999999986,1.3999999999999986,57.025,57.85,56.35,1.5,1.5,492475,738357,353785,384572,-88751
2018-02-25,57.32,58.85,56.1,2.75,-1.8500000000000014,58.38,59.75,57.15,2.6000000000000014,-2.6000000000000014,56.46,57.85,55.3,2.5500000000000043,-2.5500000000000043,57.21,58.9,56.4,2.5,-1.7999999999999972,366851,468182,256634,211548,2919
2018-03-04,58.3,59.0,56.45,2.549999999999997,1.7999999999999972,59.21,59.6,59.05,0.5500000000000043,0.0,57.48,58.3,56.2,2.0999999999999943,1.5999999999999943,58.730000000000004,59.2,57.95,1.25,0.0,354388,472862,225581,247281,131277
2018-03-11,57.87,59.05,56.6,2.4499999999999957,-2.1000000000000014,58.34,59.5,57.3,2.200000000000003,-1.3500000000000014,56.9,58.1,55.85,2.25,-2.25,57.35,58.8,56.5,2.299999999999997,-2.0,341761,767235,183696,583539,472653
2018-03-18,56.91,57.65,55.95,1.6999999999999957,-0.5999999999999943,57.65,59.25,56.5,2.75,-0.5,56.1,57.45,55.25,2.200000000000003,-0.6000000000000014,56.769999999999996,58.3,55.4,2.8999999999999986,-1.25,248827,325958,136862,189096,189096
