Date,PowerShares Active US Real Estate_etf_Open_average,PowerShares Active US Real Estate_etf_Open_max,PowerShares Active US Real Estate_etf_Open_min,PowerShares Active US Real Estate_etf_Open_volatility,PowerShares Active US Real Estate_etf_Open_change,PowerShares Active US Real Estate_etf_High_average,PowerShares Active US Real Estate_etf_High_max,PowerShares Active US Real Estate_etf_High_min,PowerShares Active US Real Estate_etf_High_volatility,PowerShares Active US Real Estate_etf_High_change,PowerShares Active US Real Estate_etf_Low_average,PowerShares Active US Real Estate_etf_Low_max,PowerShares Active US Real Estate_etf_Low_min,PowerShares Active US Real Estate_etf_Low_volatility,PowerShares Active US Real Estate_etf_Low_change,PowerShares Active US Real Estate_etf_Close_average,PowerShares Active US Real Estate_etf_Close_max,PowerShares Active US Real Estate_etf_Close_min,PowerShares Active US Real Estate_etf_Close_volatility,PowerShares Active US Real Estate_etf_Close_change
2018-01-14,77.92,77.92,77.92,0.0,0.0,78.16,78.16,78.16,0.0,0.0,77.92,77.92,77.92,0.0,0.0,78.16,78.16,78.16,0.0,0.0
2018-01-21,79.28,79.28,79.28,0.0,0.0,79.32,79.32,79.32,0.0,0.0,79.28,79.28,79.28,0.0,0.0,79.32,79.32,79.32,0.0,0.0
2018-01-28,77.5,77.5,77.5,0.0,0.0,77.83,77.83,77.83,0.0,0.0,76.85,76.85,76.85,0.0,0.0,77.21,77.21,77.21,0.0,0.0
2018-02-04,73.38,73.38,73.38,0.0,0.0,74.29,74.29,74.29,0.0,0.0,72.6,72.6,72.6,0.0,0.0,74.22,74.22,74.22,0.0,0.0
2018-02-11,75.39,75.39,75.39,0.0,0.0,76.02,76.02,76.02,0.0,0.0,75.26,75.26,75.26,0.0,0.0,76.01,76.01,76.01,0.0,0.0
2018-02-18,75.27,75.27,75.27,0.0,0.0,75.56,75.56,75.56,0.0,0.0,75.27,75.27,75.27,0.0,0.0,75.56,75.56,75.56,0.0,0.0
2018-02-25,73.42,73.42,73.42,0.0,0.0,73.42,73.42,73.42,0.0,0.0,73.36,73.36,73.36,0.0,0.0,73.39,73.39,73.39,0.0,0.0
2018-03-04,75.75,75.75,75.75,0.0,0.0,75.75,75.75,75.75,0.0,0.0,75.75,75.75,75.75,0.0,0.0,75.75,75.75,75.75,0.0,0.0
2018-03-11,77.04,77.04,77.04,0.0,0.0,77.21,77.21,77.21,0.0,0.0,77.04,77.04,77.04,0.0,0.0,77.18,77.18,77.18,0.0,0.0
2018-03-18,76.39,76.39,76.39,0.0,0.0,76.39,76.39,76.39,0.0,0.0,76.3,76.3,76.3,0.0,0.0,76.3,76.3,76.3,0.0,0.0
2018-03-25,76.7,76.7,76.7,0.0,0.0,76.84,76.84,76.84,0.0,0.0,76.51,76.51,76.51,0.0,0.0,76.51,76.51,76.51,0.0,0.0
2018-04-01,76.56,76.56,76.56,0.0,0.0,76.56,76.56,76.56,0.0,0.0,75.99,75.99,75.99,0.0,0.0,75.99,75.99,75.99,0.0,0.0
2018-04-08,75.38,75.38,75.38,0.0,0.0,75.61,75.61,75.61,0.0,0.0,75.34,75.34,75.34,0.0,0.0,75.42,75.42,75.42,0.0,0.0
2018-04-15,75.54,75.54,75.54,0.0,0.0,75.54,75.54,75.54,0.0,0.0,75.0,75.0,75.0,0.0,0.0,75.0,75.0,75.0,0.0,0.0
2018-04-22,75.69,75.69,75.69,0.0,0.0,77.22,77.22,77.22,0.0,0.0,75.69,75.69,75.69,0.0,0.0,77.22,77.22,77.22,0.0,0.0
2018-04-29,77.62,77.62,77.62,0.0,0.0,77.62,77.62,77.62,0.0,0.0,77.62,77.62,77.62,0.0,0.0,77.62,77.62,77.62,0.0,0.0
