Date,Direxion Daily Healthcare Bull 3X Shares_Open_average,Direxion Daily Healthcare Bull 3X Shares_Open_max,Direxion Daily Healthcare Bull 3X Shares_Open_min,Direxion Daily Healthcare Bull 3X Shares_Open_volatility,Direxion Daily Healthcare Bull 3X Shares_Open_change,Direxion Daily Healthcare Bull 3X Shares_High_average,Direxion Daily Healthcare Bull 3X Shares_High_max,Direxion Daily Healthcare Bull 3X Shares_High_min,Direxion Daily Healthcare Bull 3X Shares_High_volatility,Direxion Daily Healthcare Bull 3X Shares_High_change,Direxion Daily Healthcare Bull 3X Shares_Low_average,Direxion Daily Healthcare Bull 3X Shares_Low_max,Direxion Daily Healthcare Bull 3X Shares_Low_min,Direxion Daily Healthcare Bull 3X Shares_Low_volatility,Direxion Daily Healthcare Bull 3X Shares_Low_change,Direxion Daily Healthcare Bull 3X Shares_Close_average,Direxion Daily Healthcare Bull 3X Shares_Close_max,Direxion Daily Healthcare Bull 3X Shares_Close_min,Direxion Daily Healthcare Bull 3X Shares_Close_volatility,Direxion Daily Healthcare Bull 3X Shares_Close_change
2018-01-14,56.86,56.86,56.86,0.0,0.0,58.04,58.04,58.04,0.0,0.0,56.64,56.64,56.64,0.0,0.0,58.0,58.0,58.0,0.0,0.0
2018-01-21,62.41,62.41,62.41,0.0,0.0,63.45,63.45,63.45,0.0,0.0,62.3,62.3,62.3,0.0,0.0,62.46,62.46,62.46,0.0,0.0
2018-01-28,52.62,52.62,52.62,0.0,0.0,53.76,53.76,53.76,0.0,0.0,45.4,45.4,45.4,0.0,0.0,46.58,46.58,46.58,0.0,0.0
2018-02-04,45.37,45.37,45.37,0.0,0.0,46.89,46.89,46.89,0.0,0.0,44.35,44.35,44.35,0.0,0.0,45.83,45.83,45.83,0.0,0.0
2018-02-11,49.0,49.0,49.0,0.0,0.0,51.13,51.13,51.13,0.0,0.0,48.9,48.9,48.9,0.0,0.0,50.07,50.07,50.07,0.0,0.0
2018-02-18,50.24,50.24,50.24,0.0,0.0,51.93,51.93,51.93,0.0,0.0,50.24,50.24,50.24,0.0,0.0,51.81,51.81,51.81,0.0,0.0
2018-02-25,46.35,46.35,46.35,0.0,0.0,48.42,48.42,48.42,0.0,0.0,45.92,45.92,45.92,0.0,0.0,48.03,48.03,48.03,0.0,0.0
2018-03-04,51.71,51.71,51.71,0.0,0.0,52.0,52.0,52.0,0.0,0.0,50.84,50.84,50.84,0.0,0.0,51.06,51.06,51.06,0.0,0.0
2018-03-11,49.95,49.95,49.95,0.0,0.0,50.02,50.02,50.02,0.0,0.0,46.83,46.83,46.83,0.0,0.0,47.69,47.69,47.69,0.0,0.0
2018-03-18,41.97,41.97,41.97,0.0,0.0,43.14,43.14,43.14,0.0,0.0,40.48,40.48,40.48,0.0,0.0,42.98,42.98,42.98,0.0,0.0
2018-03-25,42.72,42.72,42.72,0.0,0.0,43.11,43.11,43.11,0.0,0.0,38.85,38.85,38.85,0.0,0.0,40.07,40.07,40.07,0.0,0.0
2018-04-01,40.99,40.99,40.99,0.0,0.0,43.32,43.32,43.32,0.0,0.0,40.75,40.75,40.75,0.0,0.0,41.59,41.59,41.59,0.0,0.0
2018-04-08,44.17,44.17,44.17,0.0,0.0,44.93,44.93,44.93,0.0,0.0,44.12,44.12,44.12,0.0,0.0,44.46,44.46,44.46,0.0,0.0
2018-04-15,43.99,43.99,43.99,0.0,0.0,44.6,44.6,44.6,0.0,0.0,43.74,43.74,43.74,0.0,0.0,44.2,44.2,44.2,0.0,0.0
2018-04-22,46.5,46.5,46.5,0.0,0.0,46.5,46.5,46.5,0.0,0.0,43.86,43.86,43.86,0.0,0.0,43.87,43.87,43.87,0.0,0.0
2018-04-29,41.96,41.96,41.96,0.0,0.0,42.63,42.63,42.63,0.0,0.0,41.34,41.34,41.34,0.0,0.0,41.65,41.65,41.65,0.0,0.0
