Date,Schwab US TIPS_etf_Open_average,Schwab US TIPS_etf_Open_max,Schwab US TIPS_etf_Open_min,Schwab US TIPS_etf_Open_volatility,Schwab US TIPS_etf_Open_change,Schwab US TIPS_etf_High_average,Schwab US TIPS_etf_High_max,Schwab US TIPS_etf_High_min,Schwab US TIPS_etf_High_volatility,Schwab US TIPS_etf_High_change,Schwab US TIPS_etf_Low_average,Schwab US TIPS_etf_Low_max,Schwab US TIPS_etf_Low_min,Schwab US TIPS_etf_Low_volatility,Schwab US TIPS_etf_Low_change,Schwab US TIPS_etf_Close_average,Schwab US TIPS_etf_Close_max,Schwab US TIPS_etf_Close_min,Schwab US TIPS_etf_Close_volatility,Schwab US TIPS_etf_Close_change
2018-01-14,55.02,55.02,55.02,0.0,0.0,55.06,55.06,55.06,0.0,0.0,54.94,54.94,54.94,0.0,0.0,54.98,54.98,54.98,0.0,0.0
2018-01-21,55.11,55.11,55.11,0.0,0.0,55.11,55.11,55.11,0.0,0.0,54.95,54.95,54.95,0.0,0.0,55.03,55.03,55.03,0.0,0.0
2018-01-28,54.63,54.63,54.63,0.0,0.0,54.63,54.63,54.63,0.0,0.0,54.48,54.48,54.48,0.0,0.0,54.59,54.59,54.59,0.0,0.0
2018-02-04,54.27,54.27,54.27,0.0,0.0,54.41,54.41,54.41,0.0,0.0,54.18,54.18,54.18,0.0,0.0,54.22,54.22,54.22,0.0,0.0
2018-02-11,54.36,54.36,54.36,0.0,0.0,54.4,54.4,54.4,0.0,0.0,54.27,54.27,54.27,0.0,0.0,54.31,54.31,54.31,0.0,0.0
2018-02-18,54.26,54.26,54.26,0.0,0.0,54.37,54.37,54.37,0.0,0.0,54.22,54.22,54.22,0.0,0.0,54.37,54.37,54.37,0.0,0.0
2018-02-25,54.46,54.46,54.46,0.0,0.0,54.55,54.55,54.55,0.0,0.0,54.36,54.36,54.36,0.0,0.0,54.45,54.45,54.45,0.0,0.0
2018-03-04,54.42,54.42,54.42,0.0,0.0,54.48,54.48,54.48,0.0,0.0,54.35,54.35,54.35,0.0,0.0,54.39,54.39,54.39,0.0,0.0
2018-03-11,54.52,54.52,54.52,0.0,0.0,54.58,54.58,54.58,0.0,0.0,54.45,54.45,54.45,0.0,0.0,54.52,54.52,54.52,0.0,0.0
2018-03-18,54.65,54.65,54.65,0.0,0.0,54.68,54.68,54.68,0.0,0.0,54.58,54.58,54.58,0.0,0.0,54.65,54.65,54.65,0.0,0.0
