Date,LKCO_Open_average,LKCO_Open_max,LKCO_Open_volatility,LKCO_Open_change,LKCO_High_average,LKCO_High_max,LKCO_High_volatility,LKCO_High_change,LKCO_Low_average,LKCO_Low_max,LKCO_Low_volatility,LKCO_Low_change,LKCO_Close_average,LKCO_Close_max,LKCO_Close_volatility,LKCO_Close_change,LKCO_Volume_average,LKCO_Volume_max,LKCO_Volume_volatility,LKCO_Volume_change
2016-01-03,3.3515,3.48,0.3799999999999999,0.04100000000000037,3.4031666666666665,3.5,0.16000000000000014,0.04100000000000037,3.2356666666666665,3.34,0.23999999999999977,-0.05999999999999961,3.2656666666666667,3.37,0.16999999999999993,-0.05999999999999961,3840,5874,5532,2181
2016-01-10,3.23,3.3,0.09999999999999964,-0.09999999999999964,3.33,3.38,0.17999999999999972,-0.17999999999999972,3.1665,3.2060000000000004,0.14600000000000035,-0.14600000000000035,3.2065,3.2880000000000003,0.21800000000000042,-0.1980000000000004,10100,12842,7900,-3019
2016-01-17,3.44,4.36,1.2400000000000002,-0.1299999999999999,3.8268,5.7,2.524,-0.17399999999999993,3.092,3.5,0.6000000000000001,-0.10000000000000009,3.176,3.6,0.7000000000000002,-0.10000000000000009,340854,1505390,1491685,-7857
2016-01-24,2.728,2.9,0.2999999999999998,-0.29000000000000004,2.916,3.18,0.4500000000000002,0.06000000000000005,2.6273999999999997,2.67,0.08300000000000018,-0.06000000000000005,2.722,2.77,0.1499999999999999,-0.010000000000000231,18599,25583,15007,4646
2016-01-31,2.488,2.84,0.5800000000000001,-0.4700000000000002,2.512,2.91,0.6500000000000004,-0.4500000000000002,2.2319999999999998,2.61,0.56,-0.48,2.27,2.61,0.48999999999999977,-0.48,24234,77322,71770,-16339
2016-02-07,2.22275,2.32,0.18900000000000006,0.18900000000000006,2.325,2.41,0.15000000000000036,0.0900000000000003,2.1125,2.15,0.06000000000000005,-0.010000000000000231,2.2075,2.25,0.08999999999999986,-0.06000000000000005,10522,17870,13886,11389
2016-02-14,2.336,2.6,0.3999999999999999,0.3999999999999999,2.436,2.71,0.43000000000000016,0.3999999999999999,2.236,2.26,0.05999999999999961,0.04999999999999982,2.356,2.46,0.18000000000000016,0.1499999999999999,9407,27118,25910,14686
2016-02-21,2.3348,2.46,0.20999999999999996,-0.10599999999999987,2.4144,2.5069999999999997,0.19699999999999962,-0.08299999999999974,2.2882,2.38,0.2599999999999998,-0.028999999999999915,2.346,2.38,0.10000000000000009,0.0,2557,5221,5195,754
2016-02-28,2.2978,2.4,0.17999999999999972,-0.020000000000000018,2.388,2.45,0.13000000000000034,-0.03000000000000025,2.2062,2.28,0.10999999999999988,-0.05999999999999961,2.34,2.45,0.2200000000000002,-0.13000000000000034,6041,9627,7648,7648
2016-03-06,2.296,2.36,0.08000000000000007,-0.08000000000000007,2.39,2.45,0.0900000000000003,-0.010000000000000231,2.29,2.33,0.050000000000000266,-0.050000000000000266,2.38,2.45,0.1200000000000001,0.029999999999999805,1336,2185,2138,-1453
2016-03-13,2.41975,2.47,0.1200000000000001,-0.06000000000000005,2.45725,2.47,0.02100000000000035,0.009999999999999787,2.38725,2.45,0.15000000000000036,-0.050000000000000266,2.43225,2.45,0.07000000000000028,-0.07000000000000028,3658,8011,7236,7236
2016-03-20,2.3819999999999997,2.449,0.129,-0.06499999999999995,2.401,2.46,0.14000000000000012,-0.14000000000000012,2.34775,2.38,0.06000000000000005,-0.03000000000000025,2.35025,2.39,0.07000000000000028,-0.03000000000000025,1455,4446,4210,-554
2016-03-27,2.3287999999999998,2.404,0.10400000000000009,0.10400000000000009,2.3768,2.469,0.14900000000000002,0.07899999999999974,2.286,2.38,0.17999999999999972,0.08000000000000007,2.3222,2.381,0.121,0.010999999999999677,5639,12304,12066,8542
2016-04-03,2.197,2.213,0.03100000000000014,-0.020000000000000018,2.23,2.26,0.06999999999999984,0.04999999999999982,2.1944,2.21,0.028000000000000025,-0.020000000000000018,2.212,2.23,0.040000000000000036,0.0,3097,10039,10026,2128
2016-04-10,2.269,2.31,0.11500000000000021,0.0860000000000003,2.36925,2.457,0.16699999999999982,-0.03699999999999992,2.2640000000000002,2.29,0.0950000000000002,0.0860000000000003,2.3245,2.418,0.1280000000000001,0.11800000000000033,2109,4274,3114,3103
2016-04-17,2.2842,2.35,0.10999999999999988,-0.0900000000000003,2.3202,2.43,0.18000000000000016,-0.08000000000000007,2.2718,2.329,0.08899999999999997,-0.0690000000000004,2.306,2.43,0.18000000000000016,-0.11000000000000032,1920,5348,5313,-2710
2016-04-24,2.3318,2.41,0.16100000000000003,0.1509999999999998,2.3444,2.41,0.15000000000000036,0.14000000000000012,2.31,2.41,0.16999999999999993,0.1599999999999997,2.3316,2.41,0.15000000000000036,0.14000000000000012,424,932,779,90
2016-05-01,2.3298,2.4,0.1599999999999997,-0.0019999999999997797,2.3616,2.4,0.08999999999999986,-0.0019999999999997797,2.319,2.4,0.1599999999999997,-0.0019999999999997797,2.3489999999999998,2.4,0.14300000000000024,-0.0019999999999997797,782,1806,1657,-47
2016-05-08,2.3276,2.38,0.10000000000000009,0.040000000000000036,2.3276,2.38,0.10000000000000009,0.040000000000000036,2.2916,2.32,0.07999999999999963,0.040000000000000036,2.2916,2.32,0.07999999999999963,0.040000000000000036,1573,4304,4238,42
2016-05-15,2.315,2.36,0.06000000000000005,-0.06000000000000005,2.315,2.36,0.06000000000000005,-0.06000000000000005,2.315,2.36,0.06000000000000005,-0.06000000000000005,2.315,2.36,0.06000000000000005,-0.06000000000000005,347,677,677,563
2016-05-22,2.354,2.408,0.1080000000000001,0.03000000000000025,2.4122500000000002,2.59,0.2599999999999998,-0.020999999999999908,2.33925,2.378,0.07800000000000029,0.03000000000000025,2.37725,2.45,0.1200000000000001,-0.020999999999999908,5914,21806,21791,-1791
2016-05-29,2.52,2.6,0.2400000000000002,0.11000000000000032,2.55,2.6,0.2400000000000002,0.2400000000000002,2.4558,2.58,0.2200000000000002,0.10599999999999987,2.4796,2.59,0.22999999999999998,0.20999999999999996,3314,8229,7689,3854
2016-06-05,2.7874,2.97,0.3900000000000001,0.17999999999999972,2.9134,3.21,0.46999999999999975,-0.4500000000000002,2.6608,2.74,0.16100000000000048,0.06600000000000028,2.738,2.86,0.18999999999999995,-0.17999999999999972,15604,55406,52794,-52063
2016-06-12,2.6668,2.88,0.29600000000000026,0.29000000000000004,2.71,2.88,0.27,0.20999999999999996,2.6248,2.72,0.13600000000000056,0.13000000000000034,2.633,2.72,0.1200000000000001,0.1200000000000001,1601,3095,2861,275
2016-06-19,2.672,2.83,0.31000000000000005,-0.1299999999999999,2.7325,2.87,0.3500000000000001,-0.3500000000000001,2.6025,2.81,0.3599999999999999,-0.1499999999999999,2.6655,2.85,0.3799999999999999,-0.3420000000000001,4487,9150,7350,-640
2016-06-26,2.17,2.85,1.51,-0.6499999999999999,2.5025,3.43,1.5100000000000002,-0.7600000000000002,2.02175,2.717,1.5670000000000002,-0.9199999999999999,2.3705,3.1,1.3480000000000003,-0.9080000000000004,163210,483963,482047,38109
2016-07-03,1.6994,1.79,0.18999999999999995,-0.1399999999999999,1.7530000000000001,1.85,0.20500000000000007,-0.20500000000000007,1.6280000000000001,1.65,0.04999999999999982,-0.04999999999999982,1.669,1.75,0.1299999999999999,-0.125,13696,28891,26200,-10968
2016-07-10,1.6472,1.699,0.08800000000000008,-0.049000000000000155,1.7236,1.88,0.22999999999999998,-0.030000000000000027,1.6312,1.65,0.04999999999999982,0.0,1.6832,1.746,0.09600000000000009,0.020000000000000018,10368,37834,37817,-4119
2016-07-17,5.3972,10.99,9.326,9.166,7.7308,13.85,12.186,9.496,4.450200000000001,9.16,7.5200000000000005,6.410000000000001,5.9159999999999995,10.2,8.559999999999999,7.12,5500669,17214612,17209127,1288592
