Date,iShares US Telecommunications_Open_average,iShares US Telecommunications_Open_max,iShares US Telecommunications_Open_volatility,iShares US Telecommunications_Open_change,iShares US Telecommunications_High_average,iShares US Telecommunications_High_max,iShares US Telecommunications_High_volatility,iShares US Telecommunications_High_change,iShares US Telecommunications_Low_average,iShares US Telecommunications_Low_max,iShares US Telecommunications_Low_volatility,iShares US Telecommunications_Low_change,iShares US Telecommunications_Close_average,iShares US Telecommunications_Close_max,iShares US Telecommunications_Close_volatility,iShares US Telecommunications_Close_change
2016-01-03,27.3,27.3,0.0,0.0,27.44,27.44,0.0,0.0,27.01,27.01,0.0,0.0,27.22,27.22,0.0,0.0
2016-01-10,26.15,26.15,0.0,0.0,26.44,26.44,0.0,0.0,25.7,25.7,0.0,0.0,26.04,26.04,0.0,0.0
2016-01-17,26.67,26.67,0.0,0.0,27.06,27.06,0.0,0.0,26.51,26.51,0.0,0.0,26.55,26.55,0.0,0.0
2016-01-24,27.71,27.71,0.0,0.0,27.98,27.98,0.0,0.0,27.57,27.57,0.0,0.0,27.91,27.91,0.0,0.0
2016-01-31,27.0,27.0,0.0,0.0,27.09,27.09,0.0,0.0,26.11,26.11,0.0,0.0,26.42,26.42,0.0,0.0
2016-02-07,26.71,26.71,0.0,0.0,27.09,27.09,0.0,0.0,26.49,26.49,0.0,0.0,26.94,26.94,0.0,0.0
2016-02-14,27.82,27.82,0.0,0.0,28.15,28.15,0.0,0.0,27.82,27.82,0.0,0.0,28.04,28.04,0.0,0.0
2016-02-21,29.14,29.14,0.0,0.0,29.7,29.7,0.0,0.0,29.14,29.14,0.0,0.0,29.59,29.59,0.0,0.0
2016-02-28,30.1,30.1,0.0,0.0,30.66,30.66,0.0,0.0,30.08,30.08,0.0,0.0,30.42,30.42,0.0,0.0
2016-03-06,30.05,30.05,0.0,0.0,30.21,30.21,0.0,0.0,29.8,29.8,0.0,0.0,30.13,30.13,0.0,0.0
2016-03-13,30.26,30.26,0.0,0.0,30.26,30.26,0.0,0.0,30.05,30.05,0.0,0.0,30.1,30.1,0.0,0.0
2016-03-20,29.75,29.75,0.0,0.0,29.96,29.96,0.0,0.0,29.53,29.53,0.0,0.0,29.82,29.82,0.0,0.0
2016-03-27,31.56,31.56,0.0,0.0,31.56,31.56,0.0,0.0,31.26,31.26,0.0,0.0,31.32,31.32,0.0,0.0
2016-04-03,30.84,30.84,0.0,0.0,30.93,30.93,0.0,0.0,30.47,30.47,0.0,0.0,30.56,30.56,0.0,0.0
2016-04-10,31.02,31.02,0.0,0.0,31.34,31.34,0.0,0.0,30.94,30.94,0.0,0.0,31.29,31.29,0.0,0.0
2016-04-17,31.53,31.53,0.0,0.0,31.53,31.53,0.0,0.0,31.28,31.28,0.0,0.0,31.37,31.37,0.0,0.0
2016-04-24,31.35,31.35,0.0,0.0,31.75,31.75,0.0,0.0,31.09,31.09,0.0,0.0,31.75,31.75,0.0,0.0
2016-05-01,30.54,30.54,0.0,0.0,30.7,30.7,0.0,0.0,30.41,30.41,0.0,0.0,30.55,30.55,0.0,0.0
2016-05-08,30.8,30.8,0.0,0.0,30.99,30.99,0.0,0.0,30.75,30.75,0.0,0.0,30.83,30.83,0.0,0.0
2016-05-15,30.78,30.78,0.0,0.0,30.86,30.86,0.0,0.0,30.63,30.63,0.0,0.0,30.65,30.65,0.0,0.0
2016-05-22,31.27,31.27,0.0,0.0,31.47,31.47,0.0,0.0,31.23,31.23,0.0,0.0,31.4,31.4,0.0,0.0
2016-05-29,31.05,31.05,0.0,0.0,31.3,31.3,0.0,0.0,31.01,31.01,0.0,0.0,31.11,31.11,0.0,0.0
2016-06-05,31.01,31.01,0.0,0.0,31.33,31.33,0.0,0.0,31.01,31.01,0.0,0.0,31.08,31.08,0.0,0.0
2016-06-12,32.09,32.09,0.0,0.0,32.34,32.34,0.0,0.0,32.09,32.09,0.0,0.0,32.26,32.26,0.0,0.0
2016-06-19,31.65,31.65,0.0,0.0,31.66,31.66,0.0,0.0,30.98,30.98,0.0,0.0,31.23,31.23,0.0,0.0
2016-06-26,33.3,33.3,0.0,0.0,33.32,33.32,0.0,0.0,32.96,32.96,0.0,0.0,33.32,33.32,0.0,0.0
2016-07-03,34.0,34.0,0.0,0.0,34.19,34.19,0.0,0.0,33.86,33.86,0.0,0.0,34.19,34.19,0.0,0.0
2016-07-10,34.58,34.58,0.0,0.0,34.58,34.58,0.0,0.0,34.28,34.28,0.0,0.0,34.39,34.39,0.0,0.0
2016-07-17,34.4,34.4,0.0,0.0,34.63,34.63,0.0,0.0,34.3,34.3,0.0,0.0,34.53,34.53,0.0,0.0
2016-07-24,34.45,34.45,0.0,0.0,34.55,34.55,0.0,0.0,34.16,34.16,0.0,0.0,34.28,34.28,0.0,0.0
2016-07-31,33.33,33.33,0.0,0.0,33.46,33.46,0.0,0.0,33.16,33.16,0.0,0.0,33.27,33.27,0.0,0.0
2016-08-07,32.64,32.64,0.0,0.0,32.74,32.74,0.0,0.0,32.52,32.52,0.0,0.0,32.59,32.59,0.0,0.0
2016-08-14,31.84,31.84,0.0,0.0,31.9,31.9,0.0,0.0,31.58,31.58,0.0,0.0,31.77,31.77,0.0,0.0
2016-08-21,31.94,31.94,0.0,0.0,32.28,32.28,0.0,0.0,31.9,31.9,0.0,0.0,32.25,32.25,0.0,0.0
2016-08-28,32.09,32.09,0.0,0.0,32.37,32.37,0.0,0.0,32.09,32.09,0.0,0.0,32.36,32.36,0.0,0.0
2016-09-04,31.42,31.42,0.0,0.0,32.73,32.73,0.0,0.0,31.4,31.4,0.0,0.0,32.66,32.66,0.0,0.0
2016-09-11,32.32,32.32,0.0,0.0,32.32,32.32,0.0,0.0,32.02,32.02,0.0,0.0,32.2,32.2,0.0,0.0
2016-09-18,32.37,32.37,0.0,0.0,32.5,32.5,0.0,0.0,32.26,32.26,0.0,0.0,32.29,32.29,0.0,0.0
2016-09-25,32.2,32.2,0.0,0.0,32.24,32.24,0.0,0.0,31.93,31.93,0.0,0.0,32.2,32.2,0.0,0.0
2016-10-02,31.64,31.64,0.0,0.0,31.89,31.89,0.0,0.0,31.56,31.56,0.0,0.0,31.86,31.86,0.0,0.0
2016-10-09,31.45,31.45,0.0,0.0,31.58,31.58,0.0,0.0,31.27,31.27,0.0,0.0,31.43,31.43,0.0,0.0
2016-10-16,31.51,31.51,0.0,0.0,31.88,31.88,0.0,0.0,31.51,31.51,0.0,0.0,31.74,31.74,0.0,0.0
2016-10-23,31.52,31.52,0.0,0.0,31.52,31.52,0.0,0.0,31.28,31.28,0.0,0.0,31.4,31.4,0.0,0.0
2016-10-30,30.0,30.0,0.0,0.0,30.13,30.13,0.0,0.0,29.88,29.88,0.0,0.0,29.92,29.92,0.0,0.0
2016-11-06,30.82,30.82,0.0,0.0,30.92,30.92,0.0,0.0,30.7,30.7,0.0,0.0,30.75,30.75,0.0,0.0
2016-11-13,31.42,31.42,0.0,0.0,31.78,31.78,0.0,0.0,31.3,31.3,0.0,0.0,31.77,31.77,0.0,0.0
2016-11-20,32.55,32.55,0.0,0.0,32.75,32.75,0.0,0.0,32.5,32.5,0.0,0.0,32.64,32.64,0.0,0.0
2016-11-27,32.17,32.17,0.0,0.0,32.46,32.46,0.0,0.0,32.11,32.11,0.0,0.0,32.46,32.46,0.0,0.0
2016-12-04,33.72,33.72,0.0,0.0,33.8,33.8,0.0,0.0,33.24,33.24,0.0,0.0,33.28,33.28,0.0,0.0
2016-12-11,34.14,34.14,0.0,0.0,34.78,34.78,0.0,0.0,34.08,34.08,0.0,0.0,34.57,34.57,0.0,0.0
2016-12-18,34.96,34.96,0.0,0.0,35.56,35.56,0.0,0.0,34.76,34.76,0.0,0.0,35.03,35.03,0.0,0.0
2016-12-25,34.71,34.71,0.0,0.0,34.71,34.71,0.0,0.0,34.3,34.3,0.0,0.0,34.5,34.5,0.0,0.0
2017-01-01,35.71,35.71,0.0,0.0,35.74,35.74,0.0,0.0,35.24,35.24,0.0,0.0,35.34,35.34,0.0,0.0
2017-01-08,35.32,35.32,0.0,0.0,35.58,35.58,0.0,0.0,35.24,35.24,0.0,0.0,35.56,35.56,0.0,0.0
2017-01-15,35.25,35.25,0.0,0.0,35.37,35.37,0.0,0.0,35.09,35.09,0.0,0.0,35.3,35.3,0.0,0.0
2017-01-22,35.63,35.63,0.0,0.0,35.63,35.63,0.0,0.0,35.18,35.18,0.0,0.0,35.43,35.43,0.0,0.0
2017-01-29,34.5,34.5,0.0,0.0,34.6,34.6,0.0,0.0,33.86,33.86,0.0,0.0,33.95,33.95,0.0,0.0
