Date,BWLa_Open_average,BWLa_Open_max,BWLa_Open_min,BWLa_Open_volatility,BWLa_Open_change,BWLa_High_average,BWLa_High_max,BWLa_High_min,BWLa_High_volatility,BWLa_High_change,BWLa_Low_average,BWLa_Low_max,BWLa_Low_min,BWLa_Low_volatility,BWLa_Low_change,BWLa_Close_average,BWLa_Close_max,BWLa_Close_min,BWLa_Close_volatility,BWLa_Close_change,BWLa_Volume_average,BWLa_Volume_max,BWLa_Volume_min,BWLa_Volume_volatility,BWLa_Volume_change
2018-01-14,15.083333333333334,15.8,14.62,1.1800000000000015,1.1800000000000015,15.766666666666667,16.64,14.83,1.8100000000000005,0.8100000000000005,15.083333333333334,15.8,14.62,1.1800000000000015,1.1800000000000015,15.766666666666667,16.64,14.83,1.8100000000000005,0.8100000000000005,268,639,0,639,472
2018-01-21,16.04,16.14,15.75,0.39000000000000057,-0.39000000000000057,16.07,16.25,15.75,0.5,-0.39000000000000057,16.035,16.14,15.75,0.39000000000000057,-0.39000000000000057,16.0675,16.25,15.75,0.5,-0.39000000000000057,212,501,55,446,-145
2018-01-28,15.393333333333333,15.75,14.84,0.9100000000000001,-0.75,15.818,16.004,15.7,0.30400000000000205,-0.30400000000000205,15.303333333333333,15.57,14.84,0.7300000000000004,-0.7300000000000004,15.734666666666667,16.004,15.5,0.5040000000000013,-0.30400000000000205,118,200,50,150,-150
2018-02-04,15.0,15.0,15.0,0.0,0.0,15.561,15.561,15.561,0.0,0.0,15.0,15.0,15.0,0.0,0.0,15.561,15.561,15.561,0.0,0.0,63,63,63,0,0
2018-02-11,15.700000000000001,16.1,15.3,0.8000000000000007,-0.40000000000000213,15.82,16.38,15.3,1.0799999999999983,-0.5999999999999996,15.700000000000001,16.1,15.3,0.8000000000000007,-0.40000000000000213,15.82,16.38,15.3,1.0799999999999983,-0.5999999999999996,220,324,53,271,-271
2018-02-18,15.75,15.75,15.75,0.0,0.0,15.75,15.75,15.75,0.0,0.0,15.34,15.5,15.18,0.3200000000000003,0.3200000000000003,15.34,15.5,15.18,0.3200000000000003,0.3200000000000003,197,300,94,206,-206
2018-02-25,16.0,16.0,16.0,0.0,0.0,16.0,16.0,16.0,0.0,0.0,15.572000000000001,15.572000000000001,15.572000000000001,0.0,0.0,15.572000000000001,15.572000000000001,15.572000000000001,0.0,0.0,27,27,27,0,0
2018-03-04,15.76,16.0,15.5,0.5,0.1999999999999993,15.76,16.0,15.5,0.5,0.1999999999999993,15.3325,15.5,15.05,0.4499999999999993,-0.1999999999999993,15.3325,15.5,15.05,0.4499999999999993,-0.1999999999999993,256,444,62,382,144
2018-03-11,15.1075,15.5,14.7,0.8000000000000007,-0.47000000000000064,15.1075,15.5,14.7,0.8000000000000007,-0.47000000000000064,15.06175,15.317,14.7,0.6170000000000009,-0.2870000000000008,15.06175,15.317,14.7,0.6170000000000009,-0.2870000000000008,51,200,0,200,5
2018-03-18,15.19,15.53,14.85,0.6799999999999997,-0.6799999999999997,15.265,15.53,15.0,0.5299999999999994,-0.5299999999999994,14.69,14.85,14.53,0.3200000000000003,0.3200000000000003,14.925,15.0,14.85,0.15000000000000036,0.15000000000000036,508,616,401,215,215
2018-03-25,15.2,15.5,15.0,0.5,-0.09999999999999964,15.489,15.85,15.21,0.6399999999999988,-0.19699999999999918,15.133333333333333,15.5,14.8,0.6999999999999993,-0.29999999999999893,15.235666666666667,15.5,14.8,0.6999999999999993,-0.6069999999999993,213,334,127,207,53
2018-04-01,14.838000000000001,14.9,14.77,0.13000000000000078,0.08000000000000007,15.0198,15.34,14.82,0.5199999999999996,0.3849999999999998,14.812,14.9,14.7,0.20000000000000107,0.14000000000000057,14.8998,15.205,14.76,0.4450000000000003,0.4450000000000003,674,2825,10,2815,30
2018-04-08,15.26,15.26,15.26,0.0,0.0,15.26,15.26,15.26,0.0,0.0,15.02,15.02,15.02,0.0,0.0,15.02,15.02,15.02,0.0,0.0,404,404,404,0,0
2018-04-15,15.67,15.67,15.67,0.0,0.0,15.67,15.67,15.67,0.0,0.0,15.0,15.0,15.0,0.0,0.0,15.0,15.0,15.0,0.0,0.0,41,41,41,0,0
2018-04-22,15.51,15.78,15.35,0.4299999999999997,-0.4299999999999997,15.51,15.78,15.35,0.4299999999999997,-0.4299999999999997,15.135666666666667,15.4,14.85,0.5500000000000007,-0.3070000000000004,15.135666666666667,15.4,14.85,0.5500000000000007,-0.3070000000000004,60,100,3,97,76
2018-04-29,14.89,15.08,14.7,0.3800000000000008,0.3800000000000008,15.045,15.08,15.01,0.07000000000000028,0.07000000000000028,14.79,15.08,14.5,0.5800000000000001,0.5800000000000001,15.045,15.08,15.01,0.07000000000000028,0.07000000000000028,452,791,113,678,-678
