Date,CAR_Open_average,CAR_Open_max,CAR_Open_min,CAR_Open_volatility,CAR_Open_change,CAR_High_average,CAR_High_max,CAR_High_min,CAR_High_volatility,CAR_High_change,CAR_Low_average,CAR_Low_max,CAR_Low_min,CAR_Low_volatility,CAR_Low_change,CAR_Close_average,CAR_Close_max,CAR_Close_min,CAR_Close_volatility,CAR_Close_change,CAR_Volume_average,CAR_Volume_max,CAR_Volume_min,CAR_Volume_volatility,CAR_Volume_change
2018-01-14,44.76,48.86,42.66,6.200000000000003,-3.0,46.156,49.13,44.08,5.050000000000004,-2.440000000000005,43.07,45.09,42.11,2.980000000000004,2.980000000000004,44.044,45.78,42.51,3.270000000000003,3.1700000000000017,3152724,6996889,2014347,4982542,-4833897
2018-01-21,45.668,46.19,45.19,1.0,0.6400000000000006,46.33,47.18,45.25,1.9299999999999997,0.8800000000000026,44.914,45.77,44.14,1.6300000000000026,0.9600000000000009,45.718,46.45,44.92,1.5300000000000011,0.6599999999999966,1249166,1601866,1048090,553776,102236
2018-01-28,44.714,45.9,43.1,2.799999999999997,-2.729999999999997,45.576,46.61,44.47,2.1400000000000006,-1.8299999999999983,43.910000000000004,45.26,41.92,3.3399999999999963,-3.3399999999999963,44.214,45.8,41.94,3.8599999999999994,-3.8599999999999994,1229346,2503228,809718,1693510,1446609
2018-02-04,42.202,44.47,40.79,3.6799999999999997,0.09000000000000341,43.292,44.75,41.16,3.5900000000000034,-3.280000000000001,40.258,43.08,38.79,4.289999999999999,-0.5,42.044,44.26,40.38,3.8799999999999955,-3.059999999999995,2984975,5209422,1711918,3497504,-532142
2018-02-11,39.0,40.47,37.74,2.729999999999997,-1.6799999999999997,39.9625,40.69,39.13,1.5599999999999952,-0.35999999999999943,38.0725,39.03,36.9,2.1300000000000026,-0.4200000000000017,39.4175,40.12,38.73,1.3900000000000006,-0.09999999999999432,3397506,5539161,1738327,3800834,784766
2018-02-18,42.955999999999996,45.84,39.62,6.220000000000006,6.220000000000006,43.846000000000004,47.0,40.28,6.719999999999999,6.170000000000002,42.254,45.59,38.77,6.82,6.040000000000006,43.048,46.31,38.96,7.350000000000001,6.3700000000000045,5108096,10375784,2273132,8102652,2458237
2018-02-25,45.172,46.51,43.78,2.729999999999997,-1.1000000000000014,46.224,47.07,45.79,1.2800000000000011,-0.6099999999999994,44.162,45.23,43.54,1.6899999999999977,-0.5,45.214,45.79,44.32,1.4699999999999989,0.5499999999999972,1850026,2370691,1075756,1294935,-1228300
2018-03-04,46.518,47.94,45.95,1.9899999999999949,1.8799999999999955,47.412,48.63,46.73,1.9000000000000057,1.730000000000004,46.002,47.59,45.2,2.3900000000000006,2.0,47.02,48.29,46.1,2.1899999999999977,1.4699999999999989,1903271,2528572,1347374,1181198,-32549
2018-03-11,48.676,48.76,48.48,0.28000000000000114,0.240000000000002,49.238,49.91,48.79,1.1199999999999974,0.4299999999999997,48.152,48.57,47.65,0.9200000000000017,0.09999999999999432,48.756,49.27,48.37,0.9000000000000057,0.9000000000000057,2290203,4609648,866196,3743452,1671007
2018-03-18,48.64,50.17,46.7,3.469999999999999,-2.8299999999999983,49.476,50.88,47.54,3.3400000000000034,-3.3400000000000034,47.604,49.33,45.58,3.75,-3.690000000000005,48.236,50.35,46.0,4.350000000000001,-2.980000000000004,2453932,4669524,1498268,3171256,-2702608
2018-03-25,47.3275,47.75,46.85,0.8999999999999986,-0.8999999999999986,47.8075,48.08,47.37,0.7100000000000009,-0.7100000000000009,46.5075,46.83,46.03,0.7999999999999972,-0.490000000000002,46.845,47.31,46.29,1.0200000000000031,-0.6499999999999986,1543634,1863349,1202002,661347,550181
2018-04-01,48.126,49.27,46.51,2.760000000000005,1.8500000000000014,49.314,49.92,48.33,1.5900000000000034,0.8900000000000006,47.656,49.02,46.3,2.720000000000006,1.730000000000004,48.61,49.5,48.07,1.4299999999999997,-0.1700000000000017,1560682,2148373,856951,1291422,-312348
2018-04-08,49.02,49.84,48.34,1.5,0.35999999999999943,49.808,50.32,48.87,1.4500000000000028,-0.17999999999999972,48.544000000000004,49.35,47.94,1.4100000000000037,0.7199999999999989,49.2,49.78,48.31,1.4699999999999989,-0.17999999999999972,1781425,3353113,1045113,2308000,1721635
2018-04-15,48.312,49.93,47.32,2.6099999999999994,-2.6099999999999994,48.97,50.15,47.85,2.299999999999997,-2.299999999999997,47.306,47.95,46.75,1.2000000000000028,-0.259999999999998,47.808,48.58,47.12,1.4600000000000009,-0.030000000000001137,2623629,3192716,1487572,1705144,46422
2018-04-22,48.33,49.15,47.6,1.5499999999999972,1.5499999999999972,49.184,50.11,48.53,1.5799999999999983,1.1099999999999994,47.832,48.79,47.12,1.6700000000000017,1.6700000000000017,48.524,49.41,47.6,1.8099999999999952,1.8099999999999952,2943369,6097690,1658307,4439383,-512216
2018-04-29,46.748,49.22,43.33,5.890000000000001,-4.859999999999999,48.034,49.7,45.44,4.260000000000005,-3.980000000000004,45.05,47.86,42.38,5.479999999999997,-3.6799999999999997,45.894,48.98,43.32,5.659999999999997,-3.469999999999999,3441228,5391906,2571718,2820188,-447265
2018-05-06,43.228,43.9,41.9,2.0,-0.3999999999999986,43.92,44.34,43.5,0.8400000000000034,0.020000000000003126,42.448,43.23,41.47,1.759999999999998,0.21999999999999886,43.034,43.44,41.87,1.5700000000000003,-0.03999999999999915,2590372,4196905,1435808,2761097,-1776543
2018-05-13,43.37,44.61,42.13,2.479999999999997,-1.0599999999999952,44.246,45.15,43.07,2.0799999999999983,-0.8500000000000014,42.678,43.89,41.82,2.0700000000000003,-1.1000000000000014,43.328,44.75,42.0,2.75,-0.00999999999999801,2053800,3056864,1267551,1789313,1731959
2018-05-20,42.8825,43.38,42.45,0.9299999999999997,-0.480000000000004,43.315,43.61,43.03,0.5799999999999983,-0.509999999999998,42.3725,42.69,42.06,0.6299999999999955,-0.6299999999999955,42.682500000000005,43.02,42.11,0.9100000000000037,-0.6300000000000026,1877502,2775898,816415,1959483,-1389699
2018-05-27,40.004,41.89,38.45,3.4399999999999977,-3.4399999999999977,40.178,42.2,38.86,3.3400000000000034,-3.3400000000000034,38.894,40.27,37.72,2.5500000000000043,-2.5500000000000043,39.134,40.35,38.22,2.1300000000000026,-2.1300000000000026,1724601,2690856,1300582,1390274,-207071
2018-06-03,38.528,39.32,37.85,1.4699999999999989,1.0200000000000031,39.396,41.49,38.22,3.270000000000003,2.6700000000000017,38.194,39.32,37.46,1.8599999999999994,1.7299999999999969,39.026,40.94,37.83,3.1099999999999994,3.1099999999999994,1741539,2786308,1227367,1558941,1204608
2018-06-10,41.732,42.77,40.93,1.8400000000000034,0.14000000000000057,42.506,43.38,41.51,1.8700000000000045,-1.5300000000000011,41.15,41.64,40.42,1.2199999999999989,-0.4799999999999969,41.918,42.8,41.27,1.529999999999994,-1.3599999999999994,1402372,2392671,730718,1661953,-1661953
2018-06-17,41.478,41.91,41.0,0.9099999999999966,0.3999999999999986,42.007999999999996,43.21,41.4,1.8100000000000023,-0.07000000000000028,40.486,41.62,38.36,3.259999999999998,-2.0700000000000003,41.0,41.85,38.66,3.190000000000005,-2.770000000000003,1680815,2759801,946487,1813314,1359889
2018-06-24,34.052,37.71,32.0,5.710000000000001,-5.710000000000001,34.364000000000004,37.81,32.53,5.280000000000001,-5.280000000000001,32.558,34.55,31.34,3.2099999999999973,-3.2099999999999973,33.106,34.93,32.18,2.75,-2.4200000000000017,2965757,3973144,2159188,1813956,-1813956
