Date,Vident Core U.S. Equity_Open_average,Vident Core U.S. Equity_Open_max,Vident Core U.S. Equity_Open_min,Vident Core U.S. Equity_Open_volatility,Vident Core U.S. Equity_Open_change,Vident Core U.S. Equity_High_average,Vident Core U.S. Equity_High_max,Vident Core U.S. Equity_High_min,Vident Core U.S. Equity_High_volatility,Vident Core U.S. Equity_High_change,Vident Core U.S. Equity_Low_average,Vident Core U.S. Equity_Low_max,Vident Core U.S. Equity_Low_min,Vident Core U.S. Equity_Low_volatility,Vident Core U.S. Equity_Low_change,Vident Core U.S. Equity_Close_average,Vident Core U.S. Equity_Close_max,Vident Core U.S. Equity_Close_min,Vident Core U.S. Equity_Close_volatility,Vident Core U.S. Equity_Close_change
2018-01-14,35.11,35.11,35.11,0.0,0.0,35.34,35.34,35.34,0.0,0.0,35.06,35.06,35.06,0.0,0.0,35.34,35.34,35.34,0.0,0.0
2018-01-21,35.4,35.4,35.4,0.0,0.0,35.4,35.4,35.4,0.0,0.0,35.2,35.2,35.2,0.0,0.0,35.2,35.2,35.2,0.0,0.0
2018-01-28,33.32,33.32,33.32,0.0,0.0,33.61,33.61,33.61,0.0,0.0,32.43,32.43,32.43,0.0,0.0,32.43,32.43,32.43,0.0,0.0
2018-02-04,32.02,32.02,32.02,0.0,0.0,32.52,32.52,32.52,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.37,32.37,32.37,0.0,0.0
2018-02-11,33.51,33.51,33.51,0.0,0.0,33.58,33.58,33.58,0.0,0.0,33.38,33.38,33.38,0.0,0.0,33.48,33.48,33.48,0.0,0.0
2018-02-18,33.36,33.36,33.36,0.0,0.0,33.71,33.71,33.71,0.0,0.0,33.36,33.36,33.36,0.0,0.0,33.69,33.69,33.69,0.0,0.0
2018-02-25,32.96,32.96,32.96,0.0,0.0,33.26,33.26,33.26,0.0,0.0,32.96,32.96,32.96,0.0,0.0,33.18,33.18,33.18,0.0,0.0
2018-03-04,33.88,33.88,33.88,0.0,0.0,34.03,34.03,34.03,0.0,0.0,33.88,33.88,33.88,0.0,0.0,33.92,33.92,33.92,0.0,0.0
2018-03-11,33.7,33.7,33.7,0.0,0.0,33.7,33.7,33.7,0.0,0.0,33.24,33.24,33.24,0.0,0.0,33.56,33.56,33.56,0.0,0.0
2018-03-18,32.35,32.35,32.35,0.0,0.0,32.85,32.85,32.85,0.0,0.0,32.34,32.34,32.34,0.0,0.0,32.83,32.83,32.83,0.0,0.0
2018-03-25,32.54,32.54,32.54,0.0,0.0,32.54,32.54,32.54,0.0,0.0,31.62,31.62,31.62,0.0,0.0,32.01,32.01,32.01,0.0,0.0
2018-04-01,32.57,32.57,32.57,0.0,0.0,32.87,32.87,32.87,0.0,0.0,32.48,32.48,32.48,0.0,0.0,32.48,32.48,32.48,0.0,0.0
2018-04-08,33.38,33.38,33.38,0.0,0.0,33.66,33.66,33.66,0.0,0.0,33.37,33.37,33.37,0.0,0.0,33.51,33.51,33.51,0.0,0.0
2018-04-15,33.37,33.37,33.37,0.0,0.0,33.56,33.56,33.56,0.0,0.0,33.29,33.29,33.29,0.0,0.0,33.37,33.37,33.37,0.0,0.0
2018-04-22,33.45,33.45,33.45,0.0,0.0,33.45,33.45,33.45,0.0,0.0,32.83,32.83,32.83,0.0,0.0,32.89,32.89,32.89,0.0,0.0
2018-04-29,32.87,32.87,32.87,0.0,0.0,32.91,32.91,32.91,0.0,0.0,32.77,32.77,32.77,0.0,0.0,32.77,32.77,32.77,0.0,0.0
2018-05-06,33.64,33.64,33.64,0.0,0.0,33.68,33.68,33.68,0.0,0.0,33.54,33.54,33.54,0.0,0.0,33.54,33.54,33.54,0.0,0.0
2018-05-13,34.33,34.33,34.33,0.0,0.0,34.34,34.34,34.34,0.0,0.0,34.23,34.23,34.23,0.0,0.0,34.28,34.28,34.28,0.0,0.0
2018-05-20,34.0,34.0,34.0,0.0,0.0,34.0,34.0,34.0,0.0,0.0,33.87,33.87,33.87,0.0,0.0,33.87,33.87,33.87,0.0,0.0
2018-05-27,34.13,34.13,34.13,0.0,0.0,34.31,34.31,34.31,0.0,0.0,34.12,34.12,34.12,0.0,0.0,34.3,34.3,34.3,0.0,0.0
2018-06-03,34.92,34.92,34.92,0.0,0.0,35.05,35.05,35.05,0.0,0.0,34.92,34.92,34.92,0.0,0.0,35.0,35.0,35.0,0.0,0.0
2018-06-10,34.76,34.76,34.76,0.0,0.0,34.81,34.81,34.81,0.0,0.0,34.61,34.61,34.61,0.0,0.0,34.75,34.75,34.75,0.0,0.0
2018-06-17,34.46,34.46,34.46,0.0,0.0,34.46,34.46,34.46,0.0,0.0,33.82,33.82,33.82,0.0,0.0,33.82,33.82,33.82,0.0,0.0
2018-06-24,33.43,33.43,33.43,0.0,0.0,33.7,33.7,33.7,0.0,0.0,33.32,33.32,33.32,0.0,0.0,33.7,33.7,33.7,0.0,0.0
2018-07-01,34.36,34.36,34.36,0.0,0.0,34.57,34.57,34.57,0.0,0.0,34.36,34.36,34.36,0.0,0.0,34.54,34.54,34.54,0.0,0.0
2018-07-08,34.51,34.51,34.51,0.0,0.0,34.51,34.51,34.51,0.0,0.0,34.11,34.11,34.11,0.0,0.0,34.16,34.16,34.16,0.0,0.0
