Date,IQ Merger Arbitrage_etf_Open_average,IQ Merger Arbitrage_etf_Open_max,IQ Merger Arbitrage_etf_Open_min,IQ Merger Arbitrage_etf_Open_volatility,IQ Merger Arbitrage_etf_Open_change,IQ Merger Arbitrage_etf_High_average,IQ Merger Arbitrage_etf_High_max,IQ Merger Arbitrage_etf_High_min,IQ Merger Arbitrage_etf_High_volatility,IQ Merger Arbitrage_etf_High_change,IQ Merger Arbitrage_etf_Low_average,IQ Merger Arbitrage_etf_Low_max,IQ Merger Arbitrage_etf_Low_min,IQ Merger Arbitrage_etf_Low_volatility,IQ Merger Arbitrage_etf_Low_change,IQ Merger Arbitrage_etf_Close_average,IQ Merger Arbitrage_etf_Close_max,IQ Merger Arbitrage_etf_Close_min,IQ Merger Arbitrage_etf_Close_volatility,IQ Merger Arbitrage_etf_Close_change
2018-01-14,31.72,31.72,31.72,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.68,31.68,31.68,0.0,0.0,31.85,31.85,31.85,0.0,0.0
2018-01-21,31.87,31.87,31.87,0.0,0.0,31.87,31.87,31.87,0.0,0.0,31.8,31.8,31.8,0.0,0.0,31.8,31.8,31.8,0.0,0.0
2018-01-28,31.59,31.59,31.59,0.0,0.0,31.61,31.61,31.61,0.0,0.0,31.46,31.46,31.46,0.0,0.0,31.47,31.47,31.47,0.0,0.0
2018-02-04,31.18,31.18,31.18,0.0,0.0,31.18,31.18,31.18,0.0,0.0,31.03,31.03,31.03,0.0,0.0,31.13,31.13,31.13,0.0,0.0
2018-02-11,31.27,31.27,31.27,0.0,0.0,31.39,31.39,31.39,0.0,0.0,31.25,31.25,31.25,0.0,0.0,31.29,31.29,31.29,0.0,0.0
2018-02-18,31.42,31.42,31.42,0.0,0.0,31.42,31.42,31.42,0.0,0.0,31.24,31.24,31.24,0.0,0.0,31.26,31.26,31.26,0.0,0.0
2018-02-25,30.77,30.77,30.77,0.0,0.0,31.06,31.06,31.06,0.0,0.0,30.77,30.77,30.77,0.0,0.0,31.04,31.04,31.04,0.0,0.0
2018-03-04,31.16,31.16,31.16,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.09,31.09,31.09,0.0,0.0,31.1,31.1,31.1,0.0,0.0
2018-03-11,30.89,30.89,30.89,0.0,0.0,30.9,30.9,30.9,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.79,30.79,30.79,0.0,0.0
2018-03-18,30.82,30.82,30.82,0.0,0.0,30.86,30.86,30.86,0.0,0.0,30.76,30.76,30.76,0.0,0.0,30.78,30.78,30.78,0.0,0.0
2018-03-25,30.83,30.83,30.83,0.0,0.0,30.83,30.83,30.83,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.74,30.74,30.74,0.0,0.0
2018-04-01,30.44,30.44,30.44,0.0,0.0,30.52,30.52,30.52,0.0,0.0,30.31,30.31,30.31,0.0,0.0,30.32,30.32,30.32,0.0,0.0
2018-04-08,30.72,30.72,30.72,0.0,0.0,30.72,30.72,30.72,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.67,30.67,30.67,0.0,0.0
2018-04-15,30.66,30.66,30.66,0.0,0.0,30.7,30.7,30.7,0.0,0.0,30.6,30.6,30.6,0.0,0.0,30.63,30.63,30.63,0.0,0.0
2018-04-22,30.65,30.65,30.65,0.0,0.0,30.73,30.73,30.73,0.0,0.0,30.64,30.64,30.64,0.0,0.0,30.71,30.71,30.71,0.0,0.0
2018-04-29,30.43,30.43,30.43,0.0,0.0,30.61,30.61,30.61,0.0,0.0,30.43,30.43,30.43,0.0,0.0,30.47,30.47,30.47,0.0,0.0
2018-05-06,30.44,30.44,30.44,0.0,0.0,30.44,30.44,30.44,0.0,0.0,30.25,30.25,30.25,0.0,0.0,30.36,30.36,30.36,0.0,0.0
