Date,PowerShares Russell Top 200 Equal Weight_Open_average,PowerShares Russell Top 200 Equal Weight_Open_max,PowerShares Russell Top 200 Equal Weight_Open_min,PowerShares Russell Top 200 Equal Weight_Open_volatility,PowerShares Russell Top 200 Equal Weight_Open_change,PowerShares Russell Top 200 Equal Weight_High_average,PowerShares Russell Top 200 Equal Weight_High_max,PowerShares Russell Top 200 Equal Weight_High_min,PowerShares Russell Top 200 Equal Weight_High_volatility,PowerShares Russell Top 200 Equal Weight_High_change,PowerShares Russell Top 200 Equal Weight_Low_average,PowerShares Russell Top 200 Equal Weight_Low_max,PowerShares Russell Top 200 Equal Weight_Low_min,PowerShares Russell Top 200 Equal Weight_Low_volatility,PowerShares Russell Top 200 Equal Weight_Low_change,PowerShares Russell Top 200 Equal Weight_Close_average,PowerShares Russell Top 200 Equal Weight_Close_max,PowerShares Russell Top 200 Equal Weight_Close_min,PowerShares Russell Top 200 Equal Weight_Close_volatility,PowerShares Russell Top 200 Equal Weight_Close_change
2018-01-14,54.91,54.91,54.91,0.0,0.0,55.46,55.46,55.46,0.0,0.0,54.91,54.91,54.91,0.0,0.0,55.45,55.45,55.45,0.0,0.0
2018-01-21,56.31,56.31,56.31,0.0,0.0,56.31,56.31,56.31,0.0,0.0,55.96,55.96,55.96,0.0,0.0,55.99,55.99,55.99,0.0,0.0
2018-01-28,53.94,53.94,53.94,0.0,0.0,54.12,54.12,54.12,0.0,0.0,52.04,52.04,52.04,0.0,0.0,52.04,52.04,52.04,0.0,0.0
2018-02-04,51.51,51.51,51.51,0.0,0.0,52.17,52.17,52.17,0.0,0.0,51.51,51.51,51.51,0.0,0.0,51.95,51.95,51.95,0.0,0.0
2018-02-11,53.28,53.28,53.28,0.0,0.0,53.65,53.65,53.65,0.0,0.0,53.28,53.28,53.28,0.0,0.0,53.45,53.45,53.45,0.0,0.0
2018-02-18,53.91,53.91,53.91,0.0,0.0,54.1,54.1,54.1,0.0,0.0,53.65,53.65,53.65,0.0,0.0,54.1,54.1,54.1,0.0,0.0
2018-02-25,52.18,52.18,52.18,0.0,0.0,52.98,52.98,52.98,0.0,0.0,52.18,52.18,52.18,0.0,0.0,52.98,52.98,52.98,0.0,0.0
2018-03-04,54.37,54.37,54.37,0.0,0.0,54.37,54.37,54.37,0.0,0.0,54.21,54.21,54.21,0.0,0.0,54.21,54.21,54.21,0.0,0.0
2018-03-11,52.92,52.92,52.92,0.0,0.0,52.92,52.92,52.92,0.0,0.0,52.42,52.42,52.42,0.0,0.0,52.55,52.55,52.55,0.0,0.0
2018-03-18,51.55,51.55,51.55,0.0,0.0,51.84,51.84,51.84,0.0,0.0,51.14,51.14,51.14,0.0,0.0,51.84,51.84,51.84,0.0,0.0
2018-03-25,51.57,51.57,51.57,0.0,0.0,51.57,51.57,51.57,0.0,0.0,50.15,50.15,50.15,0.0,0.0,50.34,50.34,50.34,0.0,0.0
2018-04-01,51.99,51.99,51.99,0.0,0.0,51.99,51.99,51.99,0.0,0.0,51.54,51.54,51.54,0.0,0.0,51.54,51.54,51.54,0.0,0.0
2018-04-08,52.5,52.5,52.5,0.0,0.0,52.98,52.98,52.98,0.0,0.0,52.5,52.5,52.5,0.0,0.0,52.87,52.87,52.87,0.0,0.0
2018-04-15,52.79,52.79,52.79,0.0,0.0,52.89,52.89,52.89,0.0,0.0,52.73,52.73,52.73,0.0,0.0,52.74,52.74,52.74,0.0,0.0
