Date,HNRG_Open_average,HNRG_Open_max,HNRG_Open_min,HNRG_Open_volatility,HNRG_Open_change,HNRG_High_average,HNRG_High_max,HNRG_High_min,HNRG_High_volatility,HNRG_High_change,HNRG_Low_average,HNRG_Low_max,HNRG_Low_min,HNRG_Low_volatility,HNRG_Low_change,HNRG_Close_average,HNRG_Close_max,HNRG_Close_min,HNRG_Close_volatility,HNRG_Close_change,HNRG_Volume_average,HNRG_Volume_max,HNRG_Volume_min,HNRG_Volume_volatility,HNRG_Volume_change
2018-01-14,7.03,7.24,6.7,0.54,-0.4500000000000002,7.25875,7.4,7.18,0.22000000000000064,-0.22000000000000064,6.821,7.104,6.54,0.5640000000000001,-0.5640000000000001,7.0225,7.21,6.7,0.5099999999999998,-0.07000000000000028,89386,119213,66206,53007,-23683
2018-01-21,7.208,7.35,7.13,0.21999999999999975,0.20999999999999996,7.304,7.35,7.24,0.10999999999999943,0.10999999999999943,6.9894,7.07,6.832000000000001,0.23799999999999955,-0.15799999999999947,7.204,7.31,7.11,0.1999999999999993,0.0600000000000005,49418,61706,26800,34906,9704
2018-01-28,7.088,7.2,6.94,0.2599999999999998,-0.1200000000000001,7.2028,7.314,7.08,0.23399999999999999,-0.23399999999999999,6.8586,7.12,6.655,0.46499999999999986,-0.46499999999999986,7.038,7.16,6.77,0.39000000000000057,-0.3800000000000008,53376,80976,36599,44377,11594
2018-02-04,6.562,6.74,6.39,0.35000000000000053,-0.35000000000000053,6.7046,6.9,6.39,0.5100000000000007,-0.4800000000000004,6.386,6.61,6.2,0.41000000000000014,-0.41000000000000014,6.492,6.63,6.3,0.33000000000000007,-0.33000000000000007,89321,152621,57916,94705,-6720
2018-02-11,6.2620000000000005,6.37,6.19,0.17999999999999972,-0.07000000000000028,6.356,6.5,6.25,0.25,-0.15000000000000036,6.112,6.19,6.04,0.15000000000000036,-0.11000000000000032,6.232,6.3,6.17,0.1299999999999999,-0.07000000000000028,85599,222719,37132,185587,-185587
2018-02-18,6.1025,6.17,6.02,0.15000000000000036,-0.15000000000000036,6.2475000000000005,6.33,6.17,0.16000000000000014,0.03000000000000025,6.0024999999999995,6.05,5.94,0.10999999999999943,0.0,6.1225,6.33,5.96,0.3700000000000001,0.27000000000000046,48295,62795,34566,28229,-3315
2018-02-25,6.44,6.59,6.34,0.25,-0.020000000000000462,6.54,6.62,6.48,0.13999999999999968,0.019999999999999574,6.235,6.36,6.162000000000001,0.1979999999999995,-0.028999999999999027,6.42,6.6,6.25,0.34999999999999964,-0.16999999999999993,63092,91183,35685,55498,28746
2018-03-04,6.416,6.69,6.22,0.47000000000000064,0.15000000000000036,6.592,6.69,6.45,0.2400000000000002,0.13999999999999968,6.352,6.41,6.22,0.1900000000000004,0.15000000000000036,6.49,6.65,6.35,0.3000000000000007,0.1800000000000006,47230,63983,25270,38713,38713
2018-03-11,6.436,6.71,6.05,0.6600000000000001,-0.04999999999999982,6.7288,6.79,6.61,0.17999999999999972,-0.07500000000000018,6.2502,6.531000000000001,6.05,0.48100000000000076,-0.11100000000000065,6.432,6.71,6.1,0.6100000000000003,-0.09999999999999964,120589,177173,50094,127079,119442
2018-03-18,6.67,6.75,6.6,0.15000000000000036,0.05000000000000071,6.7978000000000005,6.93,6.65,0.27999999999999936,0.08000000000000007,6.5794,6.72,6.42,0.2999999999999998,0.13700000000000045,6.676,6.84,6.6,0.2400000000000002,0.0,82920,116600,50402,66198,-46648
