Date,RDY_Open_average,RDY_Open_max,RDY_Open_min,RDY_Open_volatility,RDY_Open_change,RDY_High_average,RDY_High_max,RDY_High_min,RDY_High_volatility,RDY_High_change,RDY_Low_average,RDY_Low_max,RDY_Low_min,RDY_Low_volatility,RDY_Low_change,RDY_Close_average,RDY_Close_max,RDY_Close_min,RDY_Close_volatility,RDY_Close_change,RDY_Volume_average,RDY_Volume_max,RDY_Volume_min,RDY_Volume_volatility,RDY_Volume_change
2018-01-14,38.576,38.85,38.23,0.6200000000000045,0.47000000000000597,38.874,39.14,38.61,0.5300000000000011,0.5300000000000011,38.402,38.7,38.03,0.6700000000000017,0.47000000000000597,38.692,39.14,38.28,0.8599999999999994,0.6600000000000037,214704,289686,164267,125419,-35412
2018-01-21,38.54,39.81,37.09,2.719999999999999,-2.1699999999999946,38.952,39.96,37.09,2.8699999999999974,-2.5,37.216,39.33,34.13,5.199999999999996,-2.9399999999999977,38.252,39.54,36.31,3.229999999999997,-3.229999999999997,670019,1408409,188801,1219608,407709
2018-01-28,34.146,35.81,32.64,3.1700000000000017,-3.1700000000000017,34.339999999999996,35.99,33.16,2.8300000000000054,-2.8200000000000003,33.452,35.45,32.04,3.4100000000000037,-3.4100000000000037,33.64,35.52,32.04,3.480000000000004,-3.480000000000004,389660,485503,299313,186190,-118111
2018-02-04,33.254,34.28,32.14,2.1400000000000006,2.1400000000000006,33.954,34.43,33.27,1.1599999999999966,1.1599999999999966,32.873999999999995,33.73,32.05,1.6799999999999997,1.6799999999999997,33.472,34.11,33.04,1.0700000000000003,0.9600000000000009,388563,455166,224004,231162,-228004
2018-02-11,34.24,34.72,33.78,0.9399999999999977,0.5599999999999952,34.69,34.96,34.2,0.759999999999998,0.759999999999998,34.075,34.45,33.68,0.7700000000000031,0.7700000000000031,34.515,34.74,34.0,0.740000000000002,0.740000000000002,182538,227608,148748,78860,-78860
2018-02-18,33.664,33.95,33.03,0.9200000000000017,-0.060000000000002274,33.926,34.31,33.3,1.0100000000000051,-0.1600000000000037,33.414,33.68,32.89,0.7899999999999991,0.14000000000000057,33.702,34.07,33.24,0.8299999999999983,0.020000000000003126,341289,442089,234153,207936,-153268
2018-02-25,33.998,34.27,33.78,0.490000000000002,-0.490000000000002,34.374,34.84,33.99,0.8500000000000014,-0.8500000000000014,33.838,34.15,33.56,0.5899999999999963,-0.5899999999999963,33.984,34.16,33.78,0.37999999999999545,-0.37999999999999545,208326,318075,121711,196364,-121546
2018-03-04,33.584,33.84,33.41,0.4300000000000068,-0.1700000000000017,33.714,33.96,33.55,0.4100000000000037,-0.240000000000002,33.248,33.43,33.0,0.4299999999999997,-0.03999999999999915,33.618,33.81,33.54,0.2700000000000031,-0.240000000000002,271913,358339,187169,171170,-171170
2018-03-11,33.694,34.1,33.02,1.0799999999999983,-0.8399999999999963,33.904,34.27,33.17,1.1000000000000014,-1.009999999999998,33.43,33.84,32.81,1.0300000000000011,-0.9799999999999969,33.612,34.06,32.94,1.1200000000000045,-1.1200000000000045,288060,376483,246444,130039,-32133
2018-03-18,32.746,33.22,32.37,0.8500000000000014,-0.7899999999999991,32.98,33.51,32.49,1.019999999999996,-0.769999999999996,32.476,33.11,31.92,1.1899999999999977,-0.9600000000000009,32.616,33.29,31.93,1.3599999999999994,-0.9699999999999989,222487,270908,183964,86944,14529
