Date,Vanguard Utilities_Open_average,Vanguard Utilities_Open_max,Vanguard Utilities_Open_min,Vanguard Utilities_Open_volatility,Vanguard Utilities_Open_change,Vanguard Utilities_High_average,Vanguard Utilities_High_max,Vanguard Utilities_High_min,Vanguard Utilities_High_volatility,Vanguard Utilities_High_change,Vanguard Utilities_Low_average,Vanguard Utilities_Low_max,Vanguard Utilities_Low_min,Vanguard Utilities_Low_volatility,Vanguard Utilities_Low_change,Vanguard Utilities_Close_average,Vanguard Utilities_Close_max,Vanguard Utilities_Close_min,Vanguard Utilities_Close_volatility,Vanguard Utilities_Close_change
2018-01-14,111.24,111.24,111.24,0.0,0.0,111.93,111.93,111.93,0.0,0.0,110.77,110.77,110.77,0.0,0.0,110.99,110.99,110.99,0.0,0.0
2018-01-21,112.64,112.64,112.64,0.0,0.0,112.79,112.79,112.79,0.0,0.0,111.54,111.54,111.54,0.0,0.0,111.63,111.63,111.63,0.0,0.0
2018-01-28,110.09,110.09,110.09,0.0,0.0,111.22,111.22,111.22,0.0,0.0,108.21,108.21,108.21,0.0,0.0,108.28,108.28,108.28,0.0,0.0
2018-02-04,107.63,107.63,107.63,0.0,0.0,108.78,108.78,108.78,0.0,0.0,106.72,106.72,106.72,0.0,0.0,108.31,108.31,108.31,0.0,0.0
2018-02-11,109.86,109.86,109.86,0.0,0.0,110.96,110.96,110.96,0.0,0.0,109.52,109.52,109.52,0.0,0.0,110.74,110.74,110.74,0.0,0.0
2018-02-18,111.5,111.5,111.5,0.0,0.0,111.77,111.77,111.77,0.0,0.0,110.6,110.6,110.6,0.0,0.0,110.82,110.82,110.82,0.0,0.0
2018-02-25,107.77,107.77,107.77,0.0,0.0,110.3,110.3,110.3,0.0,0.0,107.59,107.59,107.59,0.0,0.0,110.02,110.02,110.02,0.0,0.0
2018-03-04,109.09,109.09,109.09,0.0,0.0,109.76,109.76,109.76,0.0,0.0,109.09,109.09,109.09,0.0,0.0,109.65,109.65,109.65,0.0,0.0
2018-03-11,111.04,111.04,111.04,0.0,0.0,111.27,111.27,111.27,0.0,0.0,109.8,109.8,109.8,0.0,0.0,110.44,110.44,110.44,0.0,0.0
2018-03-18,108.86,108.86,108.86,0.0,0.0,109.75,109.75,109.75,0.0,0.0,108.71,108.71,108.71,0.0,0.0,109.61,109.61,109.61,0.0,0.0
2018-03-25,111.83,111.83,111.83,0.0,0.0,112.41,112.41,112.41,0.0,0.0,110.09,110.09,110.09,0.0,0.0,110.84,110.84,110.84,0.0,0.0
2018-04-01,111.61,111.61,111.61,0.0,0.0,112.55,112.55,112.55,0.0,0.0,111.33,111.33,111.33,0.0,0.0,111.74,111.74,111.74,0.0,0.0
2018-04-08,110.52,110.52,110.52,0.0,0.0,111.97,111.97,111.97,0.0,0.0,110.52,110.52,110.52,0.0,0.0,111.89,111.89,111.89,0.0,0.0
2018-04-15,111.66,111.66,111.66,0.0,0.0,112.33,112.33,112.33,0.0,0.0,111.48,111.48,111.48,0.0,0.0,111.87,111.87,111.87,0.0,0.0
2018-04-22,115.01,115.01,115.01,0.0,0.0,115.43,115.43,115.43,0.0,0.0,114.48,114.48,114.48,0.0,0.0,114.57,114.57,114.57,0.0,0.0
2018-04-29,114.95,114.95,114.95,0.0,0.0,115.05,115.05,115.05,0.0,0.0,114.23,114.23,114.23,0.0,0.0,114.34,114.34,114.34,0.0,0.0
2018-05-06,112.81,112.81,112.81,0.0,0.0,112.93,112.93,112.93,0.0,0.0,111.73,111.73,111.73,0.0,0.0,112.19,112.19,112.19,0.0,0.0
2018-05-13,109.74,109.74,109.74,0.0,0.0,110.49,110.49,110.49,0.0,0.0,109.32,109.32,109.32,0.0,0.0,110.19,110.19,110.19,0.0,0.0
2018-05-20,112.61,112.61,112.61,0.0,0.0,113.24,113.24,113.24,0.0,0.0,112.48,112.48,112.48,0.0,0.0,112.97,112.97,112.97,0.0,0.0
2018-05-27,112.69,112.69,112.69,0.0,0.0,113.1,113.1,113.1,0.0,0.0,111.6,111.6,111.6,0.0,0.0,111.73,111.73,111.73,0.0,0.0
2018-06-03,109.48,109.48,109.48,0.0,0.0,109.76,109.76,109.76,0.0,0.0,108.5,108.5,108.5,0.0,0.0,108.7,108.7,108.7,0.0,0.0
2018-06-10,111.69,111.69,111.69,0.0,0.0,112.51,112.51,112.51,0.0,0.0,111.64,111.64,111.64,0.0,0.0,112.28,112.28,112.28,0.0,0.0
2018-06-17,114.63,114.63,114.63,0.0,0.0,116.52,116.52,116.52,0.0,0.0,114.63,114.63,114.63,0.0,0.0,116.29,116.29,116.29,0.0,0.0
2018-06-24,115.96,115.96,115.96,0.0,0.0,116.85,116.85,116.85,0.0,0.0,115.57,115.57,115.57,0.0,0.0,116.84,116.84,116.84,0.0,0.0
2018-07-01,118.86,118.86,118.86,0.0,0.0,118.86,118.86,118.86,0.0,0.0,114.82,114.82,114.82,0.0,0.0,115.2,115.2,115.2,0.0,0.0
2018-07-08,117.26,117.26,117.26,0.0,0.0,117.39,117.39,117.39,0.0,0.0,116.56,116.56,116.56,0.0,0.0,117.12,117.12,117.12,0.0,0.0
2018-07-15,116.86,116.86,116.86,0.0,0.0,116.86,116.86,116.86,0.0,0.0,115.66,115.66,115.66,0.0,0.0,116.02,116.02,116.02,0.0,0.0
2018-07-22,117.19,117.19,117.19,0.0,0.0,117.19,117.19,117.19,0.0,0.0,116.38,116.38,116.38,0.0,0.0,116.64,116.64,116.64,0.0,0.0
2018-07-29,118.8,118.8,118.8,0.0,0.0,119.5,119.5,119.5,0.0,0.0,118.72,118.72,118.72,0.0,0.0,118.9,118.9,118.9,0.0,0.0
2018-08-05,118.31,118.31,118.31,0.0,0.0,118.55,118.55,118.55,0.0,0.0,117.86,117.86,117.86,0.0,0.0,118.42,118.42,118.42,0.0,0.0
2018-08-12,121.77,121.77,121.77,0.0,0.0,121.77,121.77,121.77,0.0,0.0,120.99,120.99,120.99,0.0,0.0,121.18,121.18,121.18,0.0,0.0
