Date,PowerShares DWA Momentum Portfolio_etf_Open_average,PowerShares DWA Momentum Portfolio_etf_Open_max,PowerShares DWA Momentum Portfolio_etf_Open_min,PowerShares DWA Momentum Portfolio_etf_Open_volatility,PowerShares DWA Momentum Portfolio_etf_Open_change,PowerShares DWA Momentum Portfolio_etf_High_average,PowerShares DWA Momentum Portfolio_etf_High_max,PowerShares DWA Momentum Portfolio_etf_High_min,PowerShares DWA Momentum Portfolio_etf_High_volatility,PowerShares DWA Momentum Portfolio_etf_High_change,PowerShares DWA Momentum Portfolio_etf_Low_average,PowerShares DWA Momentum Portfolio_etf_Low_max,PowerShares DWA Momentum Portfolio_etf_Low_min,PowerShares DWA Momentum Portfolio_etf_Low_volatility,PowerShares DWA Momentum Portfolio_etf_Low_change,PowerShares DWA Momentum Portfolio_etf_Close_average,PowerShares DWA Momentum Portfolio_etf_Close_max,PowerShares DWA Momentum Portfolio_etf_Close_min,PowerShares DWA Momentum Portfolio_etf_Close_volatility,PowerShares DWA Momentum Portfolio_etf_Close_change
2018-01-14,54.01,54.01,54.01,0.0,0.0,54.54,54.54,54.54,0.0,0.0,54.01,54.01,54.01,0.0,0.0,54.54,54.54,54.54,0.0,0.0
2018-01-21,55.29,55.29,55.29,0.0,0.0,55.71,55.71,55.71,0.0,0.0,55.15,55.15,55.15,0.0,0.0,55.7,55.7,55.7,0.0,0.0
2018-01-28,54.67,54.67,54.67,0.0,0.0,54.73,54.73,54.73,0.0,0.0,53.99,53.99,53.99,0.0,0.0,54.0,54.0,54.0,0.0,0.0
2018-02-04,51.05,51.05,51.05,0.0,0.0,51.41,51.41,51.41,0.0,0.0,49.44,49.44,49.44,0.0,0.0,51.02,51.02,51.02,0.0,0.0
2018-02-11,53.48,53.48,53.48,0.0,0.0,53.99,53.99,53.99,0.0,0.0,53.48,53.48,53.48,0.0,0.0,53.73,53.73,53.73,0.0,0.0
2018-02-18,53.41,53.41,53.41,0.0,0.0,53.88,53.88,53.88,0.0,0.0,53.26,53.26,53.26,0.0,0.0,53.88,53.88,53.88,0.0,0.0
2018-02-25,51.78,51.78,51.78,0.0,0.0,52.7,52.7,52.7,0.0,0.0,51.59,51.59,51.59,0.0,0.0,52.62,52.62,52.62,0.0,0.0
2018-03-04,54.22,54.22,54.22,0.0,0.0,54.96,54.96,54.96,0.0,0.0,54.22,54.22,54.22,0.0,0.0,54.94,54.94,54.94,0.0,0.0
2018-03-11,54.37,54.37,54.37,0.0,0.0,54.64,54.64,54.64,0.0,0.0,54.35,54.35,54.35,0.0,0.0,54.5,54.5,54.5,0.0,0.0
2018-03-18,52.99,52.99,52.99,0.0,0.0,53.07,53.07,53.07,0.0,0.0,51.89,51.89,51.89,0.0,0.0,51.95,51.95,51.95,0.0,0.0
2018-03-25,52.09,52.09,52.09,0.0,0.0,53.03,53.03,53.03,0.0,0.0,52.06,52.06,52.06,0.0,0.0,52.67,52.67,52.67,0.0,0.0
2018-04-01,52.15,52.15,52.15,0.0,0.0,52.49,52.49,52.49,0.0,0.0,51.04,51.04,51.04,0.0,0.0,51.32,51.32,51.32,0.0,0.0
2018-04-08,53.38,53.38,53.38,0.0,0.0,53.38,53.38,53.38,0.0,0.0,52.55,52.55,52.55,0.0,0.0,52.75,52.75,52.75,0.0,0.0
2018-04-15,53.95,53.95,53.95,0.0,0.0,53.95,53.95,53.95,0.0,0.0,53.42,53.42,53.42,0.0,0.0,53.54,53.54,53.54,0.0,0.0
2018-04-22,53.3,53.3,53.3,0.0,0.0,53.3,53.3,53.3,0.0,0.0,52.87,52.87,52.87,0.0,0.0,53.11,53.11,53.11,0.0,0.0
2018-04-29,52.69,52.69,52.69,0.0,0.0,53.76,53.76,53.76,0.0,0.0,52.58,52.58,52.58,0.0,0.0,53.57,53.57,53.57,0.0,0.0
2018-05-06,55.15,55.15,55.15,0.0,0.0,55.47,55.47,55.47,0.0,0.0,55.15,55.15,55.15,0.0,0.0,55.31,55.31,55.31,0.0,0.0
2018-05-13,55.09,55.09,55.09,0.0,0.0,55.35,55.35,55.35,0.0,0.0,55.09,55.09,55.09,0.0,0.0,55.3,55.3,55.3,0.0,0.0
2018-05-20,55.56,55.56,55.56,0.0,0.0,55.73,55.73,55.73,0.0,0.0,55.46,55.46,55.46,0.0,0.0,55.52,55.52,55.52,0.0,0.0
2018-05-27,55.73,55.73,55.73,0.0,0.0,56.2,56.2,56.2,0.0,0.0,55.73,55.73,55.73,0.0,0.0,56.09,56.09,56.09,0.0,0.0
2018-06-03,56.77,56.77,56.77,0.0,0.0,57.08,57.08,57.08,0.0,0.0,56.64,56.64,56.64,0.0,0.0,57.08,57.08,57.08,0.0,0.0
2018-06-10,57.24,57.24,57.24,0.0,0.0,57.6,57.6,57.6,0.0,0.0,57.06,57.06,57.06,0.0,0.0,57.6,57.6,57.6,0.0,0.0
2018-06-17,57.3,57.3,57.3,0.0,0.0,57.3,57.3,57.3,0.0,0.0,56.72,56.72,56.72,0.0,0.0,56.72,56.72,56.72,0.0,0.0
2018-06-24,55.59,55.59,55.59,0.0,0.0,55.73,55.73,55.73,0.0,0.0,55.34,55.34,55.34,0.0,0.0,55.34,55.34,55.34,0.0,0.0
