Date,iShares Morningstar Small-Cap Value_Open_average,iShares Morningstar Small-Cap Value_Open_max,iShares Morningstar Small-Cap Value_Open_min,iShares Morningstar Small-Cap Value_Open_volatility,iShares Morningstar Small-Cap Value_Open_change,iShares Morningstar Small-Cap Value_High_average,iShares Morningstar Small-Cap Value_High_max,iShares Morningstar Small-Cap Value_High_min,iShares Morningstar Small-Cap Value_High_volatility,iShares Morningstar Small-Cap Value_High_change,iShares Morningstar Small-Cap Value_Low_average,iShares Morningstar Small-Cap Value_Low_max,iShares Morningstar Small-Cap Value_Low_min,iShares Morningstar Small-Cap Value_Low_volatility,iShares Morningstar Small-Cap Value_Low_change,iShares Morningstar Small-Cap Value_Close_average,iShares Morningstar Small-Cap Value_Close_max,iShares Morningstar Small-Cap Value_Close_min,iShares Morningstar Small-Cap Value_Close_volatility,iShares Morningstar Small-Cap Value_Close_change
2018-01-14,156.45,156.45,156.45,0.0,0.0,157.29,157.29,157.29,0.0,0.0,156.3,156.3,156.3,0.0,0.0,157.29,157.29,157.29,0.0,0.0
2018-01-21,156.64,156.64,156.64,0.0,0.0,156.64,156.64,156.64,0.0,0.0,155.76,155.76,155.76,0.0,0.0,155.76,155.76,155.76,0.0,0.0
2018-01-28,148.18,148.18,148.18,0.0,0.0,149.22,149.22,149.22,0.0,0.0,144.14,144.14,144.14,0.0,0.0,144.46,144.46,144.46,0.0,0.0
2018-02-04,142.44,142.44,142.44,0.0,0.0,143.55,143.55,143.55,0.0,0.0,141.22,141.22,141.22,0.0,0.0,143.55,143.55,143.55,0.0,0.0
2018-02-11,146.17,146.17,146.17,0.0,0.0,148.0,148.0,148.0,0.0,0.0,146.17,146.17,146.17,0.0,0.0,147.35,147.35,147.35,0.0,0.0
2018-02-18,147.06,147.06,147.06,0.0,0.0,148.13,148.13,148.13,0.0,0.0,147.06,147.06,147.06,0.0,0.0,148.09,148.09,148.09,0.0,0.0
2018-02-25,144.02,144.02,144.02,0.0,0.0,146.06,146.06,146.06,0.0,0.0,144.02,144.02,144.02,0.0,0.0,146.06,146.06,146.06,0.0,0.0
2018-03-04,149.23,149.23,149.23,0.0,0.0,149.5,149.5,149.5,0.0,0.0,148.77,148.77,148.77,0.0,0.0,149.04,149.04,149.04,0.0,0.0
2018-03-11,147.47,147.47,147.47,0.0,0.0,147.53,147.53,147.53,0.0,0.0,145.31,145.31,145.31,0.0,0.0,146.59,146.59,146.59,0.0,0.0
2018-03-18,141.68,141.68,141.68,0.0,0.0,142.25,142.25,142.25,0.0,0.0,140.34,140.34,140.34,0.0,0.0,142.25,142.25,142.25,0.0,0.0
