Date,Vanguard S&P Mid Cap 400 Growth_Open_average,Vanguard S&P Mid Cap 400 Growth_Open_max,Vanguard S&P Mid Cap 400 Growth_Open_min,Vanguard S&P Mid Cap 400 Growth_Open_volatility,Vanguard S&P Mid Cap 400 Growth_Open_change,Vanguard S&P Mid Cap 400 Growth_High_average,Vanguard S&P Mid Cap 400 Growth_High_max,Vanguard S&P Mid Cap 400 Growth_High_min,Vanguard S&P Mid Cap 400 Growth_High_volatility,Vanguard S&P Mid Cap 400 Growth_High_change,Vanguard S&P Mid Cap 400 Growth_Low_average,Vanguard S&P Mid Cap 400 Growth_Low_max,Vanguard S&P Mid Cap 400 Growth_Low_min,Vanguard S&P Mid Cap 400 Growth_Low_volatility,Vanguard S&P Mid Cap 400 Growth_Low_change,Vanguard S&P Mid Cap 400 Growth_Close_average,Vanguard S&P Mid Cap 400 Growth_Close_max,Vanguard S&P Mid Cap 400 Growth_Close_min,Vanguard S&P Mid Cap 400 Growth_Close_volatility,Vanguard S&P Mid Cap 400 Growth_Close_change
2018-01-14,140.67,140.67,140.67,0.0,0.0,141.13,141.13,141.13,0.0,0.0,140.39,140.39,140.39,0.0,0.0,141.13,141.13,141.13,0.0,0.0
2018-01-21,141.51,141.51,141.51,0.0,0.0,141.78,141.78,141.78,0.0,0.0,140.61,140.61,140.61,0.0,0.0,140.64,140.64,140.64,0.0,0.0
2018-01-28,135.46,135.46,135.46,0.0,0.0,136.39,136.39,136.39,0.0,0.0,131.56,131.56,131.56,0.0,0.0,131.56,131.56,131.56,0.0,0.0
2018-02-04,130.08,130.08,130.08,0.0,0.0,131.53,131.53,131.53,0.0,0.0,129.46,129.46,129.46,0.0,0.0,130.82,130.82,130.82,0.0,0.0
2018-02-11,135.15,135.15,135.15,0.0,0.0,136.18,136.18,136.18,0.0,0.0,135.15,135.15,135.15,0.0,0.0,135.65,135.65,135.65,0.0,0.0
2018-02-18,136.46,136.46,136.46,0.0,0.0,136.87,136.87,136.87,0.0,0.0,135.52,135.52,135.52,0.0,0.0,136.69,136.69,136.69,0.0,0.0
2018-02-25,133.46,133.46,133.46,0.0,0.0,135.61,135.61,135.61,0.0,0.0,133.3,133.3,133.3,0.0,0.0,135.23,135.23,135.23,0.0,0.0
2018-03-04,140.0,140.0,140.0,0.0,0.0,140.24,140.24,140.24,0.0,0.0,139.78,139.78,139.78,0.0,0.0,140.09,140.09,140.09,0.0,0.0
2018-03-11,138.47,138.47,138.47,0.0,0.0,138.47,138.47,138.47,0.0,0.0,136.69,136.69,136.69,0.0,0.0,137.79,137.79,137.79,0.0,0.0
2018-03-18,134.16,134.16,134.16,0.0,0.0,135.55,135.55,135.55,0.0,0.0,133.32,133.32,133.32,0.0,0.0,135.55,135.55,135.55,0.0,0.0
2018-03-25,134.44,134.44,134.44,0.0,0.0,134.55,134.55,134.55,0.0,0.0,130.65,130.65,130.65,0.0,0.0,131.7,131.7,131.7,0.0,0.0
2018-04-01,133.75,133.75,133.75,0.0,0.0,134.66,134.66,134.66,0.0,0.0,133.03,133.03,133.03,0.0,0.0,133.03,133.03,133.03,0.0,0.0
2018-04-08,135.59,135.59,135.59,0.0,0.0,136.41,136.41,136.41,0.0,0.0,135.33,135.33,135.33,0.0,0.0,136.19,136.19,136.19,0.0,0.0
