Date,FTK_Open_average,FTK_Open_max,FTK_Open_min,FTK_Open_volatility,FTK_Open_change,FTK_High_average,FTK_High_max,FTK_High_min,FTK_High_volatility,FTK_High_change,FTK_Low_average,FTK_Low_max,FTK_Low_min,FTK_Low_volatility,FTK_Low_change,FTK_Close_average,FTK_Close_max,FTK_Close_min,FTK_Close_volatility,FTK_Close_change,FTK_Volume_average,FTK_Volume_max,FTK_Volume_min,FTK_Volume_volatility,FTK_Volume_change
2018-01-14,5.8759999999999994,6.05,5.63,0.41999999999999993,-0.3899999999999997,5.992,6.23,5.76,0.47000000000000064,-0.41000000000000014,5.696,5.95,5.58,0.3700000000000001,-0.17999999999999972,5.774,6.06,5.61,0.4499999999999993,-0.13999999999999968,1083253,1529940,676891,853049,-820052
2018-01-21,6.048,6.29,5.73,0.5599999999999996,0.5599999999999996,6.248,6.5,5.96,0.54,0.33000000000000007,5.836,6.19,5.63,0.5600000000000005,0.020000000000000462,6.022,6.34,5.66,0.6799999999999997,-0.28000000000000025,1175540,1711696,718286,993410,299964
2018-01-28,5.4959999999999996,5.65,5.35,0.3000000000000007,-0.20999999999999996,5.632,5.7,5.56,0.14000000000000057,-0.13000000000000078,5.308,5.44,5.2,0.2400000000000002,-0.08999999999999986,5.45,5.61,5.2,0.41000000000000014,-0.41000000000000014,1070135,1274650,894416,380234,189665
2018-02-04,5.092,5.46,4.9,0.5599999999999996,-0.1899999999999995,5.234,5.54,4.92,0.6200000000000001,-0.46999999999999975,4.872,5.05,4.7,0.34999999999999964,-0.20000000000000018,5.04,5.46,4.83,0.6299999999999999,-0.46999999999999975,1284904,1663185,750788,912397,-705805
2018-02-11,5.2075,5.54,4.91,0.6299999999999999,0.6100000000000003,5.455,5.72,5.02,0.7000000000000002,0.7000000000000002,5.18,5.51,4.91,0.5999999999999996,0.5899999999999999,5.3825,5.58,5.0,0.5800000000000001,0.5300000000000002,932437,1552285,404857,1147428,511992
2018-02-18,5.864,6.15,5.52,0.6300000000000008,0.6300000000000008,6.112,6.35,5.82,0.5299999999999994,0.5299999999999994,5.712,6.06,5.21,0.8499999999999996,0.5599999999999996,5.97,6.32,5.59,0.7300000000000004,0.7300000000000004,1291324,1733920,846741,887179,-309612
2018-02-25,6.166,6.46,5.92,0.54,-0.2599999999999998,6.412,6.68,6.23,0.4499999999999993,-0.13999999999999968,6.0360000000000005,6.24,5.9,0.33999999999999986,-0.040000000000000036,6.186,6.42,5.95,0.46999999999999975,0.17999999999999972,870681,1001789,696674,305115,-280397
2018-03-04,6.514,6.63,6.45,0.17999999999999972,-0.009999999999999787,6.654,6.71,6.53,0.17999999999999972,-0.08999999999999986,6.392,6.46,6.35,0.11000000000000032,-0.08000000000000007,6.516,6.62,6.44,0.17999999999999972,-0.1299999999999999,984809,1430436,804618,625818,-127480
2018-03-11,6.256,6.5,6.07,0.4299999999999997,-0.4299999999999997,6.352,6.53,6.24,0.29000000000000004,-0.23000000000000043,6.05,6.11,5.95,0.16000000000000014,-0.1299999999999999,6.196,6.26,6.13,0.1299999999999999,0.1299999999999999,903744,1099682,690570,409112,-339717
2018-03-18,6.272,6.33,6.19,0.13999999999999968,0.0,6.45,6.5,6.39,0.11000000000000032,0.03000000000000025,6.156,6.21,6.1,0.11000000000000032,-0.05000000000000071,6.276,6.4,6.18,0.22000000000000064,0.22000000000000064,656927,1004061,390659,613402,362483
2018-03-25,6.165,6.4,6.06,0.34000000000000075,-0.33000000000000007,6.2425,6.42,6.09,0.33000000000000007,-0.33000000000000007,5.9675,6.09,5.73,0.35999999999999943,-0.35999999999999943,6.029999999999999,6.13,5.85,0.28000000000000025,-0.28000000000000025,938518,2017585,480552,1537033,1443311
2018-04-01,6.106,6.26,5.9,0.35999999999999943,0.35999999999999943,6.248,6.42,6.09,0.33000000000000007,0.16999999999999993,5.99,6.12,5.8,0.3200000000000003,0.2599999999999998,6.128,6.29,6.03,0.2599999999999998,0.040000000000000036,914187,1059559,633145,426414,-426414
