Date,iShares Core MSCI EAFEEtf_Open_average,iShares Core MSCI EAFEEtf_Open_max,iShares Core MSCI EAFEEtf_Open_min,iShares Core MSCI EAFEEtf_Open_volatility,iShares Core MSCI EAFEEtf_Open_change,iShares Core MSCI EAFEEtf_High_average,iShares Core MSCI EAFEEtf_High_max,iShares Core MSCI EAFEEtf_High_min,iShares Core MSCI EAFEEtf_High_volatility,iShares Core MSCI EAFEEtf_High_change,iShares Core MSCI EAFEEtf_Low_average,iShares Core MSCI EAFEEtf_Low_max,iShares Core MSCI EAFEEtf_Low_min,iShares Core MSCI EAFEEtf_Low_volatility,iShares Core MSCI EAFEEtf_Low_change,iShares Core MSCI EAFEEtf_Close_average,iShares Core MSCI EAFEEtf_Close_max,iShares Core MSCI EAFEEtf_Close_min,iShares Core MSCI EAFEEtf_Close_volatility,iShares Core MSCI EAFEEtf_Close_change
2018-01-14,69.67,69.67,69.67,0.0,0.0,69.69,69.69,69.69,0.0,0.0,69.44,69.44,69.44,0.0,0.0,69.67,69.67,69.67,0.0,0.0
2018-01-21,70.59,70.59,70.59,0.0,0.0,70.84,70.84,70.84,0.0,0.0,70.49,70.49,70.49,0.0,0.0,70.84,70.84,70.84,0.0,0.0
2018-01-28,69.06,69.06,69.06,0.0,0.0,69.09,69.09,69.09,0.0,0.0,68.23,68.23,68.23,0.0,0.0,68.31,68.31,68.31,0.0,0.0
2018-02-04,64.7,64.7,64.7,0.0,0.0,64.9,64.9,64.9,0.0,0.0,62.98,62.98,62.98,0.0,0.0,64.59,64.59,64.59,0.0,0.0
2018-02-11,67.02,67.02,67.02,0.0,0.0,67.53,67.53,67.53,0.0,0.0,67.02,67.02,67.02,0.0,0.0,67.21,67.21,67.21,0.0,0.0
2018-02-18,66.96,66.96,66.96,0.0,0.0,67.31,67.31,67.31,0.0,0.0,66.83,66.83,66.83,0.0,0.0,67.26,67.26,67.26,0.0,0.0
2018-02-25,64.93,64.93,64.93,0.0,0.0,65.48,65.48,65.48,0.0,0.0,64.64,64.64,64.64,0.0,0.0,65.42,65.42,65.42,0.0,0.0
2018-03-04,66.48,66.48,66.48,0.0,0.0,66.82,66.82,66.82,0.0,0.0,66.37,66.37,66.37,0.0,0.0,66.8,66.8,66.8,0.0,0.0
2018-03-11,66.47,66.47,66.47,0.0,0.0,66.69,66.69,66.69,0.0,0.0,66.4,66.4,66.4,0.0,0.0,66.48,66.48,66.48,0.0,0.0
2018-03-18,65.04,65.04,65.04,0.0,0.0,65.14,65.14,65.14,0.0,0.0,64.17,64.17,64.17,0.0,0.0,64.18,64.18,64.18,0.0,0.0
2018-03-25,65.65,65.65,65.65,0.0,0.0,66.06,66.06,66.06,0.0,0.0,65.48,65.48,65.48,0.0,0.0,65.88,65.88,65.88,0.0,0.0
2018-04-01,65.9,65.9,65.9,0.0,0.0,66.1,66.1,66.1,0.0,0.0,65.28,65.28,65.28,0.0,0.0,65.44,65.44,65.44,0.0,0.0
2018-04-08,66.98,66.98,66.98,0.0,0.0,66.99,66.99,66.99,0.0,0.0,66.61,66.61,66.61,0.0,0.0,66.78,66.78,66.78,0.0,0.0
2018-04-15,67.1,67.1,67.1,0.0,0.0,67.14,67.14,67.14,0.0,0.0,66.93,66.93,66.93,0.0,0.0,67.03,67.03,67.03,0.0,0.0
2018-04-22,66.88,66.88,66.88,0.0,0.0,66.99,66.99,66.99,0.0,0.0,66.67,66.67,66.67,0.0,0.0,66.93,66.93,66.93,0.0,0.0
2018-04-29,66.24,66.24,66.24,0.0,0.0,66.96,66.96,66.96,0.0,0.0,66.16,66.16,66.16,0.0,0.0,66.89,66.89,66.89,0.0,0.0
2018-05-06,67.71,67.71,67.71,0.0,0.0,67.81,67.81,67.81,0.0,0.0,67.63,67.63,67.63,0.0,0.0,67.71,67.71,67.71,0.0,0.0
2018-05-13,67.32,67.32,67.32,0.0,0.0,67.36,67.36,67.36,0.0,0.0,67.18,67.18,67.18,0.0,0.0,67.25,67.25,67.25,0.0,0.0
2018-05-20,66.27,66.27,66.27,0.0,0.0,66.38,66.38,66.38,0.0,0.0,66.12,66.12,66.12,0.0,0.0,66.28,66.28,66.28,0.0,0.0
2018-05-27,66.04,66.04,66.04,0.0,0.0,66.14,66.14,66.14,0.0,0.0,65.79,65.79,65.79,0.0,0.0,66.06,66.06,66.06,0.0,0.0
2018-06-03,66.48,66.48,66.48,0.0,0.0,66.64,66.64,66.64,0.0,0.0,66.27,66.27,66.27,0.0,0.0,66.56,66.56,66.56,0.0,0.0
2018-06-10,66.15,66.15,66.15,0.0,0.0,66.15,66.15,66.15,0.0,0.0,65.84,65.84,65.84,0.0,0.0,66.1,66.1,66.1,0.0,0.0
2018-06-17,64.24,64.24,64.24,0.0,0.0,64.43,64.43,64.43,0.0,0.0,63.98,63.98,63.98,0.0,0.0,64.15,64.15,64.15,0.0,0.0
2018-06-24,63.43,63.43,63.43,0.0,0.0,63.64,63.64,63.64,0.0,0.0,63.24,63.24,63.24,0.0,0.0,63.37,63.37,63.37,0.0,0.0
2018-07-01,63.56,63.56,63.56,0.0,0.0,63.91,63.91,63.91,0.0,0.0,63.47,63.47,63.47,0.0,0.0,63.81,63.81,63.81,0.0,0.0
2018-07-08,63.81,63.81,63.81,0.0,0.0,64.0,64.0,64.0,0.0,0.0,63.69,63.69,63.69,0.0,0.0,64.0,64.0,64.0,0.0,0.0
2018-07-15,63.93,63.93,63.93,0.0,0.0,64.34,64.34,64.34,0.0,0.0,63.93,63.93,63.93,0.0,0.0,64.27,64.27,64.27,0.0,0.0
2018-07-22,65.16,65.16,65.16,0.0,0.0,65.25,65.25,65.25,0.0,0.0,64.89,64.89,64.89,0.0,0.0,64.98,64.98,64.98,0.0,0.0
2018-07-29,64.03,64.03,64.03,0.0,0.0,64.32,64.32,64.32,0.0,0.0,63.97,63.97,63.97,0.0,0.0,64.29,64.29,64.29,0.0,0.0
2018-08-05,63.13,63.13,63.13,0.0,0.0,63.2,63.2,63.2,0.0,0.0,62.87,62.87,62.87,0.0,0.0,62.99,62.99,62.99,0.0,0.0
2018-08-12,62.24,62.24,62.24,0.0,0.0,62.76,62.76,62.76,0.0,0.0,62.15,62.15,62.15,0.0,0.0,62.59,62.59,62.59,0.0,0.0
2018-08-19,63.5,63.5,63.5,0.0,0.0,63.69,63.69,63.69,0.0,0.0,63.38,63.38,63.38,0.0,0.0,63.56,63.56,63.56,0.0,0.0
2018-08-26,63.82,63.82,63.82,0.0,0.0,63.99,63.99,63.99,0.0,0.0,63.44,63.44,63.44,0.0,0.0,63.71,63.71,63.71,0.0,0.0
2018-09-02,61.81,61.81,61.81,0.0,0.0,62.04,62.04,62.04,0.0,0.0,61.68,61.68,61.68,0.0,0.0,61.83,61.83,61.83,0.0,0.0
2018-09-09,63.14,63.14,63.14,0.0,0.0,63.26,63.26,63.26,0.0,0.0,62.93,62.93,62.93,0.0,0.0,63.05,63.05,63.05,0.0,0.0
2018-09-16,64.74,64.74,64.74,0.0,0.0,64.86,64.86,64.86,0.0,0.0,64.67,64.67,64.67,0.0,0.0,64.75,64.75,64.75,0.0,0.0
2018-09-23,64.06,64.06,64.06,0.0,0.0,64.37,64.37,64.37,0.0,0.0,63.98,63.98,63.98,0.0,0.0,64.08,64.08,64.08,0.0,0.0
2018-09-30,62.82,62.82,62.82,0.0,0.0,62.88,62.88,62.88,0.0,0.0,62.37,62.37,62.37,0.0,0.0,62.61,62.61,62.61,0.0,0.0
2018-10-07,60.41,60.41,60.41,0.0,0.0,60.44,60.44,60.44,0.0,0.0,59.51,59.51,59.51,0.0,0.0,60.09,60.09,60.09,0.0,0.0
2018-10-14,60.0,60.0,60.0,0.0,0.0,60.32,60.32,60.32,0.0,0.0,59.92,59.92,59.92,0.0,0.0,60.06,60.06,60.06,0.0,0.0
2018-10-21,57.4,57.4,57.4,0.0,0.0,58.09,58.09,58.09,0.0,0.0,56.94,56.94,56.94,0.0,0.0,57.7,57.7,57.7,0.0,0.0
2018-10-28,60.1,60.1,60.1,0.0,0.0,60.17,60.17,60.17,0.0,0.0,59.3,59.3,59.3,0.0,0.0,59.64,59.64,59.64,0.0,0.0
2018-11-04,59.67,59.67,59.67,0.0,0.0,59.74,59.74,59.74,0.0,0.0,59.36,59.36,59.36,0.0,0.0,59.67,59.67,59.67,0.0,0.0
