Date,Guggenheim Invest China Technology_Open_average,Guggenheim Invest China Technology_Open_max,Guggenheim Invest China Technology_Open_min,Guggenheim Invest China Technology_Open_volatility,Guggenheim Invest China Technology_Open_change,Guggenheim Invest China Technology_High_average,Guggenheim Invest China Technology_High_max,Guggenheim Invest China Technology_High_min,Guggenheim Invest China Technology_High_volatility,Guggenheim Invest China Technology_High_change,Guggenheim Invest China Technology_Low_average,Guggenheim Invest China Technology_Low_max,Guggenheim Invest China Technology_Low_min,Guggenheim Invest China Technology_Low_volatility,Guggenheim Invest China Technology_Low_change,Guggenheim Invest China Technology_Close_average,Guggenheim Invest China Technology_Close_max,Guggenheim Invest China Technology_Close_min,Guggenheim Invest China Technology_Close_volatility,Guggenheim Invest China Technology_Close_change
2018-01-14,65.72,65.72,65.72,0.0,0.0,65.83,65.83,65.83,0.0,0.0,65.26,65.26,65.26,0.0,0.0,65.83,65.83,65.83,0.0,0.0
2018-01-21,65.97,65.97,65.97,0.0,0.0,65.97,65.97,65.97,0.0,0.0,65.1,65.1,65.1,0.0,0.0,65.24,65.24,65.24,0.0,0.0
2018-01-28,61.16,61.16,61.16,0.0,0.0,62.37,62.37,62.37,0.0,0.0,59.63,59.63,59.63,0.0,0.0,59.66,59.66,59.66,0.0,0.0
2018-02-04,58.02,58.02,58.02,0.0,0.0,58.6,58.6,58.6,0.0,0.0,57.6,57.6,57.6,0.0,0.0,58.33,58.33,58.33,0.0,0.0
2018-02-11,63.05,63.05,63.05,0.0,0.0,63.33,63.33,63.33,0.0,0.0,62.59,62.59,62.59,0.0,0.0,62.78,62.78,62.78,0.0,0.0
2018-02-18,64.52,64.52,64.52,0.0,0.0,64.73,64.73,64.73,0.0,0.0,63.86,63.86,63.86,0.0,0.0,64.46,64.46,64.46,0.0,0.0
2018-02-25,61.79,61.79,61.79,0.0,0.0,62.66,62.66,62.66,0.0,0.0,61.44,61.44,61.44,0.0,0.0,62.58,62.58,62.58,0.0,0.0
2018-03-04,65.77,65.77,65.77,0.0,0.0,66.0,66.0,66.0,0.0,0.0,65.25,65.25,65.25,0.0,0.0,65.47,65.47,65.47,0.0,0.0
2018-03-11,65.27,65.27,65.27,0.0,0.0,65.44,65.44,65.44,0.0,0.0,64.14,64.14,64.14,0.0,0.0,64.71,64.71,64.71,0.0,0.0
2018-03-18,62.05,62.05,62.05,0.0,0.0,62.26,62.26,62.26,0.0,0.0,60.67,60.67,60.67,0.0,0.0,62.25,62.25,62.25,0.0,0.0
2018-03-25,59.33,59.33,59.33,0.0,0.0,59.52,59.52,59.52,0.0,0.0,57.69,57.69,57.69,0.0,0.0,58.39,58.39,58.39,0.0,0.0
2018-04-01,58.43,58.43,58.43,0.0,0.0,59.48,59.48,59.48,0.0,0.0,58.43,58.43,58.43,0.0,0.0,58.61,58.61,58.61,0.0,0.0
2018-04-08,58.45,58.45,58.45,0.0,0.0,59.0,59.0,59.0,0.0,0.0,58.18,58.18,58.18,0.0,0.0,58.86,58.86,58.86,0.0,0.0
2018-04-15,57.59,57.59,57.59,0.0,0.0,58.08,58.08,58.08,0.0,0.0,57.01,57.01,57.01,0.0,0.0,57.19,57.19,57.19,0.0,0.0
2018-04-22,57.42,57.42,57.42,0.0,0.0,57.81,57.81,57.81,0.0,0.0,57.12,57.12,57.12,0.0,0.0,57.2,57.2,57.2,0.0,0.0
