Date,RGA_Open_average,RGA_Open_max,RGA_Open_min,RGA_Open_volatility,RGA_Open_change,RGA_High_average,RGA_High_max,RGA_High_min,RGA_High_volatility,RGA_High_change,RGA_Low_average,RGA_Low_max,RGA_Low_min,RGA_Low_volatility,RGA_Low_change,RGA_Close_average,RGA_Close_max,RGA_Close_min,RGA_Close_volatility,RGA_Close_change,RGA_Volume_average,RGA_Volume_max,RGA_Volume_min,RGA_Volume_volatility,RGA_Volume_change
2018-01-14,163.328,164.61,162.44,2.170000000000016,-1.3900000000000148,164.046,164.86,163.41,1.450000000000017,0.25,162.004,162.35,161.53,0.8199999999999932,0.01999999999998181,162.648,163.32,161.86,1.4599999999999795,0.7699999999999818,312408,417064,225857,191207,-13587
2018-01-21,162.474,163.04,161.44,1.5999999999999943,-1.5999999999999943,163.342,163.96,162.87,1.0900000000000034,-0.8400000000000034,161.036,162.34,159.47,2.8700000000000045,-2.8700000000000045,161.6,162.5,159.72,2.780000000000001,-2.780000000000001,344092,675635,222891,452744,439457
2018-01-28,157.182,160.31,154.59,5.719999999999999,0.060000000000002274,159.894,161.75,157.03,4.719999999999999,-3.1699999999999875,154.704,156.51,151.69,4.819999999999993,-2.4499999999999886,156.934,159.99,152.76,7.230000000000018,-7.230000000000018,441565,615845,238452,377393,-123479
2018-02-04,150.394,153.53,147.38,6.150000000000006,-0.7199999999999989,152.34,154.27,149.37,4.900000000000006,-4.010000000000019,147.778,150.81,145.67,5.140000000000015,-1.789999999999992,149.606,153.12,146.45,6.670000000000016,-3.0500000000000114,502903,1011837,294430,717407,503713
2018-02-11,151.7225,155.02,148.25,6.77000000000001,5.509999999999991,154.0225,155.9,150.47,5.430000000000007,5.430000000000007,150.835,153.36,147.08,6.280000000000001,6.280000000000001,153.4775,155.51,150.23,5.280000000000001,5.280000000000001,310219,364620,203404,161216,-124125
2018-02-18,155.25,156.93,153.79,3.140000000000015,2.280000000000001,156.824,157.81,156.06,1.75,1.5600000000000023,154.024,155.69,152.85,2.8400000000000034,2.3899999999999864,155.342,156.59,153.08,3.509999999999991,1.200000000000017,241321,305790,189967,115823,42359
2018-02-25,153.44,156.79,150.02,6.769999999999982,-6.769999999999982,155.674,158.02,151.0,7.02000000000001,-1.7300000000000182,151.564,155.25,148.14,7.110000000000014,-5.22999999999999,153.432,155.58,150.87,4.710000000000008,-0.2300000000000182,360752,485119,244089,241030,-94150
2018-03-04,157.596,160.09,155.35,4.740000000000009,4.740000000000009,158.822,160.92,156.61,4.309999999999974,4.2099999999999795,156.368,158.68,154.16,4.52000000000001,4.52000000000001,158.212,160.46,156.29,4.170000000000016,2.9099999999999966,321805,422635,258947,163688,-137492
2018-03-11,159.788,160.36,158.91,1.450000000000017,0.22999999999998977,160.65,161.24,160.26,0.9800000000000182,0.46000000000000796,158.43,159.22,157.8,1.4199999999999875,-0.0800000000000125,159.552,160.17,158.24,1.9299999999999784,0.9200000000000159,488755,873975,237552,636423,636423
2018-03-18,158.63,161.19,155.48,5.710000000000008,-4.350000000000023,160.47,163.0,157.17,5.8300000000000125,-3.359999999999985,156.842,161.18,152.86,8.319999999999993,-4.389999999999986,158.192,161.55,153.06,8.490000000000009,-2.5700000000000216,444138,898340,214245,684095,428698
