Date,EXAS_stock_Open_average,EXAS_stock_Open_max,EXAS_stock_Open_min,EXAS_stock_Open_volatility,EXAS_stock_Open_change,EXAS_stock_High_average,EXAS_stock_High_max,EXAS_stock_High_min,EXAS_stock_High_volatility,EXAS_stock_High_change,EXAS_stock_Low_average,EXAS_stock_Low_max,EXAS_stock_Low_min,EXAS_stock_Low_volatility,EXAS_stock_Low_change,EXAS_stock_Close_average,EXAS_stock_Close_max,EXAS_stock_Close_min,EXAS_stock_Close_volatility,EXAS_stock_Close_change,EXAS_stock_Volume_average,EXAS_stock_Volume_max,EXAS_stock_Volume_min,EXAS_stock_Volume_volatility,EXAS_stock_Volume_change
2018-01-14,50.54,53.21,47.36,5.850000000000001,-3.9099999999999966,52.0625,54.15,49.84,4.309999999999995,-4.309999999999995,48.0675,52.72,45.02,7.699999999999996,-5.359999999999999,49.31,52.95,47.68,5.270000000000003,-5.130000000000003,6478316,14214863,2245333,11969530,2535655
2018-01-21,49.976,52.02,47.91,4.1100000000000065,2.0900000000000034,51.628,52.61,49.7,2.9099999999999966,1.2899999999999991,48.946,50.44,47.79,2.6499999999999986,1.7700000000000031,50.52,52.15,48.49,3.6599999999999966,1.5799999999999983,3430077,4730316,2748297,1982019,-479849
2018-01-28,49.222,49.55,48.66,0.8900000000000006,-0.30000000000000426,50.246,50.61,49.9,0.7100000000000009,-0.5,48.616,49.15,47.2,1.9499999999999957,-0.11999999999999744,49.53,49.84,49.0,0.8400000000000034,-0.8400000000000034,2447201,3514346,1951963,1562383,89957
2018-02-04,47.236,48.62,45.0,3.6199999999999974,-3.5600000000000023,48.910000000000004,50.5,47.0,3.5,-3.5,45.516,47.41,44.01,3.3999999999999986,-2.450000000000003,46.864000000000004,48.56,44.56,4.0,-1.230000000000004,2365713,2981317,1927342,1053975,259617
2018-02-11,47.897999999999996,49.4,46.62,2.780000000000001,2.3700000000000045,48.954,49.58,48.06,1.519999999999996,1.3799999999999955,47.206,48.25,45.71,2.539999999999999,2.539999999999999,48.436,49.14,47.53,1.6099999999999994,1.3299999999999983,1793705,2410352,1232595,1177757,-1177757
2018-02-18,46.08,48.47,40.9,7.57,-7.57,47.0925,49.74,42.65,7.090000000000003,-7.090000000000003,44.5,47.62,38.88,8.739999999999995,-8.739999999999995,45.5025,48.01,42.37,5.640000000000001,-5.640000000000001,4679198,11392679,1634074,9758605,9758605
2018-02-25,43.8,44.94,42.37,2.5700000000000003,0.9299999999999997,45.086,46.19,43.16,3.030000000000001,2.6300000000000026,42.948,44.24,41.85,2.3900000000000006,1.1499999999999986,44.144,45.42,42.56,2.8599999999999994,2.8599999999999994,2491548,4379024,1383466,2995558,-1254893
2018-03-04,48.05,51.02,45.0,6.020000000000003,6.020000000000003,49.858,53.38,47.73,5.650000000000006,5.650000000000006,47.52,50.54,44.32,6.219999999999999,6.219999999999999,49.368,52.15,46.84,5.309999999999995,5.309999999999995,2900775,4054319,1995267,2059052,2059052
2018-03-11,52.826,53.21,52.4,0.8100000000000023,-0.1700000000000017,53.245999999999995,53.65,52.9,0.75,-0.35999999999999943,51.736,52.5,51.11,1.3900000000000006,0.8299999999999983,52.632,53.19,52.09,1.0999999999999943,-0.6199999999999974,1779387,2427396,1303861,1123535,370320
2018-03-18,48.966,52.43,46.32,6.109999999999999,-6.109999999999999,49.524,52.43,46.99,5.439999999999998,-5.439999999999998,46.832,48.73,44.0,4.729999999999997,-3.3500000000000014,47.334,49.06,44.12,4.940000000000005,-4.340000000000003,2476088,3872264,1416392,2455872,-1329218
2018-03-25,43.0375,45.1,40.34,4.759999999999998,-4.619999999999997,43.792500000000004,45.85,41.29,4.560000000000002,-4.560000000000002,40.925,43.82,39.28,4.539999999999999,-4.539999999999999,41.74,45.1,39.82,5.280000000000001,-4.770000000000003,2676115,3038207,1906822,1131385,821534
2018-04-01,40.264,41.09,39.54,1.5500000000000043,0.2700000000000031,40.834,41.45,40.37,1.0800000000000054,-0.12000000000000455,39.008,40.36,37.36,3.0,-1.1600000000000037,39.642,40.67,37.84,2.8299999999999983,-0.9599999999999937,2274676,2722521,2025344,697177,-316386
2018-04-08,41.664,45.7,38.34,7.359999999999999,7.359999999999999,43.482,46.16,41.17,4.989999999999995,4.719999999999999,41.014,44.57,38.34,6.229999999999997,6.229999999999997,42.894,45.64,40.35,5.289999999999999,4.609999999999999,2411210,3864848,1758434,2106414,-348151
2018-04-15,46.394,47.59,45.16,2.430000000000007,1.4400000000000048,47.724000000000004,48.39,45.77,2.6199999999999974,2.0700000000000003,45.918,47.12,44.4,2.719999999999999,1.8800000000000026,46.936,47.8,44.88,2.9199999999999946,2.6400000000000006,1884471,2798346,1224711,1573635,-655083
