Date,iShares S&P Small-Cap 600 Value_Open_average,iShares S&P Small-Cap 600 Value_Open_max,iShares S&P Small-Cap 600 Value_Open_min,iShares S&P Small-Cap 600 Value_Open_volatility,iShares S&P Small-Cap 600 Value_Open_change,iShares S&P Small-Cap 600 Value_High_average,iShares S&P Small-Cap 600 Value_High_max,iShares S&P Small-Cap 600 Value_High_min,iShares S&P Small-Cap 600 Value_High_volatility,iShares S&P Small-Cap 600 Value_High_change,iShares S&P Small-Cap 600 Value_Low_average,iShares S&P Small-Cap 600 Value_Low_max,iShares S&P Small-Cap 600 Value_Low_min,iShares S&P Small-Cap 600 Value_Low_volatility,iShares S&P Small-Cap 600 Value_Low_change,iShares S&P Small-Cap 600 Value_Close_average,iShares S&P Small-Cap 600 Value_Close_max,iShares S&P Small-Cap 600 Value_Close_min,iShares S&P Small-Cap 600 Value_Close_volatility,iShares S&P Small-Cap 600 Value_Close_change
2018-01-14,158.93,158.93,158.93,0.0,0.0,159.66,159.66,159.66,0.0,0.0,158.44,158.44,158.44,0.0,0.0,159.66,159.66,159.66,0.0,0.0
2018-01-21,159.11,159.11,159.11,0.0,0.0,159.63,159.63,159.63,0.0,0.0,158.3,158.3,158.3,0.0,0.0,158.31,158.31,158.31,0.0,0.0
2018-01-28,151.6,151.6,151.6,0.0,0.0,152.66,152.66,152.66,0.0,0.0,147.02,147.02,147.02,0.0,0.0,147.15,147.15,147.15,0.0,0.0
2018-02-04,147.04,147.04,147.04,0.0,0.0,148.79,148.79,148.79,0.0,0.0,145.5,145.5,145.5,0.0,0.0,148.0,148.0,148.0,0.0,0.0
2018-02-11,152.33,152.33,152.33,0.0,0.0,154.26,154.26,154.26,0.0,0.0,152.24,152.24,152.24,0.0,0.0,153.17,153.17,153.17,0.0,0.0
2018-02-18,153.92,153.92,153.92,0.0,0.0,154.64,154.64,154.64,0.0,0.0,152.75,152.75,152.75,0.0,0.0,154.53,154.53,154.53,0.0,0.0
2018-02-25,149.97,149.97,149.97,0.0,0.0,152.64,152.64,152.64,0.0,0.0,149.97,149.97,149.97,0.0,0.0,152.0,152.0,152.0,0.0,0.0
2018-03-04,156.54,156.54,156.54,0.0,0.0,157.45,157.45,157.45,0.0,0.0,156.22,156.22,156.22,0.0,0.0,156.92,156.92,156.92,0.0,0.0
2018-03-11,155.9,155.9,155.9,0.0,0.0,155.9,155.9,155.9,0.0,0.0,153.2,153.2,153.2,0.0,0.0,154.85,154.85,154.85,0.0,0.0
2018-03-18,150.31,150.31,150.31,0.0,0.0,151.45,151.45,151.45,0.0,0.0,148.79,148.79,148.79,0.0,0.0,151.4,151.4,151.4,0.0,0.0
2018-03-25,150.28,150.28,150.28,0.0,0.0,150.96,150.96,150.96,0.0,0.0,146.3,146.3,146.3,0.0,0.0,147.36,147.36,147.36,0.0,0.0
2018-04-01,151.56,151.56,151.56,0.0,0.0,152.14,152.14,152.14,0.0,0.0,150.01,150.01,150.01,0.0,0.0,150.02,150.02,150.02,0.0,0.0
2018-04-08,154.3,154.3,154.3,0.0,0.0,155.72,155.72,155.72,0.0,0.0,153.8,153.8,153.8,0.0,0.0,155.26,155.26,155.26,0.0,0.0
2018-04-15,155.28,155.28,155.28,0.0,0.0,156.2,156.2,156.2,0.0,0.0,154.64,154.64,154.64,0.0,0.0,155.3,155.3,155.3,0.0,0.0
