Date,First Trust Taiwan AlphaDEX_Open_average,First Trust Taiwan AlphaDEX_Open_max,First Trust Taiwan AlphaDEX_Open_min,First Trust Taiwan AlphaDEX_Open_volatility,First Trust Taiwan AlphaDEX_Open_change,First Trust Taiwan AlphaDEX_High_average,First Trust Taiwan AlphaDEX_High_max,First Trust Taiwan AlphaDEX_High_min,First Trust Taiwan AlphaDEX_High_volatility,First Trust Taiwan AlphaDEX_High_change,First Trust Taiwan AlphaDEX_Low_average,First Trust Taiwan AlphaDEX_Low_max,First Trust Taiwan AlphaDEX_Low_min,First Trust Taiwan AlphaDEX_Low_volatility,First Trust Taiwan AlphaDEX_Low_change,First Trust Taiwan AlphaDEX_Close_average,First Trust Taiwan AlphaDEX_Close_max,First Trust Taiwan AlphaDEX_Close_min,First Trust Taiwan AlphaDEX_Close_volatility,First Trust Taiwan AlphaDEX_Close_change
2018-01-14,38.01,38.01,38.01,0.0,0.0,38.21,38.21,38.21,0.0,0.0,38.01,38.01,38.01,0.0,0.0,38.21,38.21,38.21,0.0,0.0
2018-01-21,38.25,38.25,38.25,0.0,0.0,38.25,38.25,38.25,0.0,0.0,38.25,38.25,38.25,0.0,0.0,38.25,38.25,38.25,0.0,0.0
2018-01-28,37.43,37.43,37.43,0.0,0.0,37.49,37.49,37.49,0.0,0.0,37.31,37.31,37.31,0.0,0.0,37.49,37.49,37.49,0.0,0.0
2018-02-04,35.15,35.15,35.15,0.0,0.0,35.15,35.15,35.15,0.0,0.0,35.15,35.15,35.15,0.0,0.0,35.15,35.15,35.15,0.0,0.0
2018-02-11,37.33,37.33,37.33,0.0,0.0,37.33,37.33,37.33,0.0,0.0,37.33,37.33,37.33,0.0,0.0,37.33,37.33,37.33,0.0,0.0
2018-02-18,37.86,37.86,37.86,0.0,0.0,37.86,37.86,37.86,0.0,0.0,37.86,37.86,37.86,0.0,0.0,37.86,37.86,37.86,0.0,0.0
2018-02-25,36.92,36.92,36.92,0.0,0.0,36.92,36.92,36.92,0.0,0.0,36.92,36.92,36.92,0.0,0.0,36.92,36.92,36.92,0.0,0.0
2018-03-04,37.81,37.81,37.81,0.0,0.0,37.81,37.81,37.81,0.0,0.0,37.73,37.73,37.73,0.0,0.0,37.73,37.73,37.73,0.0,0.0
2018-03-11,38.69,38.69,38.69,0.0,0.0,38.69,38.69,38.69,0.0,0.0,38.69,38.69,38.69,0.0,0.0,38.69,38.69,38.69,0.0,0.0
2018-03-18,38.05,38.05,38.05,0.0,0.0,38.05,38.05,38.05,0.0,0.0,38.05,38.05,38.05,0.0,0.0,38.05,38.05,38.05,0.0,0.0
