Date,VanEck Vectors High Income MLP_Open_average,VanEck Vectors High Income MLP_Open_max,VanEck Vectors High Income MLP_Open_min,VanEck Vectors High Income MLP_Open_volatility,VanEck Vectors High Income MLP_Open_change,VanEck Vectors High Income MLP_High_average,VanEck Vectors High Income MLP_High_max,VanEck Vectors High Income MLP_High_min,VanEck Vectors High Income MLP_High_volatility,VanEck Vectors High Income MLP_High_change,VanEck Vectors High Income MLP_Low_average,VanEck Vectors High Income MLP_Low_max,VanEck Vectors High Income MLP_Low_min,VanEck Vectors High Income MLP_Low_volatility,VanEck Vectors High Income MLP_Low_change,VanEck Vectors High Income MLP_Close_average,VanEck Vectors High Income MLP_Close_max,VanEck Vectors High Income MLP_Close_min,VanEck Vectors High Income MLP_Close_volatility,VanEck Vectors High Income MLP_Close_change
2018-01-14,24.81,24.81,24.81,0.0,0.0,25.29,25.29,25.29,0.0,0.0,24.81,24.81,24.81,0.0,0.0,25.29,25.29,25.29,0.0,0.0
2018-01-21,25.32,25.32,25.32,0.0,0.0,25.32,25.32,25.32,0.0,0.0,24.89,24.89,24.89,0.0,0.0,24.89,24.89,24.89,0.0,0.0
2018-01-28,24.11,24.11,24.11,0.0,0.0,24.14,24.14,24.14,0.0,0.0,23.55,23.55,23.55,0.0,0.0,23.74,23.74,23.74,0.0,0.0
2018-02-04,22.3,22.3,22.3,0.0,0.0,23.06,23.06,23.06,0.0,0.0,22.3,22.3,22.3,0.0,0.0,23.06,23.06,23.06,0.0,0.0
2018-02-11,23.19,23.19,23.19,0.0,0.0,23.38,23.38,23.38,0.0,0.0,22.98,22.98,22.98,0.0,0.0,22.99,22.99,22.99,0.0,0.0
2018-02-18,22.91,22.91,22.91,0.0,0.0,23.01,23.01,23.01,0.0,0.0,22.91,22.91,22.91,0.0,0.0,22.95,22.95,22.95,0.0,0.0
2018-02-25,22.47,22.47,22.47,0.0,0.0,22.65,22.65,22.65,0.0,0.0,22.37,22.37,22.37,0.0,0.0,22.4,22.4,22.4,0.0,0.0
2018-03-04,22.5,22.5,22.5,0.0,0.0,22.58,22.58,22.58,0.0,0.0,22.46,22.46,22.46,0.0,0.0,22.56,22.56,22.56,0.0,0.0
2018-03-11,22.2,22.2,22.2,0.0,0.0,22.2,22.2,22.2,0.0,0.0,21.53,21.53,21.53,0.0,0.0,21.58,21.58,21.58,0.0,0.0
2018-03-18,21.35,21.35,21.35,0.0,0.0,21.35,21.35,21.35,0.0,0.0,20.89,20.89,20.89,0.0,0.0,21.11,21.11,21.11,0.0,0.0
