Date,SPDR BlackstoneGSO Senior Loan_etf_Open_average,SPDR BlackstoneGSO Senior Loan_etf_Open_max,SPDR BlackstoneGSO Senior Loan_etf_Open_min,SPDR BlackstoneGSO Senior Loan_etf_Open_volatility,SPDR BlackstoneGSO Senior Loan_etf_Open_change,SPDR BlackstoneGSO Senior Loan_etf_High_average,SPDR BlackstoneGSO Senior Loan_etf_High_max,SPDR BlackstoneGSO Senior Loan_etf_High_min,SPDR BlackstoneGSO Senior Loan_etf_High_volatility,SPDR BlackstoneGSO Senior Loan_etf_High_change,SPDR BlackstoneGSO Senior Loan_etf_Low_average,SPDR BlackstoneGSO Senior Loan_etf_Low_max,SPDR BlackstoneGSO Senior Loan_etf_Low_min,SPDR BlackstoneGSO Senior Loan_etf_Low_volatility,SPDR BlackstoneGSO Senior Loan_etf_Low_change,SPDR BlackstoneGSO Senior Loan_etf_Close_average,SPDR BlackstoneGSO Senior Loan_etf_Close_max,SPDR BlackstoneGSO Senior Loan_etf_Close_min,SPDR BlackstoneGSO Senior Loan_etf_Close_volatility,SPDR BlackstoneGSO Senior Loan_etf_Close_change
2018-01-14,47.44,47.44,47.44,0.0,0.0,47.49,47.49,47.49,0.0,0.0,47.41,47.41,47.41,0.0,0.0,47.48,47.48,47.48,0.0,0.0
2018-01-21,47.55,47.55,47.55,0.0,0.0,47.59,47.59,47.59,0.0,0.0,47.55,47.55,47.55,0.0,0.0,47.59,47.59,47.59,0.0,0.0
2018-01-28,47.5,47.5,47.5,0.0,0.0,47.5,47.5,47.5,0.0,0.0,47.42,47.42,47.42,0.0,0.0,47.48,47.48,47.48,0.0,0.0
2018-02-04,47.45,47.45,47.45,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.32,47.32,47.32,0.0,0.0,47.42,47.42,47.42,0.0,0.0
2018-02-11,47.39,47.39,47.39,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.39,47.39,47.39,0.0,0.0,47.45,47.45,47.45,0.0,0.0
2018-02-18,47.43,47.43,47.43,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.42,47.42,47.42,0.0,0.0,47.45,47.45,47.45,0.0,0.0
2018-02-25,47.31,47.31,47.31,0.0,0.0,47.31,47.31,47.31,0.0,0.0,47.24,47.24,47.24,0.0,0.0,47.31,47.31,47.31,0.0,0.0
2018-03-04,47.28,47.28,47.28,0.0,0.0,47.32,47.32,47.32,0.0,0.0,47.27,47.27,47.27,0.0,0.0,47.29,47.29,47.29,0.0,0.0
2018-03-11,47.38,47.38,47.38,0.0,0.0,47.44,47.44,47.44,0.0,0.0,47.36,47.36,47.36,0.0,0.0,47.4,47.4,47.4,0.0,0.0
2018-03-18,47.41,47.41,47.41,0.0,0.0,47.41,47.41,47.41,0.0,0.0,47.35,47.35,47.35,0.0,0.0,47.37,47.37,47.37,0.0,0.0
2018-03-25,47.41,47.41,47.41,0.0,0.0,47.45,47.45,47.45,0.0,0.0,47.36,47.36,47.36,0.0,0.0,47.42,47.42,47.42,0.0,0.0
2018-04-01,47.29,47.29,47.29,0.0,0.0,47.3,47.3,47.3,0.0,0.0,47.25,47.25,47.25,0.0,0.0,47.28,47.28,47.28,0.0,0.0
