Date,UBS AG FI Enhanced Large Cap Growth_Open_average,UBS AG FI Enhanced Large Cap Growth_Open_max,UBS AG FI Enhanced Large Cap Growth_Open_min,UBS AG FI Enhanced Large Cap Growth_Open_volatility,UBS AG FI Enhanced Large Cap Growth_Open_change,UBS AG FI Enhanced Large Cap Growth_High_average,UBS AG FI Enhanced Large Cap Growth_High_max,UBS AG FI Enhanced Large Cap Growth_High_min,UBS AG FI Enhanced Large Cap Growth_High_volatility,UBS AG FI Enhanced Large Cap Growth_High_change,UBS AG FI Enhanced Large Cap Growth_Low_average,UBS AG FI Enhanced Large Cap Growth_Low_max,UBS AG FI Enhanced Large Cap Growth_Low_min,UBS AG FI Enhanced Large Cap Growth_Low_volatility,UBS AG FI Enhanced Large Cap Growth_Low_change,UBS AG FI Enhanced Large Cap Growth_Close_average,UBS AG FI Enhanced Large Cap Growth_Close_max,UBS AG FI Enhanced Large Cap Growth_Close_min,UBS AG FI Enhanced Large Cap Growth_Close_volatility,UBS AG FI Enhanced Large Cap Growth_Close_change
2018-01-14,251.9,251.9,251.9,0.0,0.0,253.03,253.03,253.03,0.0,0.0,251.79,251.79,251.79,0.0,0.0,252.45,252.45,252.45,0.0,0.0
2018-01-21,258.35,258.35,258.35,0.0,0.0,263.64,263.64,263.64,0.0,0.0,258.35,258.35,258.35,0.0,0.0,263.63,263.63,263.63,0.0,0.0
2018-01-28,251.0,251.0,251.0,0.0,0.0,252.54,252.54,252.54,0.0,0.0,247.36,247.36,247.36,0.0,0.0,247.36,247.36,247.36,0.0,0.0
2018-02-04,220.64,220.64,220.64,0.0,0.0,224.43,224.43,224.43,0.0,0.0,205.09,205.09,205.09,0.0,0.0,224.43,224.43,224.43,0.0,0.0
2018-02-11,244.38,244.38,244.38,0.0,0.0,247.75,247.75,247.75,0.0,0.0,243.54,243.54,243.54,0.0,0.0,243.85,243.85,243.85,0.0,0.0
2018-02-18,243.73,243.73,243.73,0.0,0.0,248.49,248.49,248.49,0.0,0.0,243.5,243.5,243.5,0.0,0.0,247.66,247.66,247.66,0.0,0.0
2018-02-25,231.77,231.77,231.77,0.0,0.0,239.68,239.68,239.68,0.0,0.0,231.77,231.77,231.77,0.0,0.0,239.68,239.68,239.68,0.0,0.0
2018-03-04,252.02,252.02,252.02,0.0,0.0,258.16,258.16,258.16,0.0,0.0,252.02,252.02,252.02,0.0,0.0,257.77,257.77,257.77,0.0,0.0
2018-03-11,253.63,253.63,253.63,0.0,0.0,255.34,255.34,255.34,0.0,0.0,253.34,253.34,253.34,0.0,0.0,253.39,253.39,253.39,0.0,0.0
2018-03-18,231.88,231.88,231.88,0.0,0.0,234.65,234.65,234.65,0.0,0.0,223.18,223.18,223.18,0.0,0.0,223.46,223.46,223.46,0.0,0.0
2018-03-25,228.9,228.9,228.9,0.0,0.0,232.44,232.44,232.44,0.0,0.0,228.9,228.9,228.9,0.0,0.0,231.6,231.6,231.6,0.0,0.0
2018-04-01,231.03,231.03,231.03,0.0,0.0,231.03,231.03,231.03,0.0,0.0,222.34,222.34,222.34,0.0,0.0,224.18,224.18,224.18,0.0,0.0
2018-04-08,237.43,237.43,237.43,0.0,0.0,237.43,237.43,237.43,0.0,0.0,230.77,230.77,230.77,0.0,0.0,230.86,230.86,230.86,0.0,0.0
2018-04-15,238.09,238.09,238.09,0.0,0.0,238.64,238.64,238.64,0.0,0.0,234.88,234.88,234.88,0.0,0.0,234.88,234.88,234.88,0.0,0.0
2018-04-22,232.93,232.93,232.93,0.0,0.0,234.13,234.13,234.13,0.0,0.0,232.78,232.78,232.78,0.0,0.0,233.88,233.88,233.88,0.0,0.0
2018-04-29,236.37,236.37,236.37,0.0,0.0,238.62,238.62,238.62,0.0,0.0,236.37,236.37,236.37,0.0,0.0,238.62,238.62,238.62,0.0,0.0
2018-05-06,250.2,250.2,250.2,0.0,0.0,250.2,250.2,250.2,0.0,0.0,248.55,248.55,248.55,0.0,0.0,249.33,249.33,249.33,0.0,0.0
2018-05-13,248.46,248.46,248.46,0.0,0.0,248.96,248.96,248.96,0.0,0.0,248.3,248.3,248.3,0.0,0.0,248.96,248.96,248.96,0.0,0.0
2018-05-20,252.1,252.1,252.1,0.0,0.0,252.45,252.45,252.45,0.0,0.0,251.28,251.28,251.28,0.0,0.0,252.44,252.44,252.44,0.0,0.0
2018-05-27,256.13,256.13,256.13,0.0,0.0,256.95,256.95,256.95,0.0,0.0,255.68,255.68,255.68,0.0,0.0,255.86,255.86,255.86,0.0,0.0
2018-06-03,260.57,260.57,260.57,0.0,0.0,264.85,264.85,264.85,0.0,0.0,260.57,260.57,260.57,0.0,0.0,264.77,264.77,264.77,0.0,0.0
2018-06-10,268.31,268.31,268.31,0.0,0.0,269.36,269.36,269.36,0.0,0.0,266.42,266.42,266.42,0.0,0.0,269.36,269.36,269.36,0.0,0.0
2018-06-17,264.61,264.61,264.61,0.0,0.0,265.3,265.3,265.3,0.0,0.0,263.9,263.9,263.9,0.0,0.0,265.3,265.3,265.3,0.0,0.0
2018-06-24,257.9,257.9,257.9,0.0,0.0,257.9,257.9,257.9,0.0,0.0,256.22,256.22,256.22,0.0,0.0,256.22,256.22,256.22,0.0,0.0
2018-07-01,257.85,257.85,257.85,0.0,0.0,264.4,264.4,264.4,0.0,0.0,257.85,257.85,257.85,0.0,0.0,264.4,264.4,264.4,0.0,0.0
2018-07-08,275.48,275.48,275.48,0.0,0.0,276.26,276.26,276.26,0.0,0.0,275.48,275.48,275.48,0.0,0.0,275.6,275.6,275.6,0.0,0.0
2018-07-15,276.58,276.58,276.58,0.0,0.0,278.32,278.32,278.32,0.0,0.0,275.93,275.93,275.93,0.0,0.0,277.43,277.43,277.43,0.0,0.0
2018-07-22,282.15,282.15,282.15,0.0,0.0,282.15,282.15,282.15,0.0,0.0,270.98,270.98,270.98,0.0,0.0,271.29,271.29,271.29,0.0,0.0
2018-07-29,274.64,274.64,274.64,0.0,0.0,277.65,277.65,277.65,0.0,0.0,274.64,274.64,274.64,0.0,0.0,277.65,277.65,277.65,0.0,0.0
2018-08-05,279.71,279.71,279.71,0.0,0.0,279.92,279.92,279.92,0.0,0.0,277.58,277.58,277.58,0.0,0.0,277.61,277.61,277.61,0.0,0.0
2018-08-12,276.51,276.51,276.51,0.0,0.0,281.04,281.04,281.04,0.0,0.0,276.51,276.51,276.51,0.0,0.0,280.93,280.93,280.93,0.0,0.0
2018-08-19,281.48,281.48,281.48,0.0,0.0,287.11,287.11,287.11,0.0,0.0,281.48,281.48,281.48,0.0,0.0,287.11,287.11,287.11,0.0,0.0
2018-08-26,288.89,288.89,288.89,0.0,0.0,297.2,297.2,297.2,0.0,0.0,288.89,288.89,288.89,0.0,0.0,295.97,295.97,295.97,0.0,0.0
2018-09-02,287.2,287.2,287.2,0.0,0.0,288.76,288.76,288.76,0.0,0.0,287.2,287.2,287.2,0.0,0.0,287.47,287.47,287.47,0.0,0.0
2018-09-09,297.03,297.03,297.03,0.0,0.0,297.04,297.04,297.04,0.0,0.0,295.41,295.41,295.41,0.0,0.0,296.32,296.32,296.32,0.0,0.0
2018-09-16,297.52,297.52,297.52,0.0,0.0,297.52,297.52,297.52,0.0,0.0,295.72,295.72,295.72,0.0,0.0,295.72,295.72,295.72,0.0,0.0
2018-09-23,300.0,300.0,300.0,0.0,0.0,300.54,300.54,300.54,0.0,0.0,298.65,298.65,298.65,0.0,0.0,298.65,298.65,298.65,0.0,0.0
2018-09-30,290.03,290.03,290.03,0.0,0.0,291.49,291.49,291.49,0.0,0.0,279.91,279.91,279.91,0.0,0.0,284.57,284.57,284.57,0.0,0.0
2018-10-07,260.75,260.75,260.75,0.0,0.0,262.43,262.43,262.43,0.0,0.0,254.02,254.02,254.02,0.0,0.0,260.84,260.84,260.84,0.0,0.0
2018-10-14,265.58,265.58,265.58,0.0,0.0,265.58,265.58,265.58,0.0,0.0,256.13,256.13,256.13,0.0,0.0,258.07,258.07,258.07,0.0,0.0
2018-10-21,237.34,237.34,237.34,0.0,0.0,240.55,240.55,240.55,0.0,0.0,228.9,228.9,228.9,0.0,0.0,234.78,234.78,234.78,0.0,0.0
2018-10-28,250.9,250.9,250.9,0.0,0.0,251.91,251.91,251.91,0.0,0.0,245.94,245.94,245.94,0.0,0.0,247.3,247.3,247.3,0.0,0.0
2018-11-04,257.74,257.74,257.74,0.0,0.0,257.74,257.74,257.74,0.0,0.0,253.74,253.74,253.74,0.0,0.0,255.56,255.56,255.56,0.0,0.0
2018-11-11,238.49,238.49,238.49,0.0,0.0,242.33,242.33,242.33,0.0,0.0,238.49,238.49,238.49,0.0,0.0,241.68,241.68,241.68,0.0,0.0
2018-11-18,221.36,221.36,221.36,0.0,0.0,221.36,221.36,221.36,0.0,0.0,220.1,220.1,220.1,0.0,0.0,220.25,220.25,220.25,0.0,0.0
2018-11-25,244.14,244.14,244.14,0.0,0.0,248.72,248.72,248.72,0.0,0.0,244.14,244.14,244.14,0.0,0.0,248.5,248.5,248.5,0.0,0.0
