Date,US Global Jets_Open_average,US Global Jets_Open_max,US Global Jets_Open_min,US Global Jets_Open_volatility,US Global Jets_Open_change,US Global Jets_High_average,US Global Jets_High_max,US Global Jets_High_min,US Global Jets_High_volatility,US Global Jets_High_change,US Global Jets_Low_average,US Global Jets_Low_max,US Global Jets_Low_min,US Global Jets_Low_volatility,US Global Jets_Low_change,US Global Jets_Close_average,US Global Jets_Close_max,US Global Jets_Close_min,US Global Jets_Close_volatility,US Global Jets_Close_change
2018-01-14,34.17,34.17,34.17,0.0,0.0,34.24,34.24,34.24,0.0,0.0,33.99,33.99,33.99,0.0,0.0,34.24,34.24,34.24,0.0,0.0
2018-01-21,32.45,32.45,32.45,0.0,0.0,32.66,32.66,32.66,0.0,0.0,32.45,32.45,32.45,0.0,0.0,32.53,32.53,32.53,0.0,0.0
2018-01-28,31.72,31.72,31.72,0.0,0.0,32.01,32.01,32.01,0.0,0.0,30.77,30.77,30.77,0.0,0.0,30.93,30.93,30.93,0.0,0.0
2018-02-04,30.91,30.91,30.91,0.0,0.0,31.46,31.46,31.46,0.0,0.0,30.7,30.7,30.7,0.0,0.0,31.14,31.14,31.14,0.0,0.0
2018-02-11,32.01,32.01,32.01,0.0,0.0,32.25,32.25,32.25,0.0,0.0,31.93,31.93,31.93,0.0,0.0,32.0,32.0,32.0,0.0,0.0
2018-02-18,32.49,32.49,32.49,0.0,0.0,33.14,33.14,33.14,0.0,0.0,32.49,32.49,32.49,0.0,0.0,33.14,33.14,33.14,0.0,0.0
2018-02-25,31.9,31.9,31.9,0.0,0.0,32.36,32.36,32.36,0.0,0.0,31.78,31.78,31.78,0.0,0.0,32.22,32.22,32.22,0.0,0.0
2018-03-04,33.51,33.51,33.51,0.0,0.0,33.65,33.65,33.65,0.0,0.0,33.32,33.32,33.32,0.0,0.0,33.55,33.55,33.55,0.0,0.0
2018-03-11,33.55,33.55,33.55,0.0,0.0,33.62,33.62,33.62,0.0,0.0,33.06,33.06,33.06,0.0,0.0,33.4,33.4,33.4,0.0,0.0
2018-03-18,32.12,32.12,32.12,0.0,0.0,32.19,32.19,32.19,0.0,0.0,31.73,31.73,31.73,0.0,0.0,32.19,32.19,32.19,0.0,0.0
2018-03-25,32.01,32.01,32.01,0.0,0.0,32.01,32.01,32.01,0.0,0.0,30.78,30.78,30.78,0.0,0.0,31.02,31.02,31.02,0.0,0.0
2018-04-01,31.91,31.91,31.91,0.0,0.0,31.91,31.91,31.91,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.5,31.5,31.5,0.0,0.0
2018-04-08,31.25,31.25,31.25,0.0,0.0,31.5,31.5,31.5,0.0,0.0,31.17,31.17,31.17,0.0,0.0,31.37,31.37,31.37,0.0,0.0
2018-04-15,31.82,31.82,31.82,0.0,0.0,31.99,31.99,31.99,0.0,0.0,31.58,31.58,31.58,0.0,0.0,31.73,31.73,31.73,0.0,0.0
2018-04-22,30.92,30.92,30.92,0.0,0.0,30.92,30.92,30.92,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.5,30.5,30.5,0.0,0.0
2018-04-29,30.46,30.46,30.46,0.0,0.0,30.46,30.46,30.46,0.0,0.0,30.11,30.11,30.11,0.0,0.0,30.16,30.16,30.16,0.0,0.0
2018-05-06,30.39,30.39,30.39,0.0,0.0,30.49,30.49,30.49,0.0,0.0,30.11,30.11,30.11,0.0,0.0,30.12,30.12,30.12,0.0,0.0
2018-05-13,30.67,30.67,30.67,0.0,0.0,30.99,30.99,30.99,0.0,0.0,30.5,30.5,30.5,0.0,0.0,30.84,30.84,30.84,0.0,0.0
2018-05-20,30.58,30.58,30.58,0.0,0.0,31.36,31.36,31.36,0.0,0.0,30.58,30.58,30.58,0.0,0.0,31.19,31.19,31.19,0.0,0.0
2018-05-27,30.51,30.51,30.51,0.0,0.0,30.93,30.93,30.93,0.0,0.0,30.51,30.51,30.51,0.0,0.0,30.81,30.81,30.81,0.0,0.0
