Date,Deutsche X-trackers Emerging Markets Bond Interest_Open_average,Deutsche X-trackers Emerging Markets Bond Interest_Open_max,Deutsche X-trackers Emerging Markets Bond Interest_Open_min,Deutsche X-trackers Emerging Markets Bond Interest_Open_volatility,Deutsche X-trackers Emerging Markets Bond Interest_Open_change,Deutsche X-trackers Emerging Markets Bond Interest_High_average,Deutsche X-trackers Emerging Markets Bond Interest_High_max,Deutsche X-trackers Emerging Markets Bond Interest_High_min,Deutsche X-trackers Emerging Markets Bond Interest_High_volatility,Deutsche X-trackers Emerging Markets Bond Interest_High_change,Deutsche X-trackers Emerging Markets Bond Interest_Low_average,Deutsche X-trackers Emerging Markets Bond Interest_Low_max,Deutsche X-trackers Emerging Markets Bond Interest_Low_min,Deutsche X-trackers Emerging Markets Bond Interest_Low_volatility,Deutsche X-trackers Emerging Markets Bond Interest_Low_change,Deutsche X-trackers Emerging Markets Bond Interest_Close_average,Deutsche X-trackers Emerging Markets Bond Interest_Close_max,Deutsche X-trackers Emerging Markets Bond Interest_Close_min,Deutsche X-trackers Emerging Markets Bond Interest_Close_volatility,Deutsche X-trackers Emerging Markets Bond Interest_Close_change
2018-01-14,25.56,25.56,25.56,0.0,0.0,25.56,25.56,25.56,0.0,0.0,25.49,25.49,25.49,0.0,0.0,25.49,25.49,25.49,0.0,0.0
2018-01-21,25.5,25.5,25.5,0.0,0.0,25.5,25.5,25.5,0.0,0.0,25.49,25.49,25.49,0.0,0.0,25.49,25.49,25.49,0.0,0.0
2018-01-28,25.54,25.54,25.54,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.54,25.54,25.54,0.0,0.0,25.54,25.54,25.54,0.0,0.0
2018-02-04,25.38,25.38,25.38,0.0,0.0,25.38,25.38,25.38,0.0,0.0,25.16,25.16,25.16,0.0,0.0,25.16,25.16,25.16,0.0,0.0
2018-02-11,25.11,25.11,25.11,0.0,0.0,25.11,25.11,25.11,0.0,0.0,25.11,25.11,25.11,0.0,0.0,25.11,25.11,25.11,0.0,0.0
2018-02-18,25.39,25.39,25.39,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.39,25.39,25.39,0.0,0.0,25.39,25.39,25.39,0.0,0.0
2018-02-25,24.98,24.98,24.98,0.0,0.0,25.04,25.04,25.04,0.0,0.0,24.98,24.98,24.98,0.0,0.0,25.04,25.04,25.04,0.0,0.0
2018-03-04,25.01,25.01,25.01,0.0,0.0,25.07,25.07,25.07,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.02,25.02,25.02,0.0,0.0
2018-03-11,25.11,25.11,25.11,0.0,0.0,25.11,25.11,25.11,0.0,0.0,25.11,25.11,25.11,0.0,0.0,25.11,25.11,25.11,0.0,0.0
2018-03-18,25.04,25.04,25.04,0.0,0.0,25.1,25.1,25.1,0.0,0.0,25.0,25.0,25.0,0.0,0.0,25.01,25.01,25.01,0.0,0.0
2018-03-25,25.09,25.09,25.09,0.0,0.0,25.09,25.09,25.09,0.0,0.0,25.09,25.09,25.09,0.0,0.0,25.09,25.09,25.09,0.0,0.0
2018-04-01,25.18,25.18,25.18,0.0,0.0,25.18,25.18,25.18,0.0,0.0,25.13,25.13,25.13,0.0,0.0,25.13,25.13,25.13,0.0,0.0
2018-04-08,24.87,24.87,24.87,0.0,0.0,24.87,24.87,24.87,0.0,0.0,24.87,24.87,24.87,0.0,0.0,24.87,24.87,24.87,0.0,0.0
2018-04-15,25.05,25.05,25.05,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.05,25.05,25.05,0.0,0.0,25.05,25.05,25.05,0.0,0.0
2018-04-22,24.94,24.94,24.94,0.0,0.0,24.94,24.94,24.94,0.0,0.0,24.94,24.94,24.94,0.0,0.0,24.94,24.94,24.94,0.0,0.0
2018-04-29,24.67,24.67,24.67,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.67,24.67,24.67,0.0,0.0,24.67,24.67,24.67,0.0,0.0
2018-05-06,24.5,24.5,24.5,0.0,0.0,24.5,24.5,24.5,0.0,0.0,24.5,24.5,24.5,0.0,0.0,24.5,24.5,24.5,0.0,0.0
2018-05-13,24.72,24.72,24.72,0.0,0.0,24.74,24.74,24.74,0.0,0.0,24.65,24.65,24.65,0.0,0.0,24.74,24.74,24.74,0.0,0.0
2018-05-20,24.69,24.69,24.69,0.0,0.0,24.69,24.69,24.69,0.0,0.0,24.69,24.69,24.69,0.0,0.0,24.69,24.69,24.69,0.0,0.0
2018-05-27,24.43,24.43,24.43,0.0,0.0,24.43,24.43,24.43,0.0,0.0,24.15,24.15,24.15,0.0,0.0,24.2,24.2,24.2,0.0,0.0
2018-06-03,24.44,24.44,24.44,0.0,0.0,24.44,24.44,24.44,0.0,0.0,24.44,24.44,24.44,0.0,0.0,24.44,24.44,24.44,0.0,0.0
2018-06-10,24.08,24.08,24.08,0.0,0.0,24.14,24.14,24.14,0.0,0.0,24.08,24.08,24.08,0.0,0.0,24.13,24.13,24.13,0.0,0.0
2018-06-17,23.93,23.93,23.93,0.0,0.0,23.93,23.93,23.93,0.0,0.0,23.93,23.93,23.93,0.0,0.0,23.93,23.93,23.93,0.0,0.0
2018-06-24,24.16,24.16,24.16,0.0,0.0,24.16,24.16,24.16,0.0,0.0,24.16,24.16,24.16,0.0,0.0,24.16,24.16,24.16,0.0,0.0
2018-07-01,23.95,23.95,23.95,0.0,0.0,23.95,23.95,23.95,0.0,0.0,23.95,23.95,23.95,0.0,0.0,23.95,23.95,23.95,0.0,0.0
