Date,iShares Edge MSCI Min Vol_Open_average,iShares Edge MSCI Min Vol_Open_max,iShares Edge MSCI Min Vol_Open_min,iShares Edge MSCI Min Vol_Open_volatility,iShares Edge MSCI Min Vol_Open_change,iShares Edge MSCI Min Vol_High_average,iShares Edge MSCI Min Vol_High_max,iShares Edge MSCI Min Vol_High_min,iShares Edge MSCI Min Vol_High_volatility,iShares Edge MSCI Min Vol_High_change,iShares Edge MSCI Min Vol_Low_average,iShares Edge MSCI Min Vol_Low_max,iShares Edge MSCI Min Vol_Low_min,iShares Edge MSCI Min Vol_Low_volatility,iShares Edge MSCI Min Vol_Low_change,iShares Edge MSCI Min Vol_Close_average,iShares Edge MSCI Min Vol_Close_max,iShares Edge MSCI Min Vol_Close_min,iShares Edge MSCI Min Vol_Close_volatility,iShares Edge MSCI Min Vol_Close_change
2018-01-14,54.17,54.17,54.17,0.0,0.0,54.46,54.46,54.46,0.0,0.0,54.14,54.14,54.14,0.0,0.0,54.46,54.46,54.46,0.0,0.0
2018-01-21,55.3,55.3,55.3,0.0,0.0,55.45,55.45,55.45,0.0,0.0,54.86,54.86,54.86,0.0,0.0,54.89,54.89,54.89,0.0,0.0
2018-01-28,53.15,53.15,53.15,0.0,0.0,53.54,53.54,53.54,0.0,0.0,51.15,51.15,51.15,0.0,0.0,51.63,51.63,51.63,0.0,0.0
2018-02-04,51.3,51.3,51.3,0.0,0.0,51.83,51.83,51.83,0.0,0.0,51.0,51.0,51.0,0.0,0.0,51.57,51.57,51.57,0.0,0.0
2018-02-11,52.78,52.78,52.78,0.0,0.0,53.28,53.28,53.28,0.0,0.0,52.58,52.58,52.58,0.0,0.0,52.98,52.98,52.98,0.0,0.0
2018-02-18,53.05,53.05,53.05,0.0,0.0,53.39,53.39,53.39,0.0,0.0,52.99,52.99,52.99,0.0,0.0,53.34,53.34,53.34,0.0,0.0
2018-02-25,51.81,51.81,51.81,0.0,0.0,52.7,52.7,52.7,0.0,0.0,51.66,51.66,51.66,0.0,0.0,52.57,52.57,52.57,0.0,0.0
2018-03-04,53.68,53.68,53.68,0.0,0.0,53.74,53.74,53.74,0.0,0.0,53.38,53.38,53.38,0.0,0.0,53.45,53.45,53.45,0.0,0.0
2018-03-11,53.18,53.18,53.18,0.0,0.0,53.18,53.18,53.18,0.0,0.0,52.52,52.52,52.52,0.0,0.0,52.84,52.84,52.84,0.0,0.0
2018-03-18,51.24,51.24,51.24,0.0,0.0,51.73,51.73,51.73,0.0,0.0,50.95,50.95,50.95,0.0,0.0,51.71,51.71,51.71,0.0,0.0
