Date,SPDR S&P 600 Small Cap ValueEtf_Open_average,SPDR S&P 600 Small Cap ValueEtf_Open_max,SPDR S&P 600 Small Cap ValueEtf_Open_min,SPDR S&P 600 Small Cap ValueEtf_Open_volatility,SPDR S&P 600 Small Cap ValueEtf_Open_change,SPDR S&P 600 Small Cap ValueEtf_High_average,SPDR S&P 600 Small Cap ValueEtf_High_max,SPDR S&P 600 Small Cap ValueEtf_High_min,SPDR S&P 600 Small Cap ValueEtf_High_volatility,SPDR S&P 600 Small Cap ValueEtf_High_change,SPDR S&P 600 Small Cap ValueEtf_Low_average,SPDR S&P 600 Small Cap ValueEtf_Low_max,SPDR S&P 600 Small Cap ValueEtf_Low_min,SPDR S&P 600 Small Cap ValueEtf_Low_volatility,SPDR S&P 600 Small Cap ValueEtf_Low_change,SPDR S&P 600 Small Cap ValueEtf_Close_average,SPDR S&P 600 Small Cap ValueEtf_Close_max,SPDR S&P 600 Small Cap ValueEtf_Close_min,SPDR S&P 600 Small Cap ValueEtf_Close_volatility,SPDR S&P 600 Small Cap ValueEtf_Close_change
2018-01-14,64.3,64.3,64.3,0.0,0.0,65.25,65.25,65.25,0.0,0.0,64.3,64.3,64.3,0.0,0.0,65.25,65.25,65.25,0.0,0.0
2018-01-21,65.2,65.2,65.2,0.0,0.0,65.2,65.2,65.2,0.0,0.0,64.81,64.81,64.81,0.0,0.0,65.16,65.16,65.16,0.0,0.0
2018-01-28,63.44,63.44,63.44,0.0,0.0,63.58,63.58,63.58,0.0,0.0,62.41,62.41,62.41,0.0,0.0,62.55,62.55,62.55,0.0,0.0
2018-02-04,60.16,60.16,60.16,0.0,0.0,60.55,60.55,60.55,0.0,0.0,58.57,58.57,58.57,0.0,0.0,60.03,60.03,60.03,0.0,0.0
2018-02-11,62.16,62.16,62.16,0.0,0.0,63.09,63.09,63.09,0.0,0.0,62.16,62.16,62.16,0.0,0.0,62.72,62.72,62.72,0.0,0.0
2018-02-18,62.44,62.44,62.44,0.0,0.0,62.8,62.8,62.8,0.0,0.0,62.22,62.22,62.22,0.0,0.0,62.79,62.79,62.79,0.0,0.0
2018-02-25,60.42,60.42,60.42,0.0,0.0,61.71,61.71,61.71,0.0,0.0,60.22,60.22,60.22,0.0,0.0,61.59,61.59,61.59,0.0,0.0
2018-03-04,63.44,63.44,63.44,0.0,0.0,63.94,63.94,63.94,0.0,0.0,63.1,63.1,63.1,0.0,0.0,63.93,63.93,63.93,0.0,0.0
2018-03-11,63.34,63.34,63.34,0.0,0.0,64.08,64.08,64.08,0.0,0.0,63.31,63.31,63.31,0.0,0.0,63.98,63.98,63.98,0.0,0.0
2018-03-18,62.12,62.12,62.12,0.0,0.0,62.27,62.27,62.27,0.0,0.0,60.7,60.7,60.7,0.0,0.0,60.71,60.71,60.71,0.0,0.0
2018-03-25,61.47,61.47,61.47,0.0,0.0,62.1,62.1,62.1,0.0,0.0,61.47,61.47,61.47,0.0,0.0,61.74,61.74,61.74,0.0,0.0
2018-04-01,62.26,62.26,62.26,0.0,0.0,62.7,62.7,62.7,0.0,0.0,61.12,61.12,61.12,0.0,0.0,61.58,61.58,61.58,0.0,0.0
2018-04-08,63.37,63.37,63.37,0.0,0.0,63.37,63.37,63.37,0.0,0.0,62.76,62.76,62.76,0.0,0.0,62.92,62.92,62.92,0.0,0.0
2018-04-15,63.74,63.74,63.74,0.0,0.0,63.91,63.91,63.91,0.0,0.0,63.3,63.3,63.3,0.0,0.0,63.49,63.49,63.49,0.0,0.0
2018-04-22,63.41,63.41,63.41,0.0,0.0,63.57,63.57,63.57,0.0,0.0,63.0,63.0,63.0,0.0,0.0,63.41,63.41,63.41,0.0,0.0
2018-04-29,62.41,62.41,62.41,0.0,0.0,63.74,63.74,63.74,0.0,0.0,62.34,62.34,62.34,0.0,0.0,63.41,63.41,63.41,0.0,0.0
2018-05-06,65.22,65.22,65.22,0.0,0.0,65.44,65.44,65.44,0.0,0.0,65.0,65.0,65.0,0.0,0.0,65.17,65.17,65.17,0.0,0.0
2018-05-13,66.47,66.47,66.47,0.0,0.0,66.49,66.49,66.49,0.0,0.0,66.23,66.23,66.23,0.0,0.0,66.39,66.39,66.39,0.0,0.0
2018-05-20,66.28,66.28,66.28,0.0,0.0,66.5,66.5,66.5,0.0,0.0,66.21,66.21,66.21,0.0,0.0,66.41,66.41,66.41,0.0,0.0
2018-05-27,66.89,66.89,66.89,0.0,0.0,67.13,67.13,67.13,0.0,0.0,66.78,66.78,66.78,0.0,0.0,66.89,66.89,66.89,0.0,0.0
2018-06-03,68.47,68.47,68.47,0.0,0.0,68.63,68.63,68.63,0.0,0.0,68.34,68.34,68.34,0.0,0.0,68.56,68.56,68.56,0.0,0.0
2018-06-10,67.96,67.96,67.96,0.0,0.0,68.26,68.26,68.26,0.0,0.0,67.67,67.67,67.67,0.0,0.0,68.22,68.22,68.22,0.0,0.0
2018-06-17,68.78,68.78,68.78,0.0,0.0,68.9,68.9,68.9,0.0,0.0,68.24,68.24,68.24,0.0,0.0,68.58,68.58,68.58,0.0,0.0
2018-06-24,67.31,67.31,67.31,0.0,0.0,67.46,67.46,67.46,0.0,0.0,66.76,66.76,66.76,0.0,0.0,66.79,66.79,66.79,0.0,0.0
2018-07-01,68.35,68.35,68.35,0.0,0.0,68.99,68.99,68.99,0.0,0.0,68.26,68.26,68.26,0.0,0.0,68.83,68.83,68.83,0.0,0.0
2018-07-08,68.3,68.3,68.3,0.0,0.0,68.79,68.79,68.79,0.0,0.0,68.27,68.27,68.27,0.0,0.0,68.32,68.32,68.32,0.0,0.0
2018-07-15,68.86,68.86,68.86,0.0,0.0,69.1,69.1,69.1,0.0,0.0,68.68,68.68,68.68,0.0,0.0,68.76,68.76,68.76,0.0,0.0
2018-07-22,69.12,69.12,69.12,0.0,0.0,69.12,69.12,69.12,0.0,0.0,67.8,67.8,67.8,0.0,0.0,67.88,67.88,67.88,0.0,0.0
2018-07-29,68.75,68.75,68.75,0.0,0.0,68.99,68.99,68.99,0.0,0.0,68.01,68.01,68.01,0.0,0.0,68.38,68.38,68.38,0.0,0.0
2018-08-05,68.65,68.65,68.65,0.0,0.0,69.21,69.21,69.21,0.0,0.0,68.52,68.52,68.52,0.0,0.0,68.86,68.86,68.86,0.0,0.0
2018-08-12,68.96,68.96,68.96,0.0,0.0,69.63,69.63,69.63,0.0,0.0,68.95,68.95,68.95,0.0,0.0,69.59,69.59,69.59,0.0,0.0
2018-08-19,70.7,70.7,70.7,0.0,0.0,70.75,70.75,70.75,0.0,0.0,70.43,70.43,70.43,0.0,0.0,70.67,70.67,70.67,0.0,0.0
2018-08-26,70.17,70.17,70.17,0.0,0.0,70.73,70.73,70.73,0.0,0.0,70.1,70.1,70.1,0.0,0.0,70.68,70.68,70.68,0.0,0.0
2018-09-02,69.6,69.6,69.6,0.0,0.0,69.83,69.83,69.83,0.0,0.0,69.25,69.25,69.25,0.0,0.0,69.53,69.53,69.53,0.0,0.0
