Date,AON_Open_average,AON_Open_max,AON_Open_min,AON_Open_volatility,AON_Open_change,AON_High_average,AON_High_max,AON_High_min,AON_High_volatility,AON_High_change,AON_Low_average,AON_Low_max,AON_Low_min,AON_Low_volatility,AON_Low_change,AON_Close_average,AON_Close_max,AON_Close_min,AON_Close_volatility,AON_Close_change,AON_Volume_average,AON_Volume_max,AON_Volume_min,AON_Volume_volatility,AON_Volume_change
2018-01-14,135.69,136.39,135.15,1.2399999999999807,-1.1899999999999977,136.362,136.98,135.83,1.1499999999999773,-0.5800000000000125,134.346,134.88,133.41,1.4699999999999989,0.4800000000000182,135.456,136.5,134.54,1.960000000000008,1.4399999999999977,1175278,1301523,1040415,261108,-128621
2018-01-21,139.112,142.95,135.87,7.079999999999984,7.079999999999984,140.928,143.48,138.68,4.799999999999983,4.560000000000002,138.254,141.38,135.67,5.710000000000008,5.710000000000008,140.322,143.47,137.42,6.050000000000011,4.920000000000016,1159796,1209522,1063309,146213,94627
2018-01-28,142.462,143.54,141.39,2.1500000000000057,1.3700000000000045,144.778,147.98,142.97,5.009999999999991,1.6100000000000136,140.648,141.09,139.77,1.3199999999999932,-1.3199999999999932,142.466,144.48,140.34,4.139999999999986,-1.4099999999999966,1896336,2567809,1374383,1193426,1104351
2018-02-04,138.762,140.28,137.5,2.780000000000001,1.1200000000000045,140.784,142.63,138.8,3.829999999999984,0.6099999999999852,136.77,139.35,134.79,4.560000000000002,2.799999999999983,138.87800000000001,140.55,136.05,4.5,0.040000000000020464,2237346,3317906,1422535,1895371,-1895371
2018-02-11,139.66,140.46,138.79,1.670000000000016,1.3300000000000125,140.865,141.65,139.89,1.7600000000000193,1.7600000000000193,138.945,139.87,137.92,1.950000000000017,1.8700000000000045,140.2375,140.89,139.23,1.6599999999999966,1.6300000000000239,1335281,1611245,1196625,414620,44331
2018-02-18,140.578,142.38,139.72,2.6599999999999966,2.1500000000000057,141.882,143.32,140.01,3.3100000000000023,1.3400000000000034,139.368,141.52,137.7,3.8200000000000216,1.6300000000000239,140.88400000000001,143.3,139.12,4.180000000000007,2.5800000000000125,1120202,1482850,941118,541732,55832
2018-02-25,140.136,143.01,136.82,6.189999999999998,-5.150000000000006,142.078,144.31,138.68,5.6299999999999955,-2.3400000000000034,138.526,142.42,136.3,6.119999999999976,-5.789999999999992,140.02,142.46,137.45,5.010000000000019,-1.0800000000000125,1260426,1811011,819714,991297,-224094
2018-03-04,143.722,148.2,140.99,7.2099999999999795,6.780000000000001,145.30599999999998,148.44,142.26,6.180000000000007,6.180000000000007,142.548,145.58,139.19,6.390000000000015,6.390000000000015,144.646,148.03,142.17,5.860000000000014,4.140000000000015,1039824,1489346,791647,697699,12402
2018-03-11,145.882,146.72,144.84,1.8799999999999955,-0.7199999999999989,146.562,147.09,145.59,1.5,-0.17000000000001592,144.526,145.67,143.83,1.839999999999975,-1.2699999999999818,145.224,145.97,144.22,1.75,-0.960000000000008,1187222,1640512,791789,848723,-84304
2018-03-18,142.29,145.63,138.22,7.409999999999997,-7.409999999999997,143.446,146.12,140.72,5.400000000000006,-5.02000000000001,140.502,144.93,137.13,7.800000000000011,-7.010000000000019,141.194,145.28,137.17,8.110000000000014,-4.47999999999999,1245038,1562181,862642,699539,72296
