Date,Teucrium Soybean_Open_average,Teucrium Soybean_Open_max,Teucrium Soybean_Open_min,Teucrium Soybean_Open_volatility,Teucrium Soybean_Open_change,Teucrium Soybean_High_average,Teucrium Soybean_High_max,Teucrium Soybean_High_min,Teucrium Soybean_High_volatility,Teucrium Soybean_High_change,Teucrium Soybean_Low_average,Teucrium Soybean_Low_max,Teucrium Soybean_Low_min,Teucrium Soybean_Low_volatility,Teucrium Soybean_Low_change,Teucrium Soybean_Close_average,Teucrium Soybean_Close_max,Teucrium Soybean_Close_min,Teucrium Soybean_Close_volatility,Teucrium Soybean_Close_change
2018-01-14,18.29,18.29,18.29,0.0,0.0,18.31,18.31,18.31,0.0,0.0,18.23,18.23,18.23,0.0,0.0,18.25,18.25,18.25,0.0,0.0
2018-01-21,18.43,18.43,18.43,0.0,0.0,18.49,18.49,18.49,0.0,0.0,18.35,18.35,18.35,0.0,0.0,18.39,18.39,18.39,0.0,0.0
2018-01-28,18.1,18.1,18.1,0.0,0.0,18.13,18.13,18.13,0.0,0.0,17.96,17.96,17.96,0.0,0.0,17.98,17.98,17.98,0.0,0.0
2018-02-04,18.4,18.4,18.4,0.0,0.0,18.54,18.54,18.54,0.0,0.0,18.36,18.36,18.36,0.0,0.0,18.49,18.49,18.49,0.0,0.0
2018-02-11,18.88,18.88,18.88,0.0,0.0,18.88,18.88,18.88,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.81,18.81,18.81,0.0,0.0
2018-02-18,19.12,19.12,19.12,0.0,0.0,19.39,19.39,19.39,0.0,0.0,18.97,18.97,18.97,0.0,0.0,18.97,18.97,18.97,0.0,0.0
2018-02-25,19.35,19.35,19.35,0.0,0.0,19.46,19.46,19.46,0.0,0.0,19.28,19.28,19.28,0.0,0.0,19.45,19.45,19.45,0.0,0.0
2018-03-04,18.88,18.88,18.88,0.0,0.0,19.0,19.0,19.0,0.0,0.0,18.87,18.87,18.87,0.0,0.0,19.0,19.0,19.0,0.0,0.0
2018-03-11,18.91,18.91,18.91,0.0,0.0,18.91,18.91,18.91,0.0,0.0,18.69,18.69,18.69,0.0,0.0,18.69,18.69,18.69,0.0,0.0
2018-03-18,18.82,18.82,18.82,0.0,0.0,18.88,18.88,18.88,0.0,0.0,18.74,18.74,18.74,0.0,0.0,18.78,18.78,18.78,0.0,0.0
2018-03-25,19.1,19.1,19.1,0.0,0.0,19.14,19.14,19.14,0.0,0.0,18.88,18.88,18.88,0.0,0.0,18.94,18.94,18.94,0.0,0.0
2018-04-01,19.02,19.02,19.02,0.0,0.0,19.04,19.04,19.04,0.0,0.0,18.93,18.93,18.93,0.0,0.0,19.01,19.01,19.01,0.0,0.0
2018-04-08,19.11,19.11,19.11,0.0,0.0,19.11,19.11,19.11,0.0,0.0,18.91,18.91,18.91,0.0,0.0,18.94,18.94,18.94,0.0,0.0
2018-04-15,18.81,18.81,18.81,0.0,0.0,18.81,18.81,18.81,0.0,0.0,18.68,18.68,18.68,0.0,0.0,18.73,18.73,18.73,0.0,0.0
2018-04-22,19.0,19.0,19.0,0.0,0.0,19.08,19.08,19.08,0.0,0.0,18.89,18.89,18.89,0.0,0.0,18.9,18.9,18.9,0.0,0.0
2018-04-29,18.75,18.75,18.75,0.0,0.0,18.75,18.75,18.75,0.0,0.0,18.43,18.43,18.43,0.0,0.0,18.44,18.44,18.44,0.0,0.0
2018-05-06,18.44,18.44,18.44,0.0,0.0,18.55,18.55,18.55,0.0,0.0,18.42,18.42,18.42,0.0,0.0,18.42,18.42,18.42,0.0,0.0
2018-05-13,18.53,18.53,18.53,0.0,0.0,18.59,18.59,18.59,0.0,0.0,18.4,18.4,18.4,0.0,0.0,18.58,18.58,18.58,0.0,0.0
2018-05-20,18.88,18.88,18.88,0.0,0.0,18.95,18.95,18.95,0.0,0.0,18.87,18.87,18.87,0.0,0.0,18.87,18.87,18.87,0.0,0.0
2018-05-27,18.62,18.62,18.62,0.0,0.0,18.62,18.62,18.62,0.0,0.0,18.42,18.42,18.42,0.0,0.0,18.44,18.44,18.44,0.0,0.0
2018-06-03,17.96,17.96,17.96,0.0,0.0,17.96,17.96,17.96,0.0,0.0,17.72,17.72,17.72,0.0,0.0,17.72,17.72,17.72,0.0,0.0
2018-06-10,17.07,17.07,17.07,0.0,0.0,17.09,17.09,17.09,0.0,0.0,16.95,16.95,16.95,0.0,0.0,17.04,17.04,17.04,0.0,0.0
2018-06-17,17.04,17.04,17.04,0.0,0.0,17.04,17.04,17.04,0.0,0.0,16.43,16.43,16.43,0.0,0.0,16.49,16.49,16.49,0.0,0.0
2018-06-24,16.24,16.24,16.24,0.0,0.0,16.28,16.28,16.28,0.0,0.0,16.03,16.03,16.03,0.0,0.0,16.1,16.1,16.1,0.0,0.0
2018-07-01,16.36,16.36,16.36,0.0,0.0,16.36,16.36,16.36,0.0,0.0,16.02,16.02,16.02,0.0,0.0,16.14,16.14,16.14,0.0,0.0
2018-07-08,15.52,15.52,15.52,0.0,0.0,15.84,15.84,15.84,0.0,0.0,15.51,15.51,15.51,0.0,0.0,15.74,15.74,15.74,0.0,0.0
2018-07-15,16.02,16.02,16.02,0.0,0.0,16.09,16.09,16.09,0.0,0.0,15.96,15.96,15.96,0.0,0.0,15.97,15.97,15.97,0.0,0.0
2018-07-22,16.45,16.45,16.45,0.0,0.0,16.52,16.52,16.52,0.0,0.0,16.41,16.41,16.41,0.0,0.0,16.49,16.49,16.49,0.0,0.0
2018-07-29,16.54,16.54,16.54,0.0,0.0,16.55,16.55,16.55,0.0,0.0,16.43,16.43,16.43,0.0,0.0,16.52,16.52,16.52,0.0,0.0
2018-08-05,15.9,15.9,15.9,0.0,0.0,16.14,16.14,16.14,0.0,0.0,15.82,15.82,15.82,0.0,0.0,16.13,16.13,16.13,0.0,0.0
2018-08-12,16.68,16.68,16.68,0.0,0.0,16.72,16.72,16.72,0.0,0.0,16.52,16.52,16.52,0.0,0.0,16.55,16.55,16.55,0.0,0.0
2018-08-19,15.74,15.74,15.74,0.0,0.0,15.86,15.86,15.86,0.0,0.0,15.6,15.6,15.6,0.0,0.0,15.82,15.82,15.82,0.0,0.0
2018-08-26,15.53,15.53,15.53,0.0,0.0,15.79,15.79,15.79,0.0,0.0,15.52,15.52,15.52,0.0,0.0,15.79,15.79,15.79,0.0,0.0
2018-09-02,15.81,15.81,15.81,0.0,0.0,15.84,15.84,15.84,0.0,0.0,15.75,15.75,15.75,0.0,0.0,15.8,15.8,15.8,0.0,0.0
2018-09-09,15.45,15.45,15.45,0.0,0.0,15.52,15.52,15.52,0.0,0.0,15.45,15.45,15.45,0.0,0.0,15.46,15.46,15.46,0.0,0.0
2018-09-16,15.79,15.79,15.79,0.0,0.0,15.81,15.81,15.81,0.0,0.0,15.71,15.71,15.71,0.0,0.0,15.75,15.75,15.75,0.0,0.0
2018-09-23,15.82,15.82,15.82,0.0,0.0,16.15,16.15,16.15,0.0,0.0,15.82,15.82,15.82,0.0,0.0,16.02,16.02,16.02,0.0,0.0
2018-09-30,16.23,16.23,16.23,0.0,0.0,16.28,16.28,16.28,0.0,0.0,16.16,16.16,16.16,0.0,0.0,16.22,16.22,16.22,0.0,0.0
2018-10-07,16.22,16.22,16.22,0.0,0.0,16.64,16.64,16.64,0.0,0.0,16.22,16.22,16.22,0.0,0.0,16.61,16.61,16.61,0.0,0.0
2018-10-14,16.0,16.0,16.0,0.0,0.0,16.09,16.09,16.09,0.0,0.0,15.98,15.98,15.98,0.0,0.0,15.99,15.99,15.99,0.0,0.0
2018-10-21,15.8,15.8,15.8,0.0,0.0,15.84,15.84,15.84,0.0,0.0,15.65,15.65,15.65,0.0,0.0,15.69,15.69,15.69,0.0,0.0
2018-10-28,16.21,16.21,16.21,0.0,0.0,16.35,16.35,16.35,0.0,0.0,16.21,16.21,16.21,0.0,0.0,16.23,16.23,16.23,0.0,0.0
2018-11-04,16.23,16.23,16.23,0.0,0.0,16.25,16.25,16.25,0.0,0.0,16.15,16.15,16.15,0.0,0.0,16.19,16.19,16.19,0.0,0.0
2018-11-11,16.31,16.31,16.31,0.0,0.0,16.31,16.31,16.31,0.0,0.0,16.0,16.0,16.0,0.0,0.0,16.02,16.02,16.02,0.0,0.0
2018-11-18,16.09,16.09,16.09,0.0,0.0,16.09,16.09,16.09,0.0,0.0,15.76,15.76,15.76,0.0,0.0,15.85,15.85,15.85,0.0,0.0
2018-11-25,16.73,16.73,16.73,0.0,0.0,16.73,16.73,16.73,0.0,0.0,16.55,16.55,16.55,0.0,0.0,16.57,16.57,16.57,0.0,0.0
