Date,Direxion Daily Russia Bull 3X Shares_Open_average,Direxion Daily Russia Bull 3X Shares_Open_max,Direxion Daily Russia Bull 3X Shares_Open_min,Direxion Daily Russia Bull 3X Shares_Open_volatility,Direxion Daily Russia Bull 3X Shares_Open_change,Direxion Daily Russia Bull 3X Shares_High_average,Direxion Daily Russia Bull 3X Shares_High_max,Direxion Daily Russia Bull 3X Shares_High_min,Direxion Daily Russia Bull 3X Shares_High_volatility,Direxion Daily Russia Bull 3X Shares_High_change,Direxion Daily Russia Bull 3X Shares_Low_average,Direxion Daily Russia Bull 3X Shares_Low_max,Direxion Daily Russia Bull 3X Shares_Low_min,Direxion Daily Russia Bull 3X Shares_Low_volatility,Direxion Daily Russia Bull 3X Shares_Low_change,Direxion Daily Russia Bull 3X Shares_Close_average,Direxion Daily Russia Bull 3X Shares_Close_max,Direxion Daily Russia Bull 3X Shares_Close_min,Direxion Daily Russia Bull 3X Shares_Close_volatility,Direxion Daily Russia Bull 3X Shares_Close_change
2018-01-14,67.61,67.61,67.61,0.0,0.0,68.65,68.65,68.65,0.0,0.0,67.5,67.5,67.5,0.0,0.0,68.32,68.32,68.32,0.0,0.0
2018-01-21,66.95,66.95,66.95,0.0,0.0,67.57,67.57,67.57,0.0,0.0,66.25,66.25,66.25,0.0,0.0,66.44,66.44,66.44,0.0,0.0
2018-01-28,62.37,62.37,62.37,0.0,0.0,64.14,64.14,64.14,0.0,0.0,57.51,57.51,57.51,0.0,0.0,57.68,57.68,57.68,0.0,0.0
2018-02-04,54.4,54.4,54.4,0.0,0.0,57.05,57.05,57.05,0.0,0.0,54.4,54.4,54.4,0.0,0.0,56.03,56.03,56.03,0.0,0.0
2018-02-11,63.01,63.01,63.01,0.0,0.0,64.75,64.75,64.75,0.0,0.0,61.8,61.8,61.8,0.0,0.0,62.39,62.39,62.39,0.0,0.0
2018-02-18,71.5,71.5,71.5,0.0,0.0,73.38,73.38,73.38,0.0,0.0,70.75,70.75,70.75,0.0,0.0,73.38,73.38,73.38,0.0,0.0
2018-02-25,63.26,63.26,63.26,0.0,0.0,66.32,66.32,66.32,0.0,0.0,62.65,62.65,62.65,0.0,0.0,66.18,66.18,66.18,0.0,0.0
2018-03-04,64.9,64.9,64.9,0.0,0.0,64.94,64.94,64.94,0.0,0.0,63.34,63.34,63.34,0.0,0.0,64.63,64.63,64.63,0.0,0.0
2018-03-11,58.52,58.52,58.52,0.0,0.0,59.0,59.0,59.0,0.0,0.0,57.01,57.01,57.01,0.0,0.0,57.62,57.62,57.62,0.0,0.0
2018-03-18,57.15,57.15,57.15,0.0,0.0,57.56,57.56,57.56,0.0,0.0,54.45,54.45,54.45,0.0,0.0,56.18,56.18,56.18,0.0,0.0
2018-03-25,56.24,56.24,56.24,0.0,0.0,57.23,57.23,57.23,0.0,0.0,54.81,54.81,54.81,0.0,0.0,55.93,55.93,55.93,0.0,0.0
2018-04-01,39.94,39.94,39.94,0.0,0.0,40.57,40.57,40.57,0.0,0.0,37.24,37.24,37.24,0.0,0.0,37.45,37.45,37.45,0.0,0.0
2018-04-08,37.45,37.45,37.45,0.0,0.0,41.41,41.41,41.41,0.0,0.0,37.25,37.25,37.25,0.0,0.0,41.06,41.06,41.06,0.0,0.0
2018-04-15,43.4,43.4,43.4,0.0,0.0,43.6,43.6,43.6,0.0,0.0,42.25,42.25,42.25,0.0,0.0,42.79,42.79,42.79,0.0,0.0
2018-04-22,44.09,44.09,44.09,0.0,0.0,44.2,44.2,44.2,0.0,0.0,42.17,42.17,42.17,0.0,0.0,42.65,42.65,42.65,0.0,0.0
2018-04-29,42.48,42.48,42.48,0.0,0.0,43.49,43.49,43.49,0.0,0.0,41.41,41.41,41.41,0.0,0.0,41.67,41.67,41.67,0.0,0.0
2018-05-06,46.66,46.66,46.66,0.0,0.0,47.32,47.32,47.32,0.0,0.0,45.5,45.5,45.5,0.0,0.0,45.63,45.63,45.63,0.0,0.0
2018-05-13,45.7,45.7,45.7,0.0,0.0,46.21,46.21,46.21,0.0,0.0,45.29,45.29,45.29,0.0,0.0,45.84,45.84,45.84,0.0,0.0
2018-05-20,43.87,43.87,43.87,0.0,0.0,44.25,44.25,44.25,0.0,0.0,43.42,43.42,43.42,0.0,0.0,43.72,43.72,43.72,0.0,0.0
2018-05-27,44.94,44.94,44.94,0.0,0.0,45.55,45.55,45.55,0.0,0.0,44.68,44.68,44.68,0.0,0.0,45.18,45.18,45.18,0.0,0.0
2018-06-03,41.06,41.06,41.06,0.0,0.0,41.47,41.47,41.47,0.0,0.0,40.7,40.7,40.7,0.0,0.0,40.73,40.73,40.73,0.0,0.0
2018-06-10,37.16,37.16,37.16,0.0,0.0,37.77,37.77,37.77,0.0,0.0,36.47,36.47,36.47,0.0,0.0,37.41,37.41,37.41,0.0,0.0
2018-06-17,39.93,39.93,39.93,0.0,0.0,40.61,40.61,40.61,0.0,0.0,39.22,39.22,39.22,0.0,0.0,40.43,40.43,40.43,0.0,0.0
2018-06-24,42.09,42.09,42.09,0.0,0.0,42.14,42.14,42.14,0.0,0.0,40.94,40.94,40.94,0.0,0.0,41.66,41.66,41.66,0.0,0.0
2018-07-01,46.61,46.61,46.61,0.0,0.0,48.47,48.47,48.47,0.0,0.0,46.39,46.39,46.39,0.0,0.0,48.31,48.31,48.31,0.0,0.0
2018-07-08,46.17,46.17,46.17,0.0,0.0,46.17,46.17,46.17,0.0,0.0,44.8,44.8,44.8,0.0,0.0,45.74,45.74,45.74,0.0,0.0
2018-07-15,41.7,41.7,41.7,0.0,0.0,41.79,41.79,41.79,0.0,0.0,40.55,40.55,40.55,0.0,0.0,40.91,40.91,40.91,0.0,0.0
2018-07-22,44.24,44.24,44.24,0.0,0.0,44.55,44.55,44.55,0.0,0.0,43.61,43.61,43.61,0.0,0.0,43.71,43.71,43.71,0.0,0.0
2018-07-29,41.54,41.54,41.54,0.0,0.0,41.54,41.54,41.54,0.0,0.0,40.66,40.66,40.66,0.0,0.0,40.99,40.99,40.99,0.0,0.0
2018-08-05,33.19,33.19,33.19,0.0,0.0,33.8,33.8,33.8,0.0,0.0,32.0,32.0,32.0,0.0,0.0,32.81,32.81,32.81,0.0,0.0
2018-08-12,33.15,33.15,33.15,0.0,0.0,33.64,33.64,33.64,0.0,0.0,32.91,32.91,32.91,0.0,0.0,33.57,33.57,33.57,0.0,0.0
2018-08-19,34.39,34.39,34.39,0.0,0.0,34.92,34.92,34.92,0.0,0.0,33.99,33.99,33.99,0.0,0.0,34.18,34.18,34.18,0.0,0.0
2018-08-26,33.5,33.5,33.5,0.0,0.0,34.38,34.38,34.38,0.0,0.0,32.96,32.96,32.96,0.0,0.0,33.96,33.96,33.96,0.0,0.0
2018-09-02,29.86,29.86,29.86,0.0,0.0,30.08,30.08,30.08,0.0,0.0,29.52,29.52,29.52,0.0,0.0,29.59,29.59,29.59,0.0,0.0
2018-09-09,34.99,34.99,34.99,0.0,0.0,35.41,35.41,35.41,0.0,0.0,34.84,34.84,34.84,0.0,0.0,35.12,35.12,35.12,0.0,0.0
2018-09-16,40.1,40.1,40.1,0.0,0.0,40.8,40.8,40.8,0.0,0.0,39.82,39.82,39.82,0.0,0.0,40.54,40.54,40.54,0.0,0.0
2018-09-23,41.85,41.85,41.85,0.0,0.0,43.79,43.79,43.79,0.0,0.0,41.56,41.56,41.56,0.0,0.0,43.57,43.57,43.57,0.0,0.0
2018-09-30,38.23,38.23,38.23,0.0,0.0,39.96,39.96,39.96,0.0,0.0,38.1,38.1,38.1,0.0,0.0,39.78,39.78,39.78,0.0,0.0
2018-10-07,38.29,38.29,38.29,0.0,0.0,39.45,39.45,39.45,0.0,0.0,37.65,37.65,37.65,0.0,0.0,38.38,38.38,38.38,0.0,0.0
2018-10-14,37.9,37.9,37.9,0.0,0.0,38.1,38.1,38.1,0.0,0.0,35.94,35.94,35.94,0.0,0.0,36.52,36.52,36.52,0.0,0.0
2018-10-21,35.16,35.16,35.16,0.0,0.0,35.46,35.46,35.46,0.0,0.0,33.13,33.13,33.13,0.0,0.0,33.91,33.91,33.91,0.0,0.0
2018-10-28,39.08,39.08,39.08,0.0,0.0,40.22,40.22,40.22,0.0,0.0,38.99,38.99,38.99,0.0,0.0,39.99,39.99,39.99,0.0,0.0
2018-11-04,35.87,35.87,35.87,0.0,0.0,35.87,35.87,35.87,0.0,0.0,34.12,34.12,34.12,0.0,0.0,34.14,34.14,34.14,0.0,0.0
