Date,Consumer Staples Select Sector SPDR_Open_average,Consumer Staples Select Sector SPDR_Open_max,Consumer Staples Select Sector SPDR_Open_min,Consumer Staples Select Sector SPDR_Open_volatility,Consumer Staples Select Sector SPDR_Open_change,Consumer Staples Select Sector SPDR_High_average,Consumer Staples Select Sector SPDR_High_max,Consumer Staples Select Sector SPDR_High_min,Consumer Staples Select Sector SPDR_High_volatility,Consumer Staples Select Sector SPDR_High_change,Consumer Staples Select Sector SPDR_Low_average,Consumer Staples Select Sector SPDR_Low_max,Consumer Staples Select Sector SPDR_Low_min,Consumer Staples Select Sector SPDR_Low_volatility,Consumer Staples Select Sector SPDR_Low_change,Consumer Staples Select Sector SPDR_Close_average,Consumer Staples Select Sector SPDR_Close_max,Consumer Staples Select Sector SPDR_Close_min,Consumer Staples Select Sector SPDR_Close_volatility,Consumer Staples Select Sector SPDR_Close_change
2018-01-14,58.0,58.0,58.0,0.0,0.0,58.47,58.47,58.47,0.0,0.0,57.97,57.97,57.97,0.0,0.0,58.47,58.47,58.47,0.0,0.0
2018-01-21,58.81,58.81,58.81,0.0,0.0,58.95,58.95,58.95,0.0,0.0,58.44,58.44,58.44,0.0,0.0,58.48,58.48,58.48,0.0,0.0
2018-01-28,56.23,56.23,56.23,0.0,0.0,56.57,56.57,56.57,0.0,0.0,54.39,54.39,54.39,0.0,0.0,54.42,54.42,54.42,0.0,0.0
2018-02-04,54.02,54.02,54.02,0.0,0.0,54.52,54.52,54.52,0.0,0.0,53.89,53.89,53.89,0.0,0.0,54.26,54.26,54.26,0.0,0.0
2018-02-11,55.4,55.4,55.4,0.0,0.0,55.83,55.83,55.83,0.0,0.0,55.1,55.1,55.1,0.0,0.0,55.6,55.6,55.6,0.0,0.0
2018-02-18,54.44,54.44,54.44,0.0,0.0,54.73,54.73,54.73,0.0,0.0,54.29,54.29,54.29,0.0,0.0,54.69,54.69,54.69,0.0,0.0
2018-02-25,53.45,53.45,53.45,0.0,0.0,54.27,54.27,54.27,0.0,0.0,53.45,53.45,53.45,0.0,0.0,54.21,54.21,54.21,0.0,0.0
2018-03-04,54.62,54.62,54.62,0.0,0.0,54.91,54.91,54.91,0.0,0.0,54.4,54.4,54.4,0.0,0.0,54.5,54.5,54.5,0.0,0.0
2018-03-11,53.21,53.21,53.21,0.0,0.0,53.31,53.31,53.31,0.0,0.0,52.54,52.54,52.54,0.0,0.0,52.73,52.73,52.73,0.0,0.0
2018-03-18,51.24,51.24,51.24,0.0,0.0,51.63,51.63,51.63,0.0,0.0,51.08,51.08,51.08,0.0,0.0,51.59,51.59,51.59,0.0,0.0
