Date,iShares Morningstar Large-Cap Growth_Open_average,iShares Morningstar Large-Cap Growth_Open_max,iShares Morningstar Large-Cap Growth_Open_min,iShares Morningstar Large-Cap Growth_Open_volatility,iShares Morningstar Large-Cap Growth_Open_change,iShares Morningstar Large-Cap Growth_High_average,iShares Morningstar Large-Cap Growth_High_max,iShares Morningstar Large-Cap Growth_High_min,iShares Morningstar Large-Cap Growth_High_volatility,iShares Morningstar Large-Cap Growth_High_change,iShares Morningstar Large-Cap Growth_Low_average,iShares Morningstar Large-Cap Growth_Low_max,iShares Morningstar Large-Cap Growth_Low_min,iShares Morningstar Large-Cap Growth_Low_volatility,iShares Morningstar Large-Cap Growth_Low_change,iShares Morningstar Large-Cap Growth_Close_average,iShares Morningstar Large-Cap Growth_Close_max,iShares Morningstar Large-Cap Growth_Close_min,iShares Morningstar Large-Cap Growth_Close_volatility,iShares Morningstar Large-Cap Growth_Close_change
2018-01-14,167.52,167.52,167.52,0.0,0.0,169.49,169.49,169.49,0.0,0.0,167.52,167.52,167.52,0.0,0.0,169.49,169.49,169.49,0.0,0.0
2018-01-21,172.3,172.3,172.3,0.0,0.0,172.76,172.76,172.76,0.0,0.0,171.31,171.31,171.31,0.0,0.0,171.5,171.5,171.5,0.0,0.0
2018-01-28,165.2,165.2,165.2,0.0,0.0,167.26,167.26,167.26,0.0,0.0,159.67,159.67,159.67,0.0,0.0,160.21,160.21,160.21,0.0,0.0
2018-02-04,159.74,159.74,159.74,0.0,0.0,161.3,161.3,161.3,0.0,0.0,158.96,158.96,158.96,0.0,0.0,160.5,160.5,160.5,0.0,0.0
2018-02-11,165.61,165.61,165.61,0.0,0.0,167.19,167.19,167.19,0.0,0.0,165.58,165.58,165.58,0.0,0.0,165.85,165.85,165.85,0.0,0.0
2018-02-18,169.2,169.2,169.2,0.0,0.0,170.18,170.18,170.18,0.0,0.0,169.09,169.09,169.09,0.0,0.0,170.02,170.02,170.02,0.0,0.0
2018-02-25,164.58,164.58,164.58,0.0,0.0,167.6,167.6,167.6,0.0,0.0,164.58,164.58,164.58,0.0,0.0,167.4,167.4,167.4,0.0,0.0
2018-03-04,173.09,173.09,173.09,0.0,0.0,173.47,173.47,173.47,0.0,0.0,172.62,172.62,172.62,0.0,0.0,173.26,173.26,173.26,0.0,0.0
2018-03-11,169.62,169.62,169.62,0.0,0.0,169.62,169.62,169.62,0.0,0.0,167.11,167.11,167.11,0.0,0.0,167.9,167.9,167.9,0.0,0.0
2018-03-18,163.14,163.14,163.14,0.0,0.0,164.8,164.8,164.8,0.0,0.0,162.24,162.24,162.24,0.0,0.0,164.8,164.8,164.8,0.0,0.0
2018-03-25,162.19,162.19,162.19,0.0,0.0,162.3,162.3,162.3,0.0,0.0,157.33,157.33,157.33,0.0,0.0,158.84,158.84,158.84,0.0,0.0
2018-04-01,161.12,161.12,161.12,0.0,0.0,163.1,163.1,163.1,0.0,0.0,160.94,160.94,160.94,0.0,0.0,161.09,161.09,161.09,0.0,0.0
2018-04-08,164.7,164.7,164.7,0.0,0.0,165.19,165.19,165.19,0.0,0.0,164.28,164.28,164.28,0.0,0.0,164.97,164.97,164.97,0.0,0.0
2018-04-15,166.51,166.51,166.51,0.0,0.0,166.8,166.8,166.8,0.0,0.0,165.23,165.23,165.23,0.0,0.0,165.44,165.44,165.44,0.0,0.0
2018-04-22,166.61,166.61,166.61,0.0,0.0,167.16,167.16,167.16,0.0,0.0,165.41,165.41,165.41,0.0,0.0,165.59,165.59,165.59,0.0,0.0
2018-04-29,167.41,167.41,167.41,0.0,0.0,168.06,168.06,168.06,0.0,0.0,167.12,167.12,167.12,0.0,0.0,167.65,167.65,167.65,0.0,0.0
2018-05-06,171.49,171.49,171.49,0.0,0.0,172.07,172.07,172.07,0.0,0.0,170.94,170.94,170.94,0.0,0.0,171.16,171.16,171.16,0.0,0.0
2018-05-13,171.04,171.04,171.04,0.0,0.0,171.23,171.23,171.23,0.0,0.0,170.56,170.56,170.56,0.0,0.0,171.04,171.04,171.04,0.0,0.0
2018-05-20,171.06,171.06,171.06,0.0,0.0,171.45,171.45,171.45,0.0,0.0,170.91,170.91,170.91,0.0,0.0,170.95,170.95,170.95,0.0,0.0
2018-05-27,174.09,174.09,174.09,0.0,0.0,175.12,175.12,175.12,0.0,0.0,174.09,174.09,174.09,0.0,0.0,175.12,175.12,175.12,0.0,0.0
2018-06-03,176.64,176.64,176.64,0.0,0.0,177.62,177.62,177.62,0.0,0.0,176.64,176.64,176.64,0.0,0.0,177.05,177.05,177.05,0.0,0.0
2018-06-10,177.55,177.55,177.55,0.0,0.0,178.93,178.93,178.93,0.0,0.0,177.26,177.26,177.26,0.0,0.0,178.93,178.93,178.93,0.0,0.0
2018-06-17,176.02,176.02,176.02,0.0,0.0,176.02,176.02,176.02,0.0,0.0,172.37,172.37,172.37,0.0,0.0,173.59,173.59,173.59,0.0,0.0
2018-06-24,172.72,172.72,172.72,0.0,0.0,174.64,174.64,174.64,0.0,0.0,172.72,172.72,172.72,0.0,0.0,174.64,174.64,174.64,0.0,0.0
2018-07-01,177.61,177.61,177.61,0.0,0.0,178.08,178.08,178.08,0.0,0.0,177.4,177.4,177.4,0.0,0.0,178.04,178.04,178.04,0.0,0.0
2018-07-08,180.73,180.73,180.73,0.0,0.0,180.73,180.73,180.73,0.0,0.0,180.03,180.03,180.03,0.0,0.0,180.21,180.21,180.21,0.0,0.0
2018-07-15,180.48,180.48,180.48,0.0,0.0,181.0,181.0,181.0,0.0,0.0,180.14,180.14,180.14,0.0,0.0,181.0,181.0,181.0,0.0,0.0
2018-07-22,179.22,179.22,179.22,0.0,0.0,179.22,179.22,179.22,0.0,0.0,175.93,175.93,175.93,0.0,0.0,175.99,175.99,175.99,0.0,0.0
2018-07-29,179.12,179.12,179.12,0.0,0.0,179.85,179.85,179.85,0.0,0.0,178.84,178.84,178.84,0.0,0.0,179.85,179.85,179.85,0.0,0.0
2018-08-05,180.63,180.63,180.63,0.0,0.0,180.85,180.85,180.85,0.0,0.0,179.29,179.29,179.29,0.0,0.0,179.39,179.39,179.39,0.0,0.0
2018-08-12,179.12,179.12,179.12,0.0,0.0,179.34,179.34,179.34,0.0,0.0,178.4,178.4,178.4,0.0,0.0,179.17,179.17,179.17,0.0,0.0
2018-08-19,182.66,182.66,182.66,0.0,0.0,183.3,183.3,183.3,0.0,0.0,182.66,182.66,182.66,0.0,0.0,183.27,183.27,183.27,0.0,0.0
2018-08-26,184.28,184.28,184.28,0.0,0.0,184.9,184.9,184.9,0.0,0.0,184.02,184.02,184.02,0.0,0.0,184.53,184.53,184.53,0.0,0.0
2018-09-02,181.9,181.9,181.9,0.0,0.0,182.04,182.04,182.04,0.0,0.0,181.27,181.27,181.27,0.0,0.0,181.55,181.55,181.55,0.0,0.0
2018-09-09,184.37,184.37,184.37,0.0,0.0,184.37,184.37,184.37,0.0,0.0,182.52,182.52,182.52,0.0,0.0,182.52,182.52,182.52,0.0,0.0
2018-09-16,184.22,184.22,184.22,0.0,0.0,185.17,185.17,185.17,0.0,0.0,183.53,183.53,183.53,0.0,0.0,185.12,185.12,185.12,0.0,0.0
2018-09-23,187.03,187.03,187.03,0.0,0.0,187.59,187.59,187.59,0.0,0.0,186.18,186.18,186.18,0.0,0.0,186.55,186.55,186.55,0.0,0.0
2018-09-30,180.66,180.66,180.66,0.0,0.0,181.25,181.25,181.25,0.0,0.0,178.0,178.0,178.0,0.0,0.0,180.12,180.12,180.12,0.0,0.0
2018-10-07,173.42,173.42,173.42,0.0,0.0,173.46,173.46,173.46,0.0,0.0,171.83,171.83,171.83,0.0,0.0,172.0,172.0,172.0,0.0,0.0
2018-10-14,173.04,173.04,173.04,0.0,0.0,173.41,173.41,173.41,0.0,0.0,171.82,171.82,171.82,0.0,0.0,172.85,172.85,172.85,0.0,0.0
2018-10-21,168.52,168.52,168.52,0.0,0.0,169.13,169.13,169.13,0.0,0.0,160.42,160.42,160.42,0.0,0.0,163.22,163.22,163.22,0.0,0.0
2018-10-28,171.11,171.11,171.11,0.0,0.0,171.26,171.26,171.26,0.0,0.0,169.48,169.48,169.48,0.0,0.0,171.08,171.08,171.08,0.0,0.0
2018-11-04,173.26,173.26,173.26,0.0,0.0,173.26,173.26,173.26,0.0,0.0,169.33,169.33,169.33,0.0,0.0,169.38,169.38,169.38,0.0,0.0
2018-11-11,169.37,169.37,169.37,0.0,0.0,169.39,169.39,169.39,0.0,0.0,164.4,164.4,164.4,0.0,0.0,164.67,164.67,164.67,0.0,0.0
2018-11-18,164.68,164.68,164.68,0.0,0.0,166.19,166.19,166.19,0.0,0.0,164.68,164.68,164.68,0.0,0.0,166.13,166.13,166.13,0.0,0.0
2018-11-25,176.43,176.43,176.43,0.0,0.0,176.57,176.57,176.57,0.0,0.0,174.92,174.92,174.92,0.0,0.0,175.53,175.53,175.53,0.0,0.0
2018-12-02,165.12,165.12,165.12,0.0,0.0,167.13,167.13,167.13,0.0,0.0,163.29,163.29,163.29,0.0,0.0,166.81,166.81,166.81,0.0,0.0
2018-12-09,163.25,163.25,163.25,0.0,0.0,163.48,163.48,163.48,0.0,0.0,158.79,158.79,158.79,0.0,0.0,159.88,159.88,159.88,0.0,0.0
2018-12-16,149.53,149.53,149.53,0.0,0.0,151.0,151.0,151.0,0.0,0.0,147.58,147.58,147.58,0.0,0.0,147.58,147.58,147.58,0.0,0.0
2018-12-23,158.26,158.26,158.26,0.0,0.0,158.83,158.83,158.83,0.0,0.0,157.07,157.07,157.07,0.0,0.0,158.53,158.53,158.53,0.0,0.0
2018-12-30,160.61,160.61,160.61,0.0,0.0,163.05,163.05,163.05,0.0,0.0,160.61,160.61,160.61,0.0,0.0,162.24,162.24,162.24,0.0,0.0
2019-01-06,163.69,163.69,163.69,0.0,0.0,164.63,164.63,164.63,0.0,0.0,163.69,163.69,163.69,0.0,0.0,164.01,164.01,164.01,0.0,0.0
2019-01-13,169.75,169.75,169.75,0.0,0.0,170.75,170.75,170.75,0.0,0.0,168.76,168.76,168.76,0.0,0.0,170.17,170.17,170.17,0.0,0.0
2019-01-20,168.24,168.24,168.24,0.0,0.0,168.24,168.24,168.24,0.0,0.0,167.2,167.2,167.2,0.0,0.0,167.98,167.98,167.98,0.0,0.0
2019-01-27,172.57,172.57,172.57,0.0,0.0,173.89,173.89,173.89,0.0,0.0,172.42,172.42,172.42,0.0,0.0,173.89,173.89,173.89,0.0,0.0
2019-02-03,173.73,173.73,173.73,0.0,0.0,173.95,173.95,173.95,0.0,0.0,172.97,172.97,172.97,0.0,0.0,173.15,173.15,173.15,0.0,0.0
2019-02-10,177.86,177.86,177.86,0.0,0.0,178.02,178.02,178.02,0.0,0.0,177.32,177.32,177.32,0.0,0.0,178.02,178.02,178.02,0.0,0.0
2019-02-17,179.6,179.6,179.6,0.0,0.0,179.71,179.71,179.71,0.0,0.0,178.6,178.6,178.6,0.0,0.0,178.6,178.6,178.6,0.0,0.0
2019-02-24,180.98,180.98,180.98,0.0,0.0,180.98,180.98,180.98,0.0,0.0,177.67,177.67,177.67,0.0,0.0,178.85,178.85,178.85,0.0,0.0
2019-03-03,175.65,175.65,175.65,0.0,0.0,178.15,178.15,178.15,0.0,0.0,175.65,175.65,175.65,0.0,0.0,178.11,178.11,178.11,0.0,0.0
2019-03-10,181.11,181.11,181.11,0.0,0.0,181.65,181.65,181.65,0.0,0.0,180.57,180.57,180.57,0.0,0.0,181.32,181.32,181.32,0.0,0.0
2019-03-17,180.07,180.07,180.07,0.0,0.0,181.07,181.07,181.07,0.0,0.0,179.69,179.69,179.69,0.0,0.0,180.88,180.88,180.88,0.0,0.0
2019-03-24,184.56,184.56,184.56,0.0,0.0,185.18,185.18,185.18,0.0,0.0,184.06,184.06,184.06,0.0,0.0,185.1,185.1,185.1,0.0,0.0
2019-03-31,186.5,186.5,186.5,0.0,0.0,186.85,186.85,186.85,0.0,0.0,185.68,185.68,185.68,0.0,0.0,186.85,186.85,186.85,0.0,0.0
2019-04-07,187.08,187.08,187.08,0.0,0.0,187.5,187.5,187.5,0.0,0.0,186.74,186.74,186.74,0.0,0.0,187.48,187.48,187.48,0.0,0.0
2019-04-14,185.45,185.45,185.45,0.0,0.0,186.94,186.94,186.94,0.0,0.0,185.45,185.45,185.45,0.0,0.0,186.84,186.84,186.84,0.0,0.0
2019-04-21,190.76,190.76,190.76,0.0,0.0,191.09,191.09,191.09,0.0,0.0,190.64,190.64,190.64,0.0,0.0,190.79,190.79,190.79,0.0,0.0
2019-04-28,186.39,186.39,186.39,0.0,0.0,189.83,189.83,189.83,0.0,0.0,186.39,186.39,186.39,0.0,0.0,189.53,189.53,189.53,0.0,0.0
2019-05-05,182.31,182.31,182.31,0.0,0.0,183.09,183.09,183.09,0.0,0.0,180.9,180.9,180.9,0.0,0.0,181.33,181.33,181.33,0.0,0.0
2019-05-12,183.64,183.64,183.64,0.0,0.0,184.89,184.89,184.89,0.0,0.0,183.41,183.41,183.41,0.0,0.0,184.07,184.07,184.07,0.0,0.0
