Date,ProShares UltraPro Short QQQ_Open_average,ProShares UltraPro Short QQQ_Open_max,ProShares UltraPro Short QQQ_Open_min,ProShares UltraPro Short QQQ_Open_volatility,ProShares UltraPro Short QQQ_Open_change,ProShares UltraPro Short QQQ_High_average,ProShares UltraPro Short QQQ_High_max,ProShares UltraPro Short QQQ_High_min,ProShares UltraPro Short QQQ_High_volatility,ProShares UltraPro Short QQQ_High_change,ProShares UltraPro Short QQQ_Low_average,ProShares UltraPro Short QQQ_Low_max,ProShares UltraPro Short QQQ_Low_min,ProShares UltraPro Short QQQ_Low_volatility,ProShares UltraPro Short QQQ_Low_change,ProShares UltraPro Short QQQ_Close_average,ProShares UltraPro Short QQQ_Close_max,ProShares UltraPro Short QQQ_Close_min,ProShares UltraPro Short QQQ_Close_volatility,ProShares UltraPro Short QQQ_Close_change
2018-01-14,70.56,70.56,70.56,0.0,0.0,70.8,70.8,70.8,0.0,0.0,68.28,68.28,68.28,0.0,0.0,68.28,68.28,68.28,0.0,0.0
2018-01-21,65.32,65.32,65.32,0.0,0.0,66.24,66.24,66.24,0.0,0.0,64.88,64.88,64.88,0.0,0.0,65.88,65.88,65.88,0.0,0.0
2018-01-28,74.44,74.44,74.44,0.0,0.0,81.12,81.12,81.12,0.0,0.0,70.92,70.92,70.92,0.0,0.0,80.8,80.8,80.8,0.0,0.0
2018-02-04,80.4,80.4,80.4,0.0,0.0,82.28,82.28,82.28,0.0,0.0,76.78,76.78,76.78,0.0,0.0,78.32,78.32,78.32,0.0,0.0
2018-02-11,69.6,69.6,69.6,0.0,0.0,70.2,70.2,70.2,0.0,0.0,67.6,67.6,67.6,0.0,0.0,69.68,69.68,69.68,0.0,0.0
2018-02-18,64.88,64.88,64.88,0.0,0.0,65.04,65.04,65.04,0.0,0.0,63.24,63.24,63.24,0.0,0.0,63.28,63.28,63.28,0.0,0.0
2018-02-25,69.16,69.16,69.16,0.0,0.0,69.93,69.93,69.93,0.0,0.0,65.4,65.4,65.4,0.0,0.0,66.04,66.04,66.04,0.0,0.0
2018-03-04,59.44,59.44,59.44,0.0,0.0,59.84,59.84,59.84,0.0,0.0,58.56,58.56,58.56,0.0,0.0,59.2,59.2,59.2,0.0,0.0
2018-03-11,63.92,63.92,63.92,0.0,0.0,67.78,67.78,67.78,0.0,0.0,63.92,63.92,63.92,0.0,0.0,66.08,66.08,66.08,0.0,0.0
2018-03-18,72.28,72.28,72.28,0.0,0.0,75.96,75.96,75.96,0.0,0.0,68.0,68.0,68.0,0.0,0.0,68.28,68.28,68.28,0.0,0.0
2018-03-25,74.8,74.8,74.8,0.0,0.0,81.84,81.84,81.84,0.0,0.0,73.84,73.84,73.84,0.0,0.0,79.44,79.44,79.44,0.0,0.0
2018-04-01,75.48,75.48,75.48,0.0,0.0,76.32,76.32,76.32,0.0,0.0,71.3,71.3,71.3,0.0,0.0,76.04,76.04,76.04,0.0,0.0
2018-04-08,69.32,69.32,69.32,0.0,0.0,70.56,70.56,70.56,0.0,0.0,68.32,68.32,68.32,0.0,0.0,69.12,69.12,69.12,0.0,0.0
2018-04-15,68.28,68.28,68.28,0.0,0.0,70.88,70.88,70.88,0.0,0.0,67.44,67.44,67.44,0.0,0.0,69.76,69.76,69.76,0.0,0.0
2018-04-22,68.72,68.72,68.72,0.0,0.0,71.24,71.24,71.24,0.0,0.0,67.44,67.44,67.44,0.0,0.0,70.64,70.64,70.64,0.0,0.0
2018-04-29,64.8,64.8,64.8,0.0,0.0,64.88,64.88,64.88,0.0,0.0,63.36,63.36,63.36,0.0,0.0,64.04,64.04,64.04,0.0,0.0
2018-05-06,60.0,60.0,60.0,0.0,0.0,60.4,60.4,60.4,0.0,0.0,58.96,58.96,58.96,0.0,0.0,60.08,60.08,60.08,0.0,0.0
2018-05-13,61.12,61.12,61.12,0.0,0.0,62.36,62.36,62.36,0.0,0.0,60.32,60.32,60.32,0.0,0.0,61.52,61.52,61.52,0.0,0.0
2018-05-20,60.36,60.36,60.36,0.0,0.0,60.72,60.72,60.72,0.0,0.0,59.52,59.52,59.52,0.0,0.0,60.2,60.2,60.2,0.0,0.0
2018-05-27,56.56,56.56,56.56,0.0,0.0,56.64,56.64,56.64,0.0,0.0,55.44,55.44,55.44,0.0,0.0,55.52,55.52,55.52,0.0,0.0
2018-06-03,55.56,55.56,55.56,0.0,0.0,55.56,55.56,55.56,0.0,0.0,54.52,54.52,54.52,0.0,0.0,54.92,54.92,54.92,0.0,0.0
2018-06-10,54.0,54.0,54.0,0.0,0.0,54.56,54.56,54.56,0.0,0.0,53.0,53.0,53.0,0.0,0.0,53.12,53.12,53.12,0.0,0.0
2018-06-17,55.48,55.48,55.48,0.0,0.0,59.2,59.2,59.2,0.0,0.0,55.3,55.3,55.3,0.0,0.0,57.68,57.68,57.68,0.0,0.0
2018-06-24,59.08,59.08,59.08,0.0,0.0,59.47,59.47,59.47,0.0,0.0,56.24,56.24,56.24,0.0,0.0,56.24,56.24,56.24,0.0,0.0
2018-07-01,52.72,52.72,52.72,0.0,0.0,53.32,53.32,53.32,0.0,0.0,52.04,52.04,52.04,0.0,0.0,52.04,52.04,52.04,0.0,0.0
2018-07-08,49.96,49.96,49.96,0.0,0.0,50.6,50.6,50.6,0.0,0.0,49.68,49.68,49.68,0.0,0.0,50.36,50.36,50.36,0.0,0.0
2018-07-15,50.92,50.92,50.92,0.0,0.0,51.6,51.6,51.6,0.0,0.0,50.0,50.0,50.0,0.0,0.0,50.08,50.08,50.08,0.0,0.0
2018-07-22,51.52,51.52,51.52,0.0,0.0,54.5,54.5,54.5,0.0,0.0,51.48,51.48,51.48,0.0,0.0,53.72,53.72,53.72,0.0,0.0
2018-07-29,49.56,49.56,49.56,0.0,0.0,49.72,49.72,49.72,0.0,0.0,48.52,48.52,48.52,0.0,0.0,48.52,48.52,48.52,0.0,0.0
2018-08-05,48.88,48.88,48.88,0.0,0.0,49.32,49.32,49.32,0.0,0.0,47.9,47.9,47.9,0.0,0.0,49.24,49.24,49.24,0.0,0.0
2018-08-12,49.32,49.32,49.32,0.0,0.0,50.4,50.4,50.4,0.0,0.0,49.28,49.28,49.28,0.0,0.0,49.76,49.76,49.76,0.0,0.0
2018-08-19,46.84,46.84,46.84,0.0,0.0,47.08,47.08,47.08,0.0,0.0,46.16,46.16,46.16,0.0,0.0,46.16,46.16,46.16,0.0,0.0
2018-08-26,44.76,44.76,44.76,0.0,0.0,44.92,44.92,44.92,0.0,0.0,44.08,44.08,44.08,0.0,0.0,44.44,44.44,44.44,0.0,0.0
2018-09-02,47.84,47.84,47.84,0.0,0.0,48.96,48.96,48.96,0.0,0.0,47.72,47.72,47.72,0.0,0.0,48.12,48.12,48.12,0.0,0.0
2018-09-09,46.68,46.68,46.68,0.0,0.0,48.56,48.56,48.56,0.0,0.0,46.56,46.56,46.56,0.0,0.0,48.44,48.44,48.44,0.0,0.0
2018-09-16,47.6,47.6,47.6,0.0,0.0,48.14,48.14,48.14,0.0,0.0,46.12,46.12,46.12,0.0,0.0,46.2,46.2,46.2,0.0,0.0
2018-09-23,43.76,43.76,43.76,0.0,0.0,44.64,44.64,44.64,0.0,0.0,43.32,43.32,43.32,0.0,0.0,44.32,44.32,44.32,0.0,0.0
2018-09-30,49.44,49.44,49.44,0.0,0.0,51.4,51.4,51.4,0.0,0.0,48.4,48.4,48.4,0.0,0.0,49.64,49.64,49.64,0.0,0.0
2018-10-07,53.6,53.6,53.6,0.0,0.0,55.56,55.56,55.56,0.0,0.0,53.32,53.32,53.32,0.0,0.0,55.0,55.0,55.0,0.0,0.0
2018-10-14,52.88,52.88,52.88,0.0,0.0,54.23,54.23,54.23,0.0,0.0,51.72,51.72,51.72,0.0,0.0,52.96,52.96,52.96,0.0,0.0
2018-10-21,56.36,56.36,56.36,0.0,0.0,65.88,65.88,65.88,0.0,0.0,55.56,55.56,55.56,0.0,0.0,62.2,62.2,62.2,0.0,0.0
2018-10-28,55.48,55.48,55.48,0.0,0.0,57.96,57.96,57.96,0.0,0.0,55.48,55.48,55.48,0.0,0.0,56.08,56.08,56.08,0.0,0.0
2018-11-04,54.4,54.4,54.4,0.0,0.0,58.27,58.27,58.27,0.0,0.0,54.09,54.09,54.09,0.0,0.0,58.0,58.0,58.0,0.0,0.0
2018-11-11,57.8,57.8,57.8,0.0,0.0,62.96,62.96,62.96,0.0,0.0,57.48,57.48,57.48,0.0,0.0,62.44,62.44,62.44,0.0,0.0
2018-11-18,63.0,63.0,63.0,0.0,0.0,63.87,63.87,63.87,0.0,0.0,61.12,61.12,61.12,0.0,0.0,61.24,61.24,61.24,0.0,0.0
