Date,iShares Emerging Markets Local Currency Bond_Open_average,iShares Emerging Markets Local Currency Bond_Open_max,iShares Emerging Markets Local Currency Bond_Open_min,iShares Emerging Markets Local Currency Bond_Open_volatility,iShares Emerging Markets Local Currency Bond_Open_change,iShares Emerging Markets Local Currency Bond_High_average,iShares Emerging Markets Local Currency Bond_High_max,iShares Emerging Markets Local Currency Bond_High_min,iShares Emerging Markets Local Currency Bond_High_volatility,iShares Emerging Markets Local Currency Bond_High_change,iShares Emerging Markets Local Currency Bond_Low_average,iShares Emerging Markets Local Currency Bond_Low_max,iShares Emerging Markets Local Currency Bond_Low_min,iShares Emerging Markets Local Currency Bond_Low_volatility,iShares Emerging Markets Local Currency Bond_Low_change,iShares Emerging Markets Local Currency Bond_Close_average,iShares Emerging Markets Local Currency Bond_Close_max,iShares Emerging Markets Local Currency Bond_Close_min,iShares Emerging Markets Local Currency Bond_Close_volatility,iShares Emerging Markets Local Currency Bond_Close_change
2018-01-14,49.85,49.85,49.85,0.0,0.0,49.91,49.91,49.91,0.0,0.0,49.79,49.79,49.79,0.0,0.0,49.91,49.91,49.91,0.0,0.0
2018-01-21,50.21,50.21,50.21,0.0,0.0,50.27,50.27,50.27,0.0,0.0,50.13,50.13,50.13,0.0,0.0,50.26,50.26,50.26,0.0,0.0
2018-01-28,50.08,50.08,50.08,0.0,0.0,50.09,50.09,50.09,0.0,0.0,49.63,49.63,49.63,0.0,0.0,49.7,49.7,49.7,0.0,0.0
2018-02-04,49.34,49.34,49.34,0.0,0.0,49.61,49.61,49.61,0.0,0.0,49.31,49.31,49.31,0.0,0.0,49.51,49.51,49.51,0.0,0.0
2018-02-11,50.41,50.41,50.41,0.0,0.0,50.66,50.66,50.66,0.0,0.0,50.38,50.38,50.38,0.0,0.0,50.46,50.46,50.46,0.0,0.0
2018-02-18,50.33,50.33,50.33,0.0,0.0,50.45,50.45,50.45,0.0,0.0,50.27,50.27,50.27,0.0,0.0,50.45,50.45,50.45,0.0,0.0
2018-02-25,49.85,49.85,49.85,0.0,0.0,49.99,49.99,49.99,0.0,0.0,49.75,49.75,49.75,0.0,0.0,49.96,49.96,49.96,0.0,0.0
2018-03-04,49.92,49.92,49.92,0.0,0.0,50.06,50.06,50.06,0.0,0.0,49.92,49.92,49.92,0.0,0.0,50.05,50.05,50.05,0.0,0.0
2018-03-11,49.62,49.62,49.62,0.0,0.0,49.67,49.67,49.67,0.0,0.0,49.59,49.59,49.59,0.0,0.0,49.64,49.64,49.64,0.0,0.0
2018-03-18,50.2,50.2,50.2,0.0,0.0,50.41,50.41,50.41,0.0,0.0,50.11,50.11,50.11,0.0,0.0,50.35,50.35,50.35,0.0,0.0
2018-03-25,50.39,50.39,50.39,0.0,0.0,50.39,50.39,50.39,0.0,0.0,50.08,50.08,50.08,0.0,0.0,50.21,50.21,50.21,0.0,0.0
2018-04-01,49.83,49.83,49.83,0.0,0.0,49.89,49.89,49.89,0.0,0.0,49.69,49.69,49.69,0.0,0.0,49.69,49.69,49.69,0.0,0.0
2018-04-08,50.08,50.08,50.08,0.0,0.0,50.08,50.08,50.08,0.0,0.0,49.74,49.74,49.74,0.0,0.0,50.04,50.04,50.04,0.0,0.0
2018-04-15,49.32,49.32,49.32,0.0,0.0,49.38,49.38,49.38,0.0,0.0,49.14,49.14,49.14,0.0,0.0,49.16,49.16,49.16,0.0,0.0
2018-04-22,48.98,48.98,48.98,0.0,0.0,48.98,48.98,48.98,0.0,0.0,48.69,48.69,48.69,0.0,0.0,48.71,48.71,48.71,0.0,0.0
2018-04-29,47.53,47.53,47.53,0.0,0.0,47.63,47.63,47.63,0.0,0.0,47.43,47.43,47.43,0.0,0.0,47.45,47.45,47.45,0.0,0.0
2018-05-06,47.26,47.26,47.26,0.0,0.0,47.31,47.31,47.31,0.0,0.0,46.88,46.88,46.88,0.0,0.0,46.88,46.88,46.88,0.0,0.0
2018-05-13,45.68,45.68,45.68,0.0,0.0,45.93,45.93,45.93,0.0,0.0,45.68,45.68,45.68,0.0,0.0,45.93,45.93,45.93,0.0,0.0
2018-05-20,46.25,46.25,46.25,0.0,0.0,46.25,46.25,46.25,0.0,0.0,46.01,46.01,46.01,0.0,0.0,46.08,46.08,46.08,0.0,0.0
2018-05-27,46.0,46.0,46.0,0.0,0.0,46.01,46.01,46.01,0.0,0.0,45.81,45.81,45.81,0.0,0.0,45.99,45.99,45.99,0.0,0.0
2018-06-03,45.58,45.58,45.58,0.0,0.0,45.81,45.81,45.81,0.0,0.0,45.52,45.52,45.52,0.0,0.0,45.58,45.58,45.58,0.0,0.0
2018-06-10,44.54,44.54,44.54,0.0,0.0,44.59,44.59,44.59,0.0,0.0,44.25,44.25,44.25,0.0,0.0,44.59,44.59,44.59,0.0,0.0
2018-06-17,44.83,44.83,44.83,0.0,0.0,44.83,44.83,44.83,0.0,0.0,44.6,44.6,44.6,0.0,0.0,44.66,44.66,44.66,0.0,0.0
2018-06-24,44.02,44.02,44.02,0.0,0.0,44.12,44.12,44.12,0.0,0.0,43.94,43.94,43.94,0.0,0.0,44.12,44.12,44.12,0.0,0.0
2018-07-01,44.92,44.92,44.92,0.0,0.0,45.02,45.02,45.02,0.0,0.0,44.89,44.89,44.89,0.0,0.0,44.9,44.9,44.9,0.0,0.0
2018-07-08,44.91,44.91,44.91,0.0,0.0,44.94,44.94,44.94,0.0,0.0,44.79,44.79,44.79,0.0,0.0,44.88,44.88,44.88,0.0,0.0
2018-07-15,44.98,44.98,44.98,0.0,0.0,44.99,44.99,44.99,0.0,0.0,44.81,44.81,44.81,0.0,0.0,44.96,44.96,44.96,0.0,0.0
2018-07-22,45.54,45.54,45.54,0.0,0.0,45.59,45.59,45.59,0.0,0.0,45.46,45.46,45.46,0.0,0.0,45.46,45.46,45.46,0.0,0.0
2018-07-29,45.22,45.22,45.22,0.0,0.0,45.26,45.26,45.26,0.0,0.0,45.1,45.1,45.1,0.0,0.0,45.14,45.14,45.14,0.0,0.0
2018-08-05,43.12,43.12,43.12,0.0,0.0,43.26,43.26,43.26,0.0,0.0,42.79,42.79,42.79,0.0,0.0,43.01,43.01,43.01,0.0,0.0
2018-08-12,43.22,43.22,43.22,0.0,0.0,43.22,43.22,43.22,0.0,0.0,42.99,42.99,42.99,0.0,0.0,43.09,43.09,43.09,0.0,0.0
2018-08-19,43.39,43.39,43.39,0.0,0.0,43.51,43.51,43.51,0.0,0.0,43.33,43.33,43.33,0.0,0.0,43.33,43.33,43.33,0.0,0.0
2018-08-26,42.15,42.15,42.15,0.0,0.0,42.31,42.31,42.31,0.0,0.0,41.99,41.99,41.99,0.0,0.0,42.24,42.24,42.24,0.0,0.0
2018-09-02,41.78,41.78,41.78,0.0,0.0,41.89,41.89,41.89,0.0,0.0,41.66,41.66,41.66,0.0,0.0,41.81,41.81,41.81,0.0,0.0
2018-09-09,42.12,42.12,42.12,0.0,0.0,42.28,42.28,42.28,0.0,0.0,42.12,42.12,42.12,0.0,0.0,42.28,42.28,42.28,0.0,0.0
2018-09-16,43.15,43.15,43.15,0.0,0.0,43.16,43.16,43.16,0.0,0.0,42.86,42.86,42.86,0.0,0.0,42.9,42.9,42.9,0.0,0.0
2018-09-23,43.09,43.09,43.09,0.0,0.0,43.29,43.29,43.29,0.0,0.0,43.09,43.09,43.09,0.0,0.0,43.2,43.2,43.2,0.0,0.0
2018-09-30,42.93,42.93,42.93,0.0,0.0,43.16,43.16,43.16,0.0,0.0,42.93,42.93,42.93,0.0,0.0,43.15,43.15,43.15,0.0,0.0
2018-10-07,43.48,43.48,43.48,0.0,0.0,43.66,43.66,43.66,0.0,0.0,43.46,43.46,43.46,0.0,0.0,43.53,43.53,43.53,0.0,0.0
2018-10-14,43.85,43.85,43.85,0.0,0.0,43.95,43.95,43.95,0.0,0.0,43.78,43.78,43.78,0.0,0.0,43.78,43.78,43.78,0.0,0.0
