Date,ProShares UltraShort QQQ_etf_Open_average,ProShares UltraShort QQQ_etf_Open_max,ProShares UltraShort QQQ_etf_Open_min,ProShares UltraShort QQQ_etf_Open_volatility,ProShares UltraShort QQQ_etf_Open_change,ProShares UltraShort QQQ_etf_High_average,ProShares UltraShort QQQ_etf_High_max,ProShares UltraShort QQQ_etf_High_min,ProShares UltraShort QQQ_etf_High_volatility,ProShares UltraShort QQQ_etf_High_change,ProShares UltraShort QQQ_etf_Low_average,ProShares UltraShort QQQ_etf_Low_max,ProShares UltraShort QQQ_etf_Low_min,ProShares UltraShort QQQ_etf_Low_volatility,ProShares UltraShort QQQ_etf_Low_change,ProShares UltraShort QQQ_etf_Close_average,ProShares UltraShort QQQ_etf_Close_max,ProShares UltraShort QQQ_etf_Close_min,ProShares UltraShort QQQ_etf_Close_volatility,ProShares UltraShort QQQ_etf_Close_change
2018-01-14,47.0,47.0,47.0,0.0,0.0,47.4,47.4,47.4,0.0,0.0,46.8,46.8,46.8,0.0,0.0,47.0,47.0,47.0,0.0,0.0
2018-01-21,45.32,45.32,45.32,0.0,0.0,45.48,45.48,45.48,0.0,0.0,44.48,44.48,44.48,0.0,0.0,44.48,44.48,44.48,0.0,0.0
2018-01-28,46.4,46.4,46.4,0.0,0.0,47.92,47.92,47.92,0.0,0.0,46.2,46.2,46.2,0.0,0.0,47.88,47.88,47.88,0.0,0.0
2018-02-04,52.84,52.84,52.84,0.0,0.0,56.76,56.76,56.76,0.0,0.0,51.73,51.73,51.73,0.0,0.0,52.52,52.52,52.52,0.0,0.0
2018-02-11,46.8,46.8,46.8,0.0,0.0,47.08,47.08,47.08,0.0,0.0,45.92,45.92,45.92,0.0,0.0,46.88,46.88,46.88,0.0,0.0
2018-02-18,46.36,46.36,46.36,0.0,0.0,46.68,46.68,46.68,0.0,0.0,45.16,45.16,45.16,0.0,0.0,45.16,45.16,45.16,0.0,0.0
2018-02-25,48.24,48.24,48.24,0.0,0.0,48.56,48.56,48.56,0.0,0.0,46.08,46.08,46.08,0.0,0.0,46.32,46.32,46.32,0.0,0.0
2018-03-04,43.56,43.56,43.56,0.0,0.0,43.68,43.68,43.68,0.0,0.0,42.52,42.52,42.52,0.0,0.0,42.56,42.56,42.56,0.0,0.0
2018-03-11,43.16,43.16,43.16,0.0,0.0,43.58,43.58,43.58,0.0,0.0,42.92,42.92,42.92,0.0,0.0,43.52,43.52,43.52,0.0,0.0
2018-03-18,47.8,47.8,47.8,0.0,0.0,50.24,50.24,50.24,0.0,0.0,47.36,47.36,47.36,0.0,0.0,50.24,50.24,50.24,0.0,0.0
2018-03-25,50.0,50.0,50.0,0.0,0.0,51.04,51.04,51.04,0.0,0.0,47.76,47.76,47.76,0.0,0.0,48.76,48.76,48.76,0.0,0.0
2018-04-01,49.4,49.4,49.4,0.0,0.0,51.2,51.2,51.2,0.0,0.0,48.44,48.44,48.44,0.0,0.0,50.72,50.72,50.72,0.0,0.0
2018-04-08,46.76,46.76,46.76,0.0,0.0,48.13,48.13,48.13,0.0,0.0,46.64,46.64,46.64,0.0,0.0,47.72,47.72,47.72,0.0,0.0
2018-04-15,45.92,45.92,45.92,0.0,0.0,47.44,47.44,47.44,0.0,0.0,45.84,45.84,45.84,0.0,0.0,47.08,47.08,47.08,0.0,0.0
2018-04-22,45.84,45.84,45.84,0.0,0.0,47.7,47.7,47.7,0.0,0.0,45.84,45.84,45.84,0.0,0.0,47.16,47.16,47.16,0.0,0.0
2018-04-29,47.72,47.72,47.72,0.0,0.0,47.8,47.8,47.8,0.0,0.0,45.32,45.32,45.32,0.0,0.0,45.52,45.52,45.52,0.0,0.0
2018-05-06,43.2,43.2,43.2,0.0,0.0,43.48,43.48,43.48,0.0,0.0,42.92,42.92,42.92,0.0,0.0,43.12,43.12,43.12,0.0,0.0
2018-05-13,44.0,44.0,44.0,0.0,0.0,44.28,44.28,44.28,0.0,0.0,43.76,43.76,43.76,0.0,0.0,44.12,44.12,44.12,0.0,0.0
2018-05-20,43.08,43.08,43.08,0.0,0.0,43.26,43.26,43.26,0.0,0.0,42.7,42.7,42.7,0.0,0.0,43.0,43.0,43.0,0.0,0.0
2018-05-27,42.43,42.43,42.43,0.0,0.0,42.44,42.44,42.44,0.0,0.0,41.46,41.46,41.46,0.0,0.0,41.5,41.5,41.5,0.0,0.0
2018-06-03,41.13,41.13,41.13,0.0,0.0,41.29,41.29,41.29,0.0,0.0,40.59,40.59,40.59,0.0,0.0,40.72,40.72,40.72,0.0,0.0
2018-06-10,39.56,39.56,39.56,0.0,0.0,39.95,39.95,39.95,0.0,0.0,39.42,39.42,39.42,0.0,0.0,39.53,39.53,39.53,0.0,0.0
2018-06-17,39.57,39.57,39.57,0.0,0.0,40.31,40.31,40.31,0.0,0.0,39.55,39.55,39.55,0.0,0.0,40.11,40.11,40.11,0.0,0.0
2018-06-24,41.51,41.51,41.51,0.0,0.0,41.81,41.81,41.81,0.0,0.0,41.08,41.08,41.08,0.0,0.0,41.79,41.79,41.79,0.0,0.0
2018-07-01,40.9,40.9,40.9,0.0,0.0,41.04,41.04,41.04,0.0,0.0,39.74,39.74,39.74,0.0,0.0,39.86,39.86,39.86,0.0,0.0
2018-07-08,38.13,38.13,38.13,0.0,0.0,38.31,38.31,38.31,0.0,0.0,37.92,37.92,37.92,0.0,0.0,38.05,38.05,38.05,0.0,0.0
2018-07-15,38.06,38.06,38.06,0.0,0.0,38.41,38.41,38.41,0.0,0.0,37.83,37.83,37.83,0.0,0.0,38.33,38.33,38.33,0.0,0.0
2018-07-22,37.36,37.36,37.36,0.0,0.0,39.31,39.31,39.31,0.0,0.0,37.35,37.35,37.35,0.0,0.0,38.88,38.88,38.88,0.0,0.0
2018-07-29,37.95,37.95,37.95,0.0,0.0,38.24,38.24,38.24,0.0,0.0,37.81,37.81,37.81,0.0,0.0,37.81,37.81,37.81,0.0,0.0
2018-08-05,37.59,37.59,37.59,0.0,0.0,37.92,37.92,37.92,0.0,0.0,37.37,37.37,37.37,0.0,0.0,37.66,37.66,37.66,0.0,0.0
2018-08-12,38.18,38.18,38.18,0.0,0.0,38.61,38.61,38.61,0.0,0.0,37.75,37.75,37.75,0.0,0.0,37.93,37.93,37.93,0.0,0.0
